    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882489462466956e-01
     0.10     0.113    4.1940275539265787e-01    3.9509368433973235e-02
     0.20     0.196    4.0452392324568209e-01    2.6373828645748665e-02
     0.30     0.279    3.9911220861126429e-01    2.1488964989961667e-02
     0.40     0.361    3.9594726770894695e-01    1.8604845191730779e-02
     0.50     0.443    3.9379888586783351e-01    1.6635697908951808e-02
     0.60     0.526    3.9221452101295090e-01    1.5177822759374626e-02
     0.70     0.608    3.9099078929840453e-01    1.4048660297785176e-02
     0.80     0.689    3.9000802278929203e-01    1.3139991769500037e-02
     0.90     0.772    3.8919260517456300e-01    1.2384881533197722e-02
     1.00     0.854    3.8848495331474658e-01    1.1728750911745633e-02
     1.10     0.937    3.8305123181040773e-01    6.6639850959080427e-03
     1.20     1.019    3.8197427325396649e-01    5.6532104840526509e-03
     1.30     1.100    3.8127487620592238e-01    4.9953722416129498e-03
     1.40     1.182    3.8071536142597751e-01    4.4683588758106518e-03
     1.50     1.264    3.8022437845259449e-01    4.0054262231868920e-03
     1.60     1.346    3.7976765328104978e-01    3.5744504861681126e-03
     1.70     1.429    3.7932785999346402e-01    3.1591730707118959e-03
     1.80     1.510    3.7889037800386521e-01    2.7458253504614172e-03
     1.90     1.594    3.7844104721851518e-01    2.3210304892443689e-03
     2.00     1.676    3.7795128757773133e-01    1.8577217357527154e-03
     2.10     1.758    3.7760227846511207e-01    1.5273563160641546e-03
     2.20     1.841    3.7740662965165567e-01    1.3420763559941484e-03
     2.30     1.923    3.7723886345762508e-01    1.1831607390652144e-03
     2.40     2.006    3.7708412677255687e-01    1.0365545252314368e-03
     2.50     2.088    3.7694083177284893e-01    9.0076449026743610e-04
     2.60     2.170    3.7680785374472497e-01    7.7473481772105668e-04
     2.70     2.253    3.7668660531853965e-01    6.5981418694882610e-04
     2.80     2.334    3.7657765052532399e-01    5.5654598678400724e-04
     2.90     2.417    3.7648336711735814e-01    4.6719003078266041e-04
     3.00     2.499    3.7640665524064748e-01    3.9449653541501206e-04
     3.10     2.582    3.7635062158979199e-01    3.4140452192121806e-04
     3.20     2.665    3.7630322796920185e-01    2.9650380156076572e-04
     3.30     2.747    3.7626027155410813e-01    2.5581159311283130e-04
     3.40     2.829    3.7622209288010217e-01    2.1965068578899682e-04
     3.50     2.921    3.7618810727672047e-01    1.8746693942062187e-04
     3.60     3.012    3.7615833901105533e-01    1.5928209509730173e-04
     3.70     3.104    3.7613282556909799e-01    1.3513040928625486e-04
     3.80     3.196    3.7611138439299363e-01    1.1483842361692531e-04
     3.90     3.288    3.7609360403698422e-01    9.8014956361192063e-05
     4.00     3.371    3.7607893139723170e-01    8.4133793909924037e-05
     4.10     3.455    3.7606645886837381e-01    7.2335065063766635e-05
     4.20     3.540    3.7605554432527999e-01    6.2010387482436258e-05
     4.30     3.625    3.7604594378662048e-01    5.2928538311292073e-05
     4.40     3.710    3.7603767233290775e-01    4.5104148001406941e-05
     4.50     3.796    3.7603056465260365e-01    3.8380572566110160e-05
