    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     0.15     0.037    5.6211134412677199e-01    1.2954649969815180e-01
     0.31     0.054    5.2290507235352923e-01    6.9899387887925435e-02
     0.46     0.072    4.9895856444404652e-01    6.6516623231153649e-02
     0.61     0.089    4.7803314091038218e-01    5.8947945744826799e-02
     0.77     0.106    4.5884173685380852e-01    4.9540546559404375e-02
     0.92     0.114    4.4326810979063985e-01    4.0438074551888359e-02
     1.15     0.148    3.7854524796567113e-01    3.4218102853995847e-02
     1.31     0.165    3.6704275581091844e-01    2.8487028337731646e-02
     1.46     0.181    3.5976672844494068e-01    2.3196313395638990e-02
     1.61     0.199    3.5364834721469474e-01    1.8484578247337513e-02
     1.77     0.215    3.4875870828809741e-01    1.4402499387234369e-02
     1.92     0.223    3.4769422756399820e-01    1.2555956441627214e-02
     2.15     0.257    3.3556735880948746e-01    6.9157269996594772e-03
     2.31     0.273    3.3260829909731804e-01    5.7348404197755665e-03
     2.46     0.290    3.3016378648814415e-01    4.8436780135825419e-03
     2.61     0.307    3.2857638615070139e-01    3.9763658508955579e-03
     2.77     0.323    3.2722329262732802e-01    3.2383537315772148e-03
     2.92     0.331    3.2675960660719877e-01    2.9014030544087799e-03
     3.15     0.367    3.2549690573299261e-01    1.5134378470769150e-03
     3.31     0.384    3.2526553305188682e-01    1.0723937376060366e-03
     3.46     0.400    3.2503580409960492e-01    7.7733462763718286e-04
     3.61     0.420    3.2445887552703812e-01    6.6976239588667497e-04
     3.77     0.438    3.2438535581694228e-01    4.4573084027743626e-04
     3.92     0.447    3.2434308144578944e-01    3.9916215185331616e-04
     4.15     0.489    3.2428370900260983e-01    1.8018334289537918e-04
     4.31     0.506    3.2428317619074237e-01    1.1134361871767418e-04
     4.46     0.525    3.2428002618779361e-01    5.8985138134293180e-05
     4.61     0.544    3.2427645616579831e-01    2.0675687008475663e-05
     4.77     0.565    3.2427569312127358e-01    8.8250420688940068e-06
     4.92     0.575    3.2427547718439376e-01    6.7544948620934520e-06
     5.15     0.614    3.2427517582473037e-01    2.1104817118366981e-06
     5.31     0.634    3.2427516531827050e-01    1.4374471004607869e-06
     5.46     0.654    3.2427515985877192e-01    9.2852230171303063e-07
     5.61     0.678    3.2427515666665907e-01    2.1167148922529577e-07
     5.77     0.700    3.2427515652469480e-01    6.4529037668847877e-08
     5.92     0.712    3.2427515651030558e-01    4.0004334733723113e-08
     6.15     0.757    3.2427515649489641e-01    3.6696377048173190e-09
     6.31     0.778    3.2427515649480554e-01    1.6458057139345783e-09
     6.46     0.798    3.2427515649478833e-01    7.4205352973422123e-10
     6.61     0.824    3.2427515649478111e-01    2.3615998046011555e-11
