    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     1.00     0.019    4.4349016186897539e-01    8.1217886758438773e-02
     2.00     0.043    3.6749856171427248e-01    5.7893065950167535e-02
     3.00     0.061    3.3925520851761326e-01    2.9428120240333033e-02
     4.00     0.079    3.3068083874757298e-01    2.1062420835393558e-02
     5.00     0.097    3.3022619937144410e-01    2.7667934930583948e-02
     6.00     0.115    3.2507081087995354e-01    1.5533563747236329e-03
     7.00     0.134    3.2519959215658134e-01    9.6780555109071686e-03
     8.00     0.152    3.2481230734351202e-01    6.8609837027926446e-03
     9.00     0.169    3.2464786840298915e-01    5.5201200534489847e-03
    10.00     0.186    3.2446542564642716e-01    2.8994543444218479e-03
    11.00     0.202    3.2439115917556610e-01    5.7969014016623355e-04
    12.00     0.219    3.2437579177910819e-01    9.4871317654021681e-04
    13.00     0.237    3.2436185946874913e-01    7.4445081903229404e-04
    14.00     0.255    3.2435012474967173e-01    3.2858549316761021e-04
    15.00     0.273    3.2434199520351015e-01    2.8269470377934036e-04
    16.00     0.292    3.2433520707039731e-01    3.0234056432981715e-04
    17.00     0.311    3.2432936534962098e-01    2.2042282662420448e-04
    18.00     0.329    3.2432433357571577e-01    7.8263631840824743e-05
    19.00     0.346    3.2432008195552164e-01    7.0000641371414929e-05
    20.00     0.363    3.2431631087121943e-01    3.6287202554108333e-05
    21.00     0.380    3.2431289998966950e-01    2.9120751597666583e-05
    22.00     0.403    3.2430979654702086e-01    2.6962242925199220e-05
    23.00     0.419    3.2430697156292643e-01    2.4995994978960212e-05
    24.00     0.436    3.2430437656404937e-01    4.8412832851063570e-05
    25.00     0.454    3.2430196619850082e-01    3.9125585780119820e-05
    26.00     0.470    3.2429970442716172e-01    2.0595207091078649e-05
    27.00     0.487    3.2429759494946009e-01    2.6872057800941818e-05
    28.00     0.505    3.2429560604240737e-01    1.8408415555892788e-05
    29.00     0.525    3.2429371599955747e-01    1.7461898075721294e-05
    30.00     0.547    3.2429191239179567e-01    1.6615931702768094e-05
    31.00     0.565    3.2429017965874224e-01    1.7250358670839461e-05
    32.00     0.583    3.2428850519321001e-01    1.9789511720436082e-05
    33.00     0.600    3.2428730952048018e-01    2.4936520734319956e-05
    34.00     0.620    3.2428627855617637e-01    2.4064243641763738e-05
    35.00     0.637    3.2428530893076918e-01    1.4815337798346206e-05
    36.00     0.654    3.2428441830696320e-01    3.0825651382349051e-05
    37.00     0.670    3.2428355540925446e-01    2.4967701913736207e-05
    38.00     0.688    3.2428274207603131e-01    1.0938153808481843e-05
    39.00     0.707    3.2428198290255056e-01    1.0344099145687125e-05
    40.01     0.725    3.2428126046084993e-01    1.0514711843656599e-05
    41.01     0.744    3.2428056236557945e-01    9.3522968294124098e-06
    42.01     0.763    3.2427988248911899e-01    8.9719592459847064e-06
    43.01     0.780    3.2427921902389761e-01    8.6553112885745520e-06
    44.01     0.796    3.2427861580602302e-01    8.3855478849592657e-06
    45.01     0.812    3.2427812848556548e-01    8.9825308364037404e-06
    46.01     0.827    3.2427772388251630e-01    7.7497021540029465e-06
    47.01     0.843    3.2427739347047974e-01    9.0539650874355004e-06
    48.01     0.860    3.2427711993003200e-01    9.6506649878147499e-06
    49.01     0.876    3.2427688705130603e-01    6.5227665295708448e-06
    50.01     0.891    3.2427668614653632e-01    7.6036721292638276e-06
    51.01     0.907    3.2427650781580103e-01    5.7268194160187136e-06
    52.01     0.925    3.2427635156156659e-01    5.3444641667788062e-06
    53.01     0.942    3.2427621333112572e-01    9.2977779473368827e-06
    54.01     0.959    3.2427609026128401e-01    8.5146249149507802e-06
    55.01     0.977    3.2427598013594616e-01    4.4794781173251863e-06
    56.01     0.996    3.2427588210440672e-01    6.4484960851096673e-06
    57.01     1.012    3.2427579621000474e-01    3.8853622938983534e-06
    58.01     1.028    3.2427572543446709e-01    3.7846037439503988e-06
    59.01     1.043    3.2427566554857667e-01    5.6955678381237496e-06
    60.01     1.059    3.2427561455170811e-01    4.5753855517638442e-06
    61.01     1.088    3.2427557109012478e-01    3.4864313093185828e-06
    62.01     1.119    3.2427553374021267e-01    3.3943150221649177e-06
    63.01     1.142    3.2427550105118114e-01    3.3058901087734682e-06
    64.01     1.167    3.2427547248035532e-01    3.2190333412174255e-06
    65.01     1.192    3.2427544727186131e-01    3.1345376840796746e-06
    66.01     1.220    3.2427542475271715e-01    3.0534011429272923e-06
    67.01     1.242    3.2427540462937349e-01    2.9733452789892922e-06
    68.01     1.266    3.2427538655006199e-01    2.8955403076347253e-06
    69.01     1.288    3.2427537033243159e-01    3.4237883395071833e-06
    70.01     1.313    3.2427535553766113e-01    2.7462122769161823e-06
    71.01     1.338    3.2427534209451880e-01    2.6749159054428873e-06
    72.01     1.359    3.2427532987641577e-01    2.6062745447363866e-06
    73.01     1.377    3.2427531872245846e-01    2.5391077250747074e-06
    74.01     1.395    3.2427530846723868e-01    2.4745909685819356e-06
    75.01     1.413    3.2427529900632834e-01    2.4113816420312517e-06
    76.01     1.430    3.2427529021145385e-01    2.3485369843312398e-06
    77.01     1.448    3.2427528210504164e-01    2.2882754086017698e-06
    78.01     1.465    3.2427527460051081e-01    2.2295484872758564e-06
    79.01     1.482    3.2427526761744813e-01    2.1723006649043697e-06
    80.01     1.498    3.2427526115202721e-01    2.1163819002856243e-06
    81.01     1.513    3.2427525513336108e-01    2.0627415137086658e-06
    82.01     1.530    3.2427524947244735e-01    2.0095227590832820e-06
    83.01     1.547    3.2427524419904385e-01    1.9575861330833888e-06
    84.01     1.564    3.2427523922986740e-01    1.9070688576094952e-06
    85.01     1.581    3.2427523453717072e-01    1.8567322194185110e-06
    86.01     1.608    3.2427523009391707e-01    1.8072705125771193e-06
    87.01     1.631    3.2427522592449493e-01    1.7588941406687653e-06
    88.01     1.655    3.2427522209286042e-01    1.7146964246261831e-06
    89.01     1.671    3.2427521855052049e-01    1.6704164288450229e-06
    90.01     1.689    3.2427521522721175e-01    1.6283573734954260e-06
    91.01     1.708    3.2427521211323546e-01    1.5873652136066951e-06
