    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6901815054820177e-01
     2.00     0.536    3.8120730395882557e-01    2.8313511968289407e-02
     3.00     0.776    3.4063845030181650e-01    1.0435523186074103e-02
     4.00     1.014    3.2859807389882290e-01    3.3362247209057783e-03
     5.00     1.243    3.2520631095037994e-01    1.1815723667679690e-03
     6.00     1.418    3.2429815293837405e-01    2.9459130102882369e-04
     7.00     1.576    3.2427648391304070e-01    6.6724239231596982e-06
     8.00     1.781    3.2427515923709532e-01    8.4493709251454163e-07
     9.00     1.972    3.2427515649488359e-01    2.1006901773645836e-09
    10.00     2.229    3.2427515649478095e-01    4.0949466040274274e-12
