    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7543972462139421e-03
     0.10     2.354    6.9227524533453910e-01    7.7146853726884033e-03
     0.20     4.595    6.9009210098145357e-01    7.5583655590187281e-03
     0.30     7.237    6.8672968186296612e-01    7.2727792480421563e-03
     0.40    10.946    6.8234173073064341e-01    6.9276680612410796e-03
     0.50    13.834    6.7707192144039463e-01    6.5698690167791812e-03
     0.60    16.692    6.7110769936275716e-01    6.1871961645837137e-03
     0.70    19.576    6.6462315750074563e-01    5.7690399172718454e-03
     0.80    22.459    6.5777416309059655e-01    5.3341328223543982e-03
     0.90    25.313    6.5069013372920337e-01    4.8996926772806315e-03
     1.00    27.873    4.8772313208069351e-01    1.5512249665874389e-03
     1.10    30.108    4.8577278876560798e-01    1.4830984405671543e-03
     1.20    32.547    4.8291877964120744e-01    1.3802584952541386e-03
     1.30    36.418    4.7950188925766446e-01    1.2767333865230102e-03
     1.40    39.344    4.7609674009696240e-01    1.1661472961834729e-03
     1.50    41.749    4.7286788199428165e-01    1.0537695742225406e-03
     1.60    43.906    4.6977055764910636e-01    9.1878311892523712e-04
     1.70    46.204    4.6690446335353653e-01    7.8011760179408363e-04
     1.80    49.149    4.6407621835642410e-01    6.1964124090940764e-04
     1.90    52.887    4.6144671885825661e-01    4.2996194561006895e-04
     2.00    55.739    4.5935710499650872e-01    2.0993298101190661e-04
     2.10    58.159    4.5911875478063402e-01    1.7532274413500915e-04
     2.20    60.852    4.5891491381841387e-01    1.4481561831358736e-04
     2.30    63.295    4.5876129661719478e-01    1.1512714878847419e-04
     2.40    65.912    4.5864833908543079e-01    8.8132268013740855e-05
     2.50    68.534    4.5857266886721282e-01    6.5114371978758356e-05
     2.60    71.014    4.5852617872693352e-01    4.4095331195093124e-05
     2.70    73.734    4.5850160988059557e-01    2.7165716947497032e-05
     2.80    76.219    4.5849037823935374e-01    1.4949385336082699e-05
     2.90    78.887    4.5848642172157339e-01    7.0869628754355318e-06
     3.00    81.503    4.5848552147292093e-01    3.6640186076297709e-06
     3.10    83.979    4.5848531446717428e-01    2.2960785004411122e-06
     3.20    86.699    4.5848521927383612e-01    1.3942071406258805e-06
     3.30    89.190    4.5848518052906573e-01    7.8094514610604904e-07
     3.40    91.869    4.5848516702039505e-01    3.9947022245634400e-07
     3.50    94.489    4.5848516304603254e-01    1.8618155905869571e-07
     3.60    97.034    4.5848516214182033e-01    7.2925513405763809e-08
     3.70    99.830    4.5848516197673955e-01    2.3666959059198689e-08
     3.80   102.354    4.5848516195273747e-01    6.8371255323995683e-09
     3.90   105.124    4.5848516194945504e-01    1.8042702887299811e-09
     4.00   107.712    4.5848516194907835e-01    7.2191319588910119e-10
     4.10   110.318    4.5848516194900690e-01    2.9001334667100309e-10
     4.20   113.071    4.5848516194899169e-01    1.1291989565620497e-10
     4.30   115.613    4.5848516194897843e-01    4.0739855933225044e-11
