    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7190488320378924e-02
     0.10     0.062    6.8821016797831758e-01    2.9362342304415395e-02
     0.21     0.114    7.0764947249636723e-01    1.0122819277739500e-01
     0.31     0.168    7.0640634372652822e-01    1.0268251576191850e-01
     0.41     0.222    6.7777548565009305e-01    5.2995524873525240e-02
     0.52     0.275    6.5885788396349942e-01    3.8352180537552252e-02
     0.62     0.328    6.4571613569195596e-01    4.1152256617245780e-02
     0.72     0.382    6.3386031479409877e-01    3.2622572375839098e-02
     0.83     0.435    6.2127673812482997e-01    1.8629830675050474e-02
     0.93     0.489    6.1219844944676072e-01    9.1897375647840285e-03
     1.03     0.546    5.7343174844791600e-01    7.7258780182394293e-03
     1.14     0.609    5.7153920291190041e-01    8.8023276331199440e-03
     1.24     0.665    5.6975287525530227e-01    9.3319985323521149e-03
     1.34     0.722    5.6813065571676480e-01    1.0004233551587527e-02
     1.45     0.776    5.5376702268270284e-01    9.2260683703915269e-03
     1.55     0.829    5.4196027280684833e-01    7.9054782654663924e-03
     1.65     0.889    5.3058837008376636e-01    5.7443774510943513e-03
     1.76     0.948    5.2433360033647436e-01    4.1659721172813136e-03
     1.86     1.010    5.2027960001610118e-01    1.8848698641094064e-03
     1.96     1.070    5.1925123421528674e-01    1.8658340904184056e-03
     2.07     1.124    5.1680685589011943e-01    1.2770949871980797e-03
     2.17     1.176    5.1676369189295968e-01    1.3085412381821371e-03
     2.28     1.235    5.1675747517221138e-01    1.5865162639168151e-03
     2.38     1.292    5.1673348992566692e-01    1.4039535955987503e-03
     2.48     1.350    5.1659780328771043e-01    1.3802626571042254e-03
     2.59     1.408    5.1575498812935938e-01    9.4136067235517373e-04
     2.69     1.482    5.1496307601599933e-01    6.1827375856005062e-04
     2.79     1.547    5.1423128352055614e-01    4.2495559009192441e-04
     2.89     1.626    5.1412392045030531e-01    3.0281115547303727e-04
     3.00     1.696    5.1406216808872984e-01    3.1154415749146125e-04
     3.10     1.766    5.1397696151211136e-01    2.5876709095751238e-04
     3.21     1.825    5.1397698752492005e-01    2.7380741890475901e-04
     3.31     1.888    5.1397695434539303e-01    2.9101078225046706e-04
     3.41     1.971    5.1387924895260439e-01    2.1955707554449644e-04
     3.52     2.085    5.1379202553073389e-01    1.3561813512907861e-04
     3.62     2.201    5.1375893523017002e-01    1.1711820355753133e-04
     3.72     2.320    5.1374689314542754e-01    8.8692391633671264e-05
     3.83     2.464    5.1374687562119992e-01    8.1819752297818127e-05
     3.93     2.588    5.1374419457376075e-01    7.4126476137692521e-05
     4.03     2.712    5.1372148551205021e-01    5.5625903674361155e-05
     4.14     2.870    5.1372148571626675e-01    5.5654695392703957e-05
     4.24     3.033    5.1371753979086721e-01    5.7779039649652475e-05
     4.34     3.142    5.1371663839425286e-01    5.7339314674109687e-05
     4.45     3.287    5.1368141063562933e-01    2.8826238905210744e-05
     4.55     3.426    5.1367764118756065e-01    2.4463929248597083e-05
     4.65     3.540    5.1367590992924483e-01    2.1379068170013227e-05
     4.76     3.646    5.1367584271842437e-01    1.9508971450754586e-05
     4.86     3.762    5.1367579290198206e-01    1.8652023080711899e-05
     4.96     3.898    5.1367577732180847e-01    1.8300392729209136e-05
     5.07     4.019    5.1367044058240841e-01    1.3881148969829837e-05
     5.17     4.122    5.1366940366555514e-01    1.3897336123669390e-05
     5.28     4.215    5.1366940367888880e-01    1.3897604346446712e-05
     5.38     4.314    5.1366746070351055e-01    1.1206704081168084e-05
     5.48     4.467    5.1366211453568511e-01    4.4822486717777110e-06
     5.59     4.586    5.1366196080626969e-01    4.1529691037212046e-06
     5.69     4.685    5.1366194124031728e-01    3.8985509860367529e-06
     5.79     4.747    5.1366194122629849e-01    3.8938603914573378e-06
     5.89     4.806    5.1366194118461017e-01    3.8821921810594517e-06
     6.00     4.897    5.1366133306756578e-01    3.0522743985628153e-06
     6.10     4.970    5.1366114444139521e-01    2.6075359702559808e-06
     6.21     5.043    5.1366105311607846e-01    2.6237991974653596e-06
     6.31     5.101    5.1366105311165056e-01    2.6237881831647769e-06
     6.41     5.210    5.1366042762991604e-01    7.3927402510776119e-07
     6.52     5.312    5.1366039345293590e-01    4.8725753298839436e-07
     6.62     5.385    5.1366039283150777e-01    4.6955870658393906e-07
     6.72     5.449    5.1366039282555798e-01    4.6834814337870512e-07
     6.83     5.510    5.1366039282555009e-01    4.6834675515583513e-07
     6.93     5.574    5.1366039282556075e-01    4.6834288536246049e-07
     7.03     5.658    5.1366036559491479e-01    2.1489084378600865e-07
     7.14     5.721    5.1366036512181767e-01    2.1535845640130447e-07
     7.24     5.786    5.1366036461608577e-01    2.1537902306079104e-07
     7.34     5.844    5.1366036461608167e-01    2.1537902394896946e-07
     7.45     5.975    5.1366035817201616e-01    1.4438611195544127e-08
     7.55     6.116    5.1366035816809397e-01    1.2380871439177099e-08
     7.65     6.216    5.1366035816810152e-01    1.2333758903082526e-08
     7.76     6.309    5.1366035816809619e-01    1.2333884136239703e-08
     7.86     6.365    5.1366035816809685e-01    1.2333882359882864e-08
     7.96     6.457    5.1366035816809630e-01    1.2333881471704444e-08
     8.07     6.596    5.1366035813120603e-01    1.7275647579140241e-09
     8.17     6.707    5.1366035813108113e-01    1.7284191855537756e-09
     8.28     6.800    5.1366035813108091e-01    1.7284191855537756e-09
     8.38     6.913    5.1366035813075539e-01    6.4254201959101920e-10
     8.48     7.011    5.1366035813063660e-01    1.6957102388914791e-11
