    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0224027572624326e-01
     0.62     0.031    7.3134751578899759e-01    3.4063010705070429e-01
     1.00     0.047    2.5083632579894644e-01    8.0722760509211844e-02
     1.62     0.057    2.1924672466626935e-01    6.7317101973835891e-02
     2.00     0.073    1.2759586099769554e-01    2.3834553333657471e-02
     2.62     0.083    1.2485429467582294e-01    2.6855358301751453e-02
     3.00     0.099    5.5556794743186859e-02    1.1146012411786810e-02
     3.62     0.109    5.2474027539864042e-02    1.0490648846808170e-02
     4.00     0.125    2.9132544904518082e-02    4.1492641650870965e-03
     4.62     0.137    2.4562498867263485e-02    3.4934240179729237e-03
     5.00     0.154    1.5888744446586826e-02    1.8456166156712861e-03
     5.62     0.165    1.4841847001180108e-02    1.3848941276053406e-03
     6.00     0.184    1.1872587951954682e-02    5.4819513573844958e-04
     6.62     0.208    1.0984189118001272e-02    5.5465023542344838e-04
     7.00     0.230    1.0401815586209798e-02    1.9230529975633459e-04
     7.62     0.242    1.0335988468407848e-02    2.0511362911790343e-04
     8.00     0.286    1.0168530096074668e-02    5.6846616458122089e-05
     8.62     0.298    1.0164593015569419e-02    6.1827978646011861e-05
     9.00     0.327    1.0144699378467488e-02    9.4546086187308198e-06
     9.62     0.342    1.0144612545372860e-02    9.4515860847854682e-06
    10.00     0.372    1.0144273006398129e-02    1.9223405606227928e-07
    10.62     0.383    1.0144272991516908e-02    1.5985193624334926e-07
    11.00     0.449    1.0144272844531749e-02    8.6806617449752821e-11
