    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     0.10     0.027    1.3239322817516594e-01    9.8730482265975722e-02
     0.21     0.046    1.0085394163433185e-01    6.8062516363993714e-02
     0.31     0.066    8.9528793639516768e-02    5.6844901461196098e-02
     0.41     0.085    8.2224523916643796e-02    4.9475518927757201e-02
     0.51     0.106    7.7335177226479992e-02    4.4487570929362480e-02
     0.62     0.125    7.3956034198619097e-02    4.1068369838587554e-02
     0.72     0.145    7.0868675508590953e-02    3.7944310062587971e-02
     0.82     0.164    6.8565405349988534e-02    3.5687237674595557e-02
     0.93     0.186    6.6268283387059229e-02    3.3435816704151522e-02
     1.03     0.208    5.5449575182077798e-02    2.1055842588731583e-02
     1.14     0.229    5.0828270263751578e-02    1.5298341604757681e-02
     1.24     0.250    4.9164609224090952e-02    1.3326482753856145e-02
     1.34     0.272    4.7848980635471466e-02    1.1770855692277954e-02
     1.45     0.293    4.6738474877581419e-02    1.0455350744500158e-02
     1.55     0.314    4.5742477815285065e-02    9.2515944855779131e-03
     1.65     0.336    4.3057073641647084e-02    8.0094251758926760e-03
     1.75     0.357    3.8638434806228743e-02    6.9934665453773026e-03
     1.86     0.378    3.3934919925720945e-02    6.1948548264637582e-03
     1.96     0.400    2.9823571592885251e-02    5.5067950430683354e-03
     2.07     0.422    2.6145930890427497e-02    5.2357826779392824e-03
     2.17     0.443    2.4754853671892344e-02    4.9165843156132594e-03
     2.27     0.465    2.3865998029882245e-02    4.4296258162849211e-03
     2.38     0.486    2.2951849579052927e-02    3.9210995651297598e-03
     2.48     0.508    2.1924813431862578e-02    3.6163685827028669e-03
     2.58     0.530    2.1350457218204381e-02    2.9429923123590607e-03
     2.69     0.551    2.0353673567915821e-02    2.3302760746553020e-03
     2.79     0.573    1.9484295113425868e-02    1.8636851120878983e-03
     2.89     0.594    1.8511624369045146e-02    1.6341118629998874e-03
     2.99     0.610    1.8007959309019862e-02    1.5226991854915273e-03
     3.10     0.639    1.7079221444863693e-02    1.3301346501297662e-03
     3.21     0.662    1.6519397239226338e-02    1.1528995430500899e-03
     3.31     0.684    1.5673900238095805e-02    1.0835594512139668e-03
     3.41     0.706    1.5193664289624400e-02    9.3546327518612138e-04
     3.51     0.729    1.4620491469921608e-02    8.5791168916693472e-04
     3.62     0.751    1.4227044922501880e-02    7.9775677891213981e-04
     3.72     0.774    1.3862416281358588e-02    7.4320662358751122e-04
     3.82     0.797    1.3538706679081008e-02    6.9329359814629399e-04
     3.93     0.820    1.3260087789540229e-02    6.4672719555103342e-04
     4.03     0.845    1.3036683720775131e-02    5.8526532804226150e-04
     4.14     0.868    1.2892953574612454e-02    4.8188472306343044e-04
     4.24     0.891    1.2730449389770497e-02    4.0077572214736179e-04
     4.34     0.915    1.2568628754655640e-02    3.5325879651093572e-04
     4.45     0.939    1.2478371816585907e-02    2.8242427781677293e-04
     4.55     0.963    1.2380943608575305e-02    2.4713432222345233e-04
     4.65     0.988    1.2312108041151373e-02    2.0917652662610919e-04
     4.75     1.013    1.2255347376647234e-02    1.8517780412974361e-04
     4.86     1.038    1.2217622197377197e-02    1.5385476143858767e-04
     4.96     1.066    1.2153137664358091e-02    1.3888016171392792e-04
     5.07     1.097    1.2108578561872817e-02    1.2685128301015425e-04
     5.17     1.120    1.2100329431791177e-02    9.4227625442755425e-05
     5.27     1.149    1.2074796341147409e-02    7.7010393610521533e-05
     5.38     1.177    1.2057899830738789e-02    6.2355321066576153e-05
     5.48     1.223    1.2032577074492991e-02    6.3656358598507268e-05
     5.58     1.246    1.2030381193643891e-02    4.6643797585232960e-05
     5.69     1.272    1.2028547038507552e-02    3.6931032152409671e-05
     5.79     1.300    1.2026770997087693e-02    2.7200741962829511e-05
     5.89     1.331    1.2025517897689719e-02    1.7948173622883701e-05
     5.99     1.354    1.2024931991887115e-02    1.3822799935780949e-05
     6.10     1.396    1.2024403210005493e-02    8.4981440284792598e-06
     6.21     1.421    1.2024295984490575e-02    5.4621679836941439e-06
     6.31     1.446    1.2024210797665486e-02    3.3678461086594780e-06
     6.41     1.482    1.2024025788599667e-02    1.6414668113640118e-06
     6.51     1.516    1.2023967369836748e-02    1.2267668449972291e-06
     6.62     1.561    1.2023909064209118e-02    8.4994614146793879e-07
     6.72     1.607    1.2023896171708806e-02    5.4761025580774003e-07
     6.82     1.647    1.2023893250642110e-02    3.4216137834164329e-07
     6.93     1.698    1.2023891973351655e-02    1.9435954179414239e-07
     7.03     1.742    1.2023891769159857e-02    1.1941717481533942e-07
     7.14     1.763    1.2023891767294037e-02    7.9280482623289572e-08
     7.24     1.798    1.2023891718016757e-02    4.4352576722417325e-08
     7.34     1.844    1.2023891697611722e-02    2.5773244871629686e-08
     7.45     1.888    1.2023891694641544e-02    1.1661981602628657e-08
     7.55     1.978    1.2023891692929580e-02    3.0063713740702269e-09
     7.65     2.043    1.2023891692817696e-02    1.0410248219017149e-09
     7.75     2.141    1.2023891692780619e-02    3.1137559197702558e-10
     7.86     2.224    1.2023891692779261e-02    8.7188478659072643e-11
