    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     1.00     0.066    1.9576251129201563e-01    8.5415895328332381e-03
     2.00     0.130    9.9516276884140567e-02    6.9506985015211770e-03
     3.00     0.194    4.8271994026310723e-02    4.6563711212376235e-03
     4.00     0.259    2.0462284022500561e-02    1.8808789101284473e-03
     5.00     0.324    2.0993322278880643e-02    3.9577782117774518e-03
     6.00     0.388    1.9702548988406510e-02    3.4684280624709407e-03
     7.00     0.452    1.8073295016418838e-02    1.7216179398746867e-03
     8.00     0.516    1.6702897948748973e-02    1.1997889826949049e-03
     9.00     0.581    1.5836259547841857e-02    8.8788843624776348e-04
    10.00     0.646    1.5203753707748523e-02    1.8769320131273304e-04
    11.00     0.710    1.4817396075366371e-02    1.4772438474641714e-04
    12.00     0.776    1.4518270526347665e-02    2.3481423248394862e-04
    13.00     0.841    1.4273567041110746e-02    1.3248869780993489e-04
    14.00     0.905    1.4083438798742364e-02    1.7122527354374029e-04
    15.00     0.970    1.3932959115349936e-02    1.1134071435211362e-04
    16.00     1.035    1.3814106639071568e-02    1.4697756638604176e-04
    17.00     1.099    1.3715535279147305e-02    9.3916281838246629e-05
    18.00     1.164    1.3633772918150076e-02    9.2591620774129524e-05
    19.00     1.228    1.3565270952074507e-02    8.0080962338968664e-05
    20.00     1.293    1.3506840091679559e-02    9.4997186433687375e-05
    21.00     1.358    1.3455441474140075e-02    7.0418514520022985e-05
    22.00     1.422    1.3411202128967625e-02    7.0244319982037950e-05
    23.00     1.486    1.3372544075220601e-02    7.8232941967293357e-05
    24.00     1.551    1.3337530805509000e-02    6.4207250722425613e-05
    25.00     1.616    1.3305924370815713e-02    6.9062191391466854e-05
    26.00     1.681    1.3276694043138540e-02    6.9661922195152215e-05
    27.00     1.745    1.3249422164796671e-02    5.9646000942770172e-05
    28.00     1.810    1.3223735822485556e-02    7.8234226019269215e-05
    29.00     1.874    1.3199487593064737e-02    6.0303152424445727e-05
    30.00     1.939    1.3176554152204908e-02    7.5270227969603809e-05
    31.00     2.003    1.3155421526750340e-02    5.9295841781548120e-05
    32.00     2.068    1.3135205692339457e-02    6.4612400302088702e-05
    33.00     2.133    1.3115859433935092e-02    6.9768762953614782e-05
    34.00     2.198    1.3097300433611025e-02    6.0553029850751727e-05
    35.00     2.263    1.3079468715710469e-02    7.0541204322260853e-05
    36.00     2.328    1.3062308765751957e-02    6.5548281794391983e-05
    37.00     2.392    1.3045772870871501e-02    6.1730734352671845e-05
    38.00     2.457    1.3029820449069812e-02    6.6382835055556200e-05
    39.00     2.522    1.3014426477238479e-02    5.6802353328500033e-05
    40.00     2.588    1.2999537211174870e-02    6.6357391841798119e-05
    41.00     2.653    1.2985129645279753e-02    5.9617727417027311e-05
    42.00     2.718    1.2971172556895815e-02    6.1206856029727419e-05
    43.00     2.782    1.2957638797336595e-02    5.9174288908003803e-05
    44.00     2.848    1.2944548415613533e-02    6.1487223366185617e-05
    45.00     2.913    1.2931909931315134e-02    5.8217737141319503e-05
    46.00     2.978    1.2919645956515936e-02    5.9497966671706592e-05
    47.00     3.043    1.2907735916069970e-02    5.8848015910051288e-05
    48.00     3.107    1.2896161153573811e-02    5.9277549254943551e-05
    49.00     3.171    1.2884897719529555e-02    5.8455655956635155e-05
    50.00     3.236    1.2873941051318677e-02    5.7160352835872175e-05
    51.00     3.301    1.2863280776025967e-02    5.1652066871632485e-05
    52.00     3.366    1.2852928230564208e-02    5.7793636734970733e-05
    53.00     3.431    1.2842924704429702e-02    5.4603872653657959e-05
    54.00     3.496    1.2833166797521191e-02    5.6926494625741952e-05
    55.00     3.561    1.2823631359258124e-02    5.0999031969922726e-05
    56.00     3.625    1.2814309940651350e-02    5.2707775219928976e-05
    57.00     3.690    1.2805217663433590e-02    5.3237360431168668e-05
    58.00     3.756    1.2796359449275499e-02    5.0714631070647442e-05
    59.00     3.820    1.2787718288321809e-02    5.4590182138269938e-05
    60.00     3.885    1.2779275186746805e-02    5.2073754773118708e-05
    61.00     3.950    1.2771263763683234e-02    4.9302573808418515e-05
    62.00     4.014    1.2763496127685653e-02    5.1387526061930089e-05
    63.00     4.079    1.2755891904190455e-02    4.9217418382596634e-05
    64.00     4.144    1.2748441641402576e-02    4.7894735377695952e-05
    65.00     4.207    1.2741137660056563e-02    4.7339413288938204e-05
    66.00     4.270    1.2733972407537703e-02    4.8890528612233197e-05
    67.00     4.333    1.2726940002058455e-02    4.7699921966071201e-05
    68.00     4.397    1.2720037587978895e-02    4.7052748207931927e-05
    69.00     4.460    1.2713258443389398e-02    4.7706419195492344e-05
    70.00     4.523    1.2707136896607038e-02    4.4299373881173665e-05
    71.00     4.586    1.2701145026711200e-02    4.8202647496609075e-05
    72.00     4.649    1.2695266221250074e-02    4.2087392651879441e-05
    73.00     4.712    1.2689490549018596e-02    4.6406884546712490e-05
    74.00     4.775    1.2683822496500300e-02    4.3059055032657056e-05
    75.00     4.837    1.2678252641856139e-02    4.4899388832675413e-05
    76.00     4.905    1.2672781368781623e-02    4.4165543508611904e-05
    77.00     4.973    1.2667405202836336e-02    4.2722638964320936e-05
    78.00     5.042    1.2662120027771433e-02    4.5228105872041624e-05
    79.00     5.110    1.2656924153331825e-02    4.0607168187989373e-05
    80.00     5.178    1.2651814769948895e-02    4.3205212282515504e-05
    81.00     5.246    1.2646790108419686e-02    4.2262577736096318e-05
    82.00     5.314    1.2641845398834785e-02    4.1958666757935248e-05
    83.00     5.382    1.2636976996457244e-02    4.0873288229548166e-05
    84.00     5.450    1.2632186028282366e-02    4.1809952579185961e-05
    85.00     5.518    1.2627467918257992e-02    4.0894336674313081e-05
    86.00     5.587    1.2622819811016516e-02    4.2259263834054650e-05
    87.00     5.655    1.2618238509191203e-02    3.9811907011966241e-05
    88.00     5.723    1.2613724258607810e-02    3.9977180646744159e-05
    89.00     5.791    1.2609274501858314e-02    3.9773060267478400e-05
    90.00     5.859    1.2604889783129522e-02    4.0601651736693611e-05
    91.00     5.927    1.2600564948462806e-02    3.9441598472578221e-05
    92.00     5.995    1.2596301948811674e-02    3.7931982138417197e-05
    93.00     6.063    1.2592095906716479e-02    3.9516223848679033e-05
    94.00     6.132    1.2587945416371623e-02    3.7779194727249887e-05
    95.00     6.200    1.2583850180458111e-02    3.8311049753048110e-05
    96.00     6.268    1.2579844766213603e-02    3.9167489166658243e-05
    97.00     6.336    1.2576110551232375e-02    3.4273609111679093e-05
    98.00     6.403    1.2572464868343394e-02    3.8613724724356757e-05
    99.00     6.471    1.2568869984382506e-02    3.4728844715559148e-05
   100.00     6.539    1.2565364657198890e-02    3.5949941448620848e-05
   101.00     6.608    1.2561944296146354e-02    3.6772195507239758e-05
   102.00     6.676    1.2558576056712749e-02    3.4717317497268141e-05
   103.00     6.745    1.2555256471594271e-02    3.6441198034253830e-05
   104.00     6.810    1.2551982234294767e-02    3.4375633646277493e-05
   105.00     6.871    1.2548750612614196e-02    3.4658636550943811e-05
   106.00     6.930    1.2545561689467310e-02    3.4848086761130048e-05
   107.00     6.989    1.2542414986649332e-02    3.4325280378055822e-05
   108.00     7.048    1.2539308909399425e-02    3.4569171454279513e-05
   109.00     7.108    1.2536242046671401e-02    3.4729968538371736e-05
   110.00     7.168    1.2533212768481891e-02    3.4471446857864407e-05
   111.00     7.228    1.2530221034511306e-02    3.4074023806951459e-05
   112.00     7.288    1.2527265359881702e-02    3.3423969281187738e-05
   113.00     7.347    1.2524343732655568e-02    3.3901577626949120e-05
   114.00     7.406    1.2521456404275152e-02    3.2337698952389360e-05
   115.00     7.465    1.2518601995562739e-02    3.3873427591757377e-05
   116.00     7.524    1.2515779841852948e-02    3.1836782689254051e-05
   117.00     7.583    1.2512989901412402e-02    3.3790151652723921e-05
   118.00     7.642    1.2510230585268527e-02    3.1921594541017839e-05
