    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8298395896736979e-01
     2.00     0.724    5.3128131761032003e-02    1.6309503008711729e-02
     3.00     0.971    3.5855041803128318e-02    5.9045751775131383e-03
     4.00     1.215    2.2601224870378644e-02    3.2966762923225534e-03
     5.00     1.462    1.7741104184012726e-02    1.3648972956392669e-03
     6.00     1.705    1.4234035414658544e-02    8.1578756945455133e-04
     7.00     2.140    1.2798571171606562e-02    4.0791039260268391e-04
     8.00     2.580    1.2193012787795592e-02    1.9788058767480909e-04
     9.00     3.091    1.2028129520905243e-02    6.7058829778639945e-05
    10.00     3.537    1.2024485163595399e-02    2.2994592138725345e-06
    11.00     3.962    1.2023892683758244e-02    4.5356817501840396e-07
    12.00     4.474    1.2023891695418421e-02    1.1486951390082822e-09
    13.00     4.991    1.2023891692785447e-02    4.9905413135320487e-11
