    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2835419783665922e-01
     1.00     0.016    5.5938675153363548e-01    2.3435679968982139e-02
     2.00     0.030    5.5405436076408177e-01    3.1995061033104275e-02
     3.00     0.046    5.4887696800186669e-01    1.8478532201579467e-02
     4.00     0.062    5.4549746116615505e-01    1.3166610090512704e-02
     5.00     0.079    5.4418226469593778e-01    6.6239806383533995e-03
     6.00     0.094    5.4382947134981785e-01    6.0118402893646616e-03
     7.00     0.109    5.4347298059504789e-01    2.9426467305457178e-03
     8.00     0.124    5.4344205765898534e-01    1.8450304892320135e-03
     9.00     0.139    5.4341030551522640e-01    1.3552980867019560e-03
    10.00     0.155    5.4338376694657498e-01    4.0258584197630249e-04
    11.00     0.172    5.4338099170831833e-01    6.8149569889008887e-04
    12.00     0.188    5.4337621602465846e-01    9.5626003639498469e-04
    13.00     0.204    5.4337024533722111e-01    3.7236165594686441e-04
    14.00     0.218    5.4336666339147355e-01    1.9824123181070826e-04
    15.00     0.233    5.4336365557796273e-01    1.3630423818172810e-04
    16.00     0.248    5.4336089342137184e-01    1.1085635132829230e-04
    17.00     0.265    5.4335844300651914e-01    7.6920518708445407e-05
    18.00     0.282    5.4335619641194999e-01    1.2000320371968742e-04
    19.00     0.298    5.4335411217264351e-01    1.0646171882494615e-04
    20.00     0.314    5.4335221813924528e-01    1.2119919806918844e-04
    21.00     0.329    5.4335044591831017e-01    6.7005227152083791e-05
    22.00     0.344    5.4334883989727212e-01    1.1100988625534214e-04
    23.00     0.360    5.4334733596396523e-01    7.8617751970599947e-05
    24.00     0.377    5.4334594937757108e-01    4.2969985523388932e-05
    25.00     0.393    5.4334466878465426e-01    6.9862991460722945e-05
    26.00     0.409    5.4334349228057444e-01    6.5710939304186589e-05
    27.00     0.425    5.4334240261097733e-01    3.2968349158002397e-05
    28.00     0.450    5.4334139553555438e-01    4.6076384737081533e-05
    29.00     0.472    5.4334046540454284e-01    4.6382545992318391e-05
    30.00     0.488    5.4333960485719535e-01    3.0352052516557926e-05
    31.00     0.504    5.4333880654191147e-01    2.6712095794967361e-05
    32.00     0.519    5.4333807069868634e-01    5.1653841353860308e-05
    33.00     0.533    5.4333738586466551e-01    4.5505170705673059e-05
    34.00     0.549    5.4333674971006751e-01    3.3949544843037138e-05
    35.00     0.565    5.4333616315896271e-01    4.3277532521424078e-05
    36.00     0.582    5.4333561826148524e-01    4.6055031755365405e-05
    37.00     0.596    5.4333511193965811e-01    3.5958490387066888e-05
    38.00     0.611    5.4333464331003867e-01    3.0339735090145759e-05
    39.00     0.626    5.4333420790173637e-01    2.5185585071030303e-05
    40.00     0.641    5.4333380371229567e-01    2.0249805018579536e-05
    41.00     0.657    5.4333342776202032e-01    2.2413942528998199e-05
    42.00     0.673    5.4333307776281869e-01    2.3891240706119810e-05
    43.00     0.689    5.4333275416267091e-01    2.2446990319724414e-05
    44.00     0.703    5.4333245310837031e-01    2.5342250448479042e-05
    45.00     0.717    5.4333217275692280e-01    2.4573709152875267e-05
    46.00     0.732    5.4333191390195668e-01    3.6320265600520152e-05
    47.00     0.748    5.4333167091334655e-01    2.2423538462934545e-05
    48.00     0.765    5.4333144702175518e-01    2.4192818470880617e-05
    49.00     0.780    5.4333123858235288e-01    2.6068326584915980e-05
    50.00     0.795    5.4333104411013855e-01    2.4540602786449206e-05
    51.00     0.812    5.4333086332654967e-01    1.6911802902974671e-05
    52.00     0.826    5.4333069550681690e-01    1.6229569613224193e-05
    53.00     0.841    5.4333053911318441e-01    1.4125531841879813e-05
    54.00     0.860    5.4333039356847201e-01    1.5714176412662262e-05
    55.00     0.876    5.4333025852035977e-01    1.3633641426591403e-05
    56.00     0.893    5.4333013309390110e-01    1.1660287372983191e-05
    57.00     0.908    5.4333001634025047e-01    1.5468558907105745e-05
    58.00     0.922    5.4332990738843467e-01    1.3564732923021516e-05
    59.00     0.937    5.4332980581678592e-01    1.2731799241660902e-05
    60.00     0.952    5.4332971124218310e-01    1.0314939337674467e-05
