    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     0.10     0.177    6.2191212563518883e-01    1.4432270895807314e-01
     0.20     0.265    5.6625093429317686e-01    1.2473939732592465e-01
     0.30     0.353    5.1844941434225833e-01    1.0823436452468933e-01
     0.40     0.440    4.7384532234660687e-01    9.2065645599404611e-02
     0.50     0.527    4.3534307516490017e-01    7.7764896758357099e-02
     0.60     0.615    4.0591462236382886e-01    6.6759299537472616e-02
     0.70     0.703    3.8368485375029782e-01    5.8655069909654967e-02
     0.80     0.790    3.6655629958148622e-01    5.2685086237143242e-02
     0.90     0.874    3.5308911156172812e-01    4.7991346000228030e-02
     1.10     1.048    3.1489228218710147e-01    3.4981871323374936e-02
     1.20     1.135    3.0121183891012659e-01    3.0462080430720739e-02
     1.30     1.222    2.9672030782355552e-01    2.9077520046535077e-02
     1.40     1.310    2.8561553097323727e-01    2.5573411544113633e-02
     1.50     1.397    2.6966280065380183e-01    2.0616380569128734e-02
     1.60     1.484    2.6316625059615856e-01    1.8631696388206498e-02
     1.70     1.572    2.5348167967599644e-01    1.5779773065804026e-02
     1.80     1.659    2.4587006441485415e-01    1.3713231764082567e-02
     1.90     1.742    2.3690891369779063e-01    1.1356843677069683e-02
     2.10     1.916    2.2127272082723737e-01    7.6318060062823267e-03
     2.20     2.004    2.1119113804686626e-01    6.4450992528269913e-03
     2.30     2.086    2.0624412320243532e-01    6.4216347346561786e-03
     2.40     2.174    1.9811008330560503e-01    5.6494211405203609e-03
     2.50     2.263    1.8775589807880377e-01    5.5908800774815415e-03
     2.60     2.351    1.8013895534028179e-01    5.2730463182157905e-03
     2.70     2.441    1.7207637420311334e-01    4.8426492804235499e-03
     2.80     2.532    1.6440230972617265e-01    4.4780879975555576e-03
     2.90     2.619    1.5802878780283056e-01    3.9956562837552001e-03
     3.10     2.796    1.5361252186590510e-01    2.7749838756491174e-03
     3.20     2.895    1.5231331969769754e-01    2.4467088933292080e-03
     3.30     2.993    1.4846153798709716e-01    2.3803393993980793e-03
     3.40     3.092    1.4658007713297425e-01    1.9291698967274229e-03
     3.50     3.279    1.4480140681303608e-01    1.6281742441472957e-03
     3.60     3.473    1.4005757183201795e-01    1.4888938410633212e-03
     3.70     3.566    1.3784728552939085e-01    1.2786063843490680e-03
     3.80     3.717    1.3607816863046526e-01    1.1123733275759662e-03
     3.90     3.905    1.3447463310933788e-01    9.1951571674364629e-04
     4.10     4.309    1.3078716099602222e-01    7.4851590217983599e-04
     4.20     4.528    1.2893264931318071e-01    7.1043163785833308e-04
     4.30     4.743    1.2707406034802066e-01    6.9262190122709733e-04
     4.40     4.948    1.2656825228407556e-01    5.4639757233698738e-04
     4.50     5.161    1.2602930588227748e-01    4.6000935931855835e-04
     4.60     5.388    1.2543000739457166e-01    3.4685289849156753e-04
     4.70     5.612    1.2510585662933266e-01    2.8824853406561601e-04
     4.80     5.837    1.2478063001206505e-01    2.4166928392821418e-04
     4.90     6.039    1.2465369656398934e-01    1.8213362867269822e-04
     5.10     6.653    1.2352270672777259e-01    1.6038798221917894e-04
     5.20     6.837    1.2324294507774933e-01    1.2948275074053939e-04
     5.30     7.107    1.2266533107891227e-01    7.5290852854292822e-05
     5.40     7.294    1.2262965772498846e-01    6.3062342593012133e-05
     5.50     7.492    1.2259013349322949e-01    5.9351172725374823e-05
     5.60     7.710    1.2255015071956610e-01    5.9351674441376900e-05
     5.70     7.899    1.2250170555700683e-01    5.5303672603645992e-05
     5.80     8.103    1.2243157746270600e-01    4.7194837576647330e-05
     5.90     8.283    1.2242427208716468e-01    4.6787649577328949e-05
     6.10     8.811    1.2230684740946354e-01    4.6806367717699970e-05
     6.20     9.041    1.2222317482769957e-01    3.6539419212999746e-05
     6.30     9.434    1.2210211124069620e-01    1.3383141600709081e-05
     6.40     9.656    1.2210182086370699e-01    1.3346238344702499e-05
     6.50     9.800    1.2210138220058911e-01    1.3346711035033820e-05
     6.60     9.938    1.2210083094947204e-01    1.3346731293495395e-05
     6.70    10.080    1.2209317859395016e-01    1.1987533810930984e-05
     6.80    10.222    1.2208345739593779e-01    1.1401198116489653e-05
     6.90    10.325    1.2208345744152486e-01    1.1402845192076683e-05
     7.10    10.715    1.2207837033251458e-01    1.0051767321606064e-05
     7.20    10.907    1.2206945023402067e-01    7.7840320900079973e-06
     7.30    11.354    1.2206199872887319e-01    1.4084685537874009e-06
     7.40    11.482    1.2206199713184113e-01    1.4113269326543332e-06
