    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6790287241954610e-01
     1.00     0.057    2.2461808072775352e-01    6.9470834717009211e-03
     2.00     0.112    2.1626167601107407e-01    6.9752831906018109e-03
     3.00     0.169    1.8209130980822880e-01    4.4865174082104886e-03
     4.00     0.226    1.6501993044473859e-01    1.9705601700497066e-03
     5.00     0.283    1.5988355730959508e-01    2.9263883556555070e-03
     6.00     0.340    1.5419921123709229e-01    1.9295876195586370e-03
     7.00     0.396    1.5091995111668813e-01    7.1915673537770175e-04
     8.00     0.453    1.4860551752497642e-01    6.9149259023459919e-04
     9.00     0.510    1.4664773418422675e-01    6.3111059596909769e-04
    10.00     0.567    1.4525191161915887e-01    6.0616976695593294e-04
    11.00     0.623    1.4411973280128959e-01    5.9399717912023142e-04
    12.00     0.681    1.4312792863593440e-01    5.8614035874771098e-04
    13.00     0.738    1.4226564333192193e-01    5.6857069116134085e-04
    14.00     0.794    1.4149309053034179e-01    5.4770611277743519e-04
    15.00     0.850    1.4079216498505673e-01    5.2893315725732748e-04
    16.00     0.906    1.4015378197237394e-01    5.1564948456661597e-04
    17.00     0.963    1.3957115450380761e-01    5.0223367656032636e-04
    18.00     1.019    1.3903418327069827e-01    4.8843331411996260e-04
    19.00     1.075    1.3853659782479083e-01    4.7458487180485065e-04
    20.00     1.135    1.3807341290741951e-01    4.6246618942014095e-04
    21.00     1.190    1.3764075825321037e-01    4.5106187486121385e-04
    22.00     1.247    1.3723524457585637e-01    4.4021927536608274e-04
    23.00     1.303    1.3685520553643354e-01    4.3100498183878955e-04
    24.00     1.360    1.3649623713075232e-01    4.2121459182853371e-04
    25.00     1.417    1.3615656053022918e-01    4.1146438480366143e-04
    26.00     1.474    1.3583479363746390e-01    4.0246038609303980e-04
    27.00     1.531    1.3553031479319785e-01    3.9491561091065108e-04
    28.00     1.587    1.3524081698836762e-01    3.8678128647529064e-04
    29.00     1.644    1.3496535866188725e-01    3.7904704733415784e-04
    30.00     1.701    1.3470277222785620e-01    3.7205453442057390e-04
    31.00     1.758    1.3445253913390129e-01    3.6528321915740847e-04
    32.00     1.814    1.3421390496521599e-01    3.5835790046778726e-04
    33.00     1.870    1.3398534788136027e-01    3.5191577172755117e-04
    34.00     1.927    1.3376613749191513e-01    3.4610728199435670e-04
    35.00     1.984    1.3355589163147688e-01    3.4050427580334386e-04
    36.00     2.040    1.3335396315541606e-01    3.3482829774023060e-04
    37.00     2.097    1.3315979774119954e-01    3.2968208458061810e-04
    38.00     2.152    1.3297280326022434e-01    3.2445039424322530e-04
    39.00     2.209    1.3279249351822908e-01    3.1919265676405573e-04
    40.00     2.265    1.3261865381546981e-01    3.1480341263501188e-04
    41.00     2.322    1.3245089193562518e-01    3.1022434002148103e-04
    42.00     2.378    1.3228879888419542e-01    3.0540697551684204e-04
    43.00     2.435    1.3213234392430717e-01    3.0121615284661729e-04
    44.00     2.491    1.3198086425898142e-01    2.9662275363229185e-04
    45.00     2.553    1.3183434563824328e-01    2.9297841455644402e-04
    46.00     2.609    1.3169231569624540e-01    2.8918456444859686e-04
    47.00     2.666    1.3155463231618475e-01    2.8535667590734448e-04
    48.00     2.722    1.3142126020683806e-01    2.8165862527984586e-04
    49.00     2.778    1.3129173980397277e-01    2.7784445469691832e-04
    50.00     2.834    1.3116601193219482e-01    2.7404299841116142e-04
    51.00     2.891    1.3104397233892723e-01    2.7056783184065125e-04
    52.00     2.947    1.3092532727994810e-01    2.6723022148722464e-04
    53.00     3.004    1.3080984915568533e-01    2.6383703222609967e-04
    54.00     3.061    1.3069738346434906e-01    2.6009701069718005e-04
    55.00     3.117    1.3058798200044747e-01    2.5672300378687396e-04
    56.00     3.173    1.3048147982752978e-01    2.5393574565146793e-04
    57.00     3.229    1.3037773485939985e-01    2.5111771500263558e-04
    58.00     3.285    1.3027694186246055e-01    2.4825006540396544e-04
    59.00     3.342    1.3017872196584609e-01    2.4527639052074335e-04
    60.00     3.397    1.3008280185824037e-01    2.4225608544714561e-04
    61.00     3.454    1.2998911603381472e-01    2.3921365950840823e-04
    62.00     3.510    1.2989768572681698e-01    2.3644341948259040e-04
    63.00     3.567    1.2980846969834692e-01    2.3381984833203973e-04
    64.00     3.624    1.2972144366545246e-01    2.3117506195813320e-04
    65.00     3.679    1.2963639570105029e-01    2.2870884656622792e-04
    66.00     3.735    1.2955324669280163e-01    2.2625759668937206e-04
    67.00     3.791    1.2947193593900422e-01    2.2371301648060893e-04
    68.00     3.847    1.2939241345154531e-01    2.2134877616863946e-04
    69.00     3.903    1.2931458359752426e-01    2.1902190916645026e-04
    70.00     3.965    1.2923846780486231e-01    2.1691552421998495e-04
    71.00     4.021    1.2916392692773687e-01    2.1465571121215277e-04
    72.00     4.077    1.2909093551464060e-01    2.1242798542608909e-04
    73.00     4.133    1.2901945744773330e-01    2.1031556898787329e-04
    74.00     4.189    1.2894935334525778e-01    2.0815383247096975e-04
    75.00     4.244    1.2888074113620940e-01    2.0620247844949091e-04
    76.00     4.301    1.2881353191136477e-01    2.0431671666631956e-04
    77.00     4.357    1.2874758624801974e-01    2.0225811288820950e-04
    78.00     4.413    1.2868294402280064e-01    2.0023444775940646e-04
    79.00     4.470    1.2861951829163831e-01    1.9837128705724183e-04
    80.00     4.525    1.2855729231326574e-01    1.9668816940665579e-04
    81.00     4.581    1.2849626970198708e-01    1.9491714651564962e-04
    82.00     4.637    1.2843633206317723e-01    1.9296235223897895e-04
    83.00     4.694    1.2837753663767029e-01    1.9115394001012476e-04
    84.00     4.750    1.2831979027533874e-01    1.8913182146462759e-04
    85.00     4.805    1.2826312165733433e-01    1.8716728213608036e-04
    86.00     4.861    1.2820759567959786e-01    1.8530422727103257e-04
    87.00     4.918    1.2815308218832128e-01    1.8346857386042359e-04
    88.00     4.974    1.2809954955065173e-01    1.8186204310399745e-04
    89.00     5.030    1.2804693371076645e-01    1.8021388045408315e-04
    90.00     5.086    1.2799524412015312e-01    1.7872532221208104e-04
    91.00     5.141    1.2794443394588986e-01    1.7721741677512171e-04
    92.00     5.197    1.2789443873594250e-01    1.7559264910627093e-04
    93.00     5.254    1.2784528829087927e-01    1.7404681876875827e-04
    94.00     5.310    1.2779694473543507e-01    1.7254513048925446e-04
    95.01     5.370    1.2774939029770077e-01    1.7099298559664078e-04
    96.01     5.426    1.2770261273549352e-01    1.6947801947786445e-04
    97.01     5.482    1.2765655487135205e-01    1.6794526768570961e-04
    98.01     5.538    1.2761126539390558e-01    1.6662868184091906e-04
    99.01     5.594    1.2756668296079882e-01    1.6528962467798891e-04
   100.01     5.651    1.2752279590527427e-01    1.6386938109391735e-04
   101.01     5.707    1.2747957324751449e-01    1.6251916432619140e-04
   102.01     5.762    1.2743700391378587e-01    1.6116832153123539e-04
   103.01     5.819    1.2739505629347628e-01    1.5978759650536745e-04
   104.01     5.875    1.2735373419751925e-01    1.5881522820571092e-04
   105.01     5.930    1.2731304662713139e-01    1.5799890530754368e-04
   106.01     5.986    1.2727294877728676e-01    1.5719400170599584e-04
   107.01     6.043    1.2723340049495624e-01    1.5637147483271718e-04
   108.01     6.098    1.2719442228601902e-01    1.5557555608403106e-04
   109.01     6.155    1.2715602295330544e-01    1.5482615820605616e-04
   110.01     6.211    1.2711814730977966e-01    1.5407086382523971e-04
   111.01     6.267    1.2708077920158414e-01    1.5329776177530618e-04
   112.01     6.322    1.2704389851585818e-01    1.5251571091035032e-04
   113.01     6.378    1.2700753359142111e-01    1.5176079896583872e-04
   114.01     6.435    1.2697170718227341e-01    1.5103315662301497e-04
   115.01     6.491    1.2693634832043277e-01    1.5029928390930536e-04
   116.01     6.547    1.2690145132017855e-01    1.4955002493888259e-04
   117.01     6.603    1.2686698914469238e-01    1.4879401247647195e-04
   118.01     6.659    1.2683297795638532e-01    1.4805235757187063e-04
   119.01     6.715    1.2679940079115740e-01    1.4732139656015164e-04
   120.01     6.776    1.2676625502228617e-01    1.4657689971553367e-04
   121.01     6.833    1.2673351485109113e-01    1.4584330441635984e-04
   122.01     6.890    1.2670116552377739e-01    1.4513482077749273e-04
   123.01     6.947    1.2666923444141012e-01    1.4444694737925090e-04
   124.01     7.003    1.2663769327658786e-01    1.4375488144136028e-04
   125.01     7.058    1.2660654402609559e-01    1.4307058950890905e-04
   126.01     7.115    1.2657578063204397e-01    1.4238147504563869e-04
   127.01     7.171    1.2654538787820960e-01    1.4170214072084519e-04
   128.01     7.228    1.2651534691507657e-01    1.4101220691919991e-04
