    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     1.00     0.956    3.7922444470787148e-01    1.2136228804138227e-05
     2.00     1.879    3.8181073234992813e-01    1.6338825332695706e-05
     3.00     2.866    3.8273172832065466e-01    1.7600141489992893e-05
     4.00     3.876    3.8288232956995477e-01    1.7802387361598448e-05
     5.00     4.832    3.8276676023569167e-01    1.7657603052612103e-05
     6.00     5.782    3.8251109114329085e-01    1.7324410961805370e-05
     7.00     6.722    3.8220270407375267e-01    1.6911486412141130e-05
     8.00     7.649    3.8190490113808417e-01    1.6502824195185894e-05
     9.00     8.583    3.8160816407648535e-01    1.6084055971532507e-05
    10.00     9.532    3.8132308244229995e-01    1.5670954979896123e-05
    11.00    10.473    3.8105239411820446e-01    1.5268368414922406e-05
    12.00    11.406    3.8079543510324226e-01    1.4876124296847593e-05
    13.00    12.338    3.8055150904698953e-01    1.4493956925321072e-05
    14.00    13.287    3.8031995491790849e-01    1.4121607421202498e-05
    15.00    14.220    3.8010014521197510e-01    1.3758823570242384e-05
    16.00    15.152    3.7989148425216263e-01    1.3405359638340997e-05
    17.00    16.029    3.7969340657417788e-01    1.3060976172596384e-05
    18.00    16.914    3.7950537539407059e-01    1.2725439930250104e-05
    19.00    17.798    3.7932688115356739e-01    1.2398523594470134e-05
    20.00    18.739    3.7915744013918556e-01    1.2080005738823729e-05
    21.00    19.634    3.7899659317138529e-01    1.1769670599903748e-05
    22.00    20.518    3.7884390436020909e-01    1.1467307963641815e-05
    23.00    21.404    3.7869895992403368e-01    1.1172713023199776e-05
    24.00    22.291    3.7856136706823751e-01    1.0885686222650293e-05
    25.00    23.173    3.7843075292073791e-01    1.0606033136184578e-05
    26.00    24.060    3.7830676352152109e-01    1.0333564340214707e-05
    27.00    24.943    3.7818906286342208e-01    1.0068095271265065e-05
    28.00    25.830    3.7807733198158616e-01    9.8094461051800863e-06
    29.00    26.715    3.7797126808902154e-01    9.5574416647536964e-06
    30.00    27.602    3.7787058375614158e-01    9.3119112563044837e-06
    31.00    28.486    3.7777500613172477e-01    9.0726885915159983e-06
    32.00    29.369    3.7768427620382267e-01    8.8396116666444868e-06
    33.00    30.244    3.7759814809740988e-01    8.6125226843591918e-06
    34.00    31.124    3.7751638840829937e-01    8.3912679400555135e-06
    35.00    31.994    3.7743877557099592e-01    8.1756977365898820e-06
    36.00    32.872    3.7736509925704420e-01    7.9656663629634750e-06
    37.00    33.760    3.7729515980659933e-01    7.7610320019516621e-06
    38.00    34.639    3.7722876769091629e-01    7.5616565169411842e-06
    39.00    35.511    3.7716574298972688e-01    7.3674058711503676e-06
    40.00    36.412    3.7710591490969481e-01    7.1781499357825851e-06
    41.00    37.312    3.7704912132272550e-01    6.9937624971316836e-06
    42.00    38.195    3.7699520832317840e-01    6.8141216473804889e-06
    43.00    39.073    3.7694402980789116e-01    6.6391101896101645e-06
    44.00    39.953    3.7689544712304179e-01    6.4686136909131164e-06
    45.00    40.834    3.7684932861728127e-01    6.3025247598602618e-06
    46.00    41.716    3.7680554933214333e-01    6.1407412061953437e-06
    47.00    42.586    3.7676399065908772e-01    5.9831670213839061e-06
    48.00    43.465    3.7672453995996330e-01    5.8297170468790682e-06
    49.00    44.359    3.7668709032883718e-01    5.6803144126149618e-06
    50.00    45.284    3.7665154031821718e-01    5.5348908070129710e-06
    51.00    46.171    3.7661779374151588e-01    5.3933818726648042e-06
    52.00    47.085    3.7658575970824643e-01    5.2557025149724268e-06
    53.00    47.961    3.7655535119744299e-01    5.1218355672233429e-06
    54.00    48.891    3.7652648587269727e-01    4.9917568283319724e-06
    55.00    49.804    3.7649908524056747e-01    4.8654890356658598e-06
    56.00    50.766    3.7647307564547750e-01    4.7429800531517685e-06
    57.00    51.683    3.7644838744615827e-01    4.6241239246569421e-06
    58.00    52.572    3.7642495249954361e-01    4.5090672493586226e-06
    59.00    53.452    3.7640270745883159e-01    4.3978025097146656e-06
    60.00    54.356    3.7638159396498938e-01    4.2899467871393426e-06
    61.00    55.295    3.7636155492378670e-01    4.1852801686559360e-06
    62.00    56.169    3.7634253594204076e-01    4.0835499355296179e-06
    63.00    57.048    3.7632448435271532e-01    3.9847514656798921e-06
    64.00    57.928    3.7630735037536800e-01    3.8888914595247570e-06
    65.00    58.810    3.7629108853461712e-01    3.7953665668055692e-06
    66.00    59.701    3.7627565299403454e-01    3.7045324958739911e-06
    67.00    60.613    3.7626100167902332e-01    3.6163030614488889e-06
    68.00    61.508    3.7624709747236967e-01    3.5290984037317230e-06
    69.00    62.405    3.7623389959695119e-01    3.4440981231398382e-06
    70.00    63.318    3.7622137320336968e-01    3.3605288400906375e-06
    71.00    64.211    3.7620948356574585e-01    3.2785710928351364e-06
    72.00    65.103    3.7619819798304310e-01    3.1983264747736939e-06
    73.00    65.996    3.7618748529091833e-01    3.1200634396100213e-06
    74.00    66.890    3.7617731640919572e-01    3.0437163260899069e-06
    75.00    67.802    3.7616766452884476e-01    2.9684767302029513e-06
    76.00    68.714    3.7615850254830435e-01    2.8950163262209117e-06
    77.00    69.623    3.7614980549274935e-01    2.8233910978059384e-06
    78.00    70.514    3.7614154985742232e-01    2.7534527209382986e-06
    79.00    71.393    3.7613371358629971e-01    2.6847130740748071e-06
    80.00    72.286    3.7612627501750973e-01    2.6175450855703275e-06
    81.00    73.179    3.7611921390546493e-01    2.5519779658367270e-06
    82.00    74.074    3.7611251113813776e-01    2.4879016482515226e-06
    83.00    74.981    3.7610614848377094e-01    2.4253342250091237e-06
    84.00    75.893    3.7610010862511351e-01    2.3643282283103417e-06
    85.00    76.785    3.7609437517229466e-01    2.3048672144199145e-06
    86.00    77.667    3.7608893266303084e-01    2.2467549101179429e-06
    87.00    78.552    3.7608376632012841e-01    2.1899795967783575e-06
    88.00    79.444    3.7607886206766489e-01    2.1346170484548566e-06
    89.00    80.336    3.7607420663465368e-01    2.0805730258643962e-06
    90.00    81.231    3.7606978738101376e-01    2.0278606260859533e-06
    91.00    82.121    3.7606559234382009e-01    1.9764338041738938e-06
    92.00    83.013    3.7606161013417833e-01    1.9262700465816351e-06
    93.00    83.898    3.7605782994379211e-01    1.8773628571722156e-06
    94.00    84.817    3.7605424153916772e-01    1.8296733621525618e-06
    95.00    85.732    3.7605083519502425e-01    1.7831360654696482e-06
    96.00    86.632    3.7604760165627277e-01    1.7377513579219794e-06
    97.00    87.522    3.7604453215318284e-01    1.6935090751957205e-06
    98.00    88.403    3.7604161840403760e-01    1.6503950810431434e-06
    99.00    89.292    3.7603885250043323e-01    1.6083632718988383e-06
   100.00    90.180    3.7603622695443140e-01    1.5673354489820213e-06
   101.00    91.068    3.7603373461362666e-01    1.5273312357066970e-06
   102.00    91.954    3.7603136872040405e-01    1.4883278680599688e-06
   103.00    92.845    3.7602912289386076e-01    1.4502946568129005e-06
   104.00    93.732    3.7602699107150478e-01    1.4132159558144508e-06
   105.00    94.621    3.7602496744652053e-01    1.3770668090273830e-06
   106.00    95.515    3.7602304652163893e-01    1.3418270210507899e-06
   107.00    96.405    3.7602122309926111e-01    1.3074604803264833e-06
   108.00    97.288    3.7601949227265435e-01    1.2739663937111345e-06
   109.00    98.178    3.7601784928986459e-01    1.2413202910011023e-06
   110.00    99.071    3.7601628974217199e-01    1.2094962782427388e-06
   111.00    99.977    3.7601480940827720e-01    1.1784359967847990e-06
   112.00   100.857    3.7601340425933977e-01    1.1481540242996857e-06
   113.00   101.770    3.7601207045387702e-01    1.1186288784159615e-06
   114.00   102.675    3.7601080436191503e-01    1.0898382347690472e-06
