    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994684e-01    2.1882509462466615e-01
     0.10     0.428    3.7816565056151585e-01    2.0612567819540840e-03
     0.20     0.733    3.7616010895776503e-01    1.6186498971777814e-04
     0.30     1.044    3.7601020719549527e-01    1.9910622143955993e-05
     0.40     1.382    3.7599299840906691e-01    3.2743668542078151e-06
     0.50     1.755    3.7599060238907689e-01    5.8554879917052630e-07
     0.60     2.095    3.7599044362588935e-01    2.1730922218488327e-07
     0.70     2.428    3.7599043449980152e-01    1.6378187698735928e-07
     0.80     2.678    3.7599038807321145e-01    1.1954904123635724e-07
     0.90     2.932    3.7599042116196563e-01    1.6141047546394058e-07
     1.00     3.175    3.7599042023024309e-01    1.6202222171261546e-07
     1.10     3.428    3.7599041738837813e-01    1.5537448036307400e-07
     1.20     3.671    3.7599038320054923e-01    1.2973153641907177e-07
     1.30     3.917    3.7599038317775124e-01    1.2768757842710043e-07
     1.40     4.172    3.7599038307483684e-01    1.2412246956807401e-07
     1.50     4.417    3.7599038255998896e-01    1.2229605981487802e-07
     1.60     4.660    3.7599038266848617e-01    1.2113753762247345e-07
     1.70     4.915    3.7599038177269922e-01    1.1880999528542149e-07
     1.80     5.158    3.7599038220739284e-01    1.1668292580673094e-07
     1.90     5.403    3.7599038328978390e-01    1.1725839459111717e-07
     2.00     5.664    3.7599032370010449e-01    1.9252528003964831e-08
     2.10     5.919    3.7599032370726526e-01    1.9424246867098147e-08
     2.20     6.163    3.7599032368923913e-01    1.8818839224850484e-08
     2.30     6.408    3.7599032376580116e-01    1.9358353784789397e-08
     2.40     6.663    3.7599032423170781e-01    2.5489341892774728e-08
     2.50     6.907    3.7599032439916058e-01    2.5768488372362162e-08
     2.60     7.128    3.7599032456205161e-01    2.7316131950017493e-08
     2.70     7.406    3.7599032410447880e-01    2.6552536328439167e-08
     2.80     7.753    3.7599032270792665e-01    2.2359189518417747e-08
     2.90     8.037    3.7599032182838638e-01    1.9130101340741750e-08
     3.00     8.411    3.7599032114099712e-01    1.4473010831990605e-08
     3.10     8.764    3.7599032078894262e-01    1.3155544970655211e-08
     3.20     9.078    3.7599032045649639e-01    1.0531802720549330e-08
