    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     2.00     3.395    3.9600053982141309e-01    1.8666456599682080e-02
     3.00     4.555    3.8320756524414035e-01    6.8229158799175682e-03
     4.00     5.770    3.7865118454504143e-01    2.5270007336685163e-03
     5.00     7.010    3.7697683535033472e-01    9.3781449316621135e-04
     6.00     8.653    3.7635398525101432e-01    3.4617868876329894e-04
     7.00    10.757    3.7612330693499946e-01    1.2726946117980198e-04
     8.00    12.224    3.7603840173443864e-01    4.6900046262843276e-05
     9.00    13.673    3.7600726041322957e-01    1.7189019855923249e-05
    10.00    14.908    3.7599598568312498e-01    6.2143331973629756e-06
    11.00    16.097    3.7599200096601582e-01    2.2090071274405432e-06
    12.00    17.263    3.7599069876436148e-01    7.3751887130768523e-07
    13.00    18.413    3.7599036598282143e-01    2.0166146530442575e-07
    14.00    19.654    3.7599032138081878e-01    3.1073135176029609e-08
    15.00    20.889    3.7599032002227045e-01    1.0941136885378455e-09
    16.00    22.043    3.7599032002051280e-01    1.4712675522332574e-12
