    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     4.00     0.041    4.6417211073145048e-01    1.4354833947643281e-01
     8.00     0.075    3.4437914879240672e-01    7.0026877104432395e-03
    12.00     0.110    3.2610710444195862e-01    1.1793245384241757e-03
    16.00     0.144    3.2478670794017456e-01    3.3851451790730680e-03
    20.00     0.178    3.2442495442555302e-01    8.5560145942711885e-04
    24.00     0.208    3.2404874835663006e-01    4.1451128748004606e-04
    28.00     0.246    3.2389377289986637e-01    1.4030783605856190e-03
    32.00     0.272    3.2379915138284798e-01    6.1213477864872912e-04
    36.00     0.307    3.2372102975888856e-01    2.4080220140171305e-04
    40.00     0.342    3.2361929060682915e-01    3.1152411197725438e-04
    44.00     0.373    3.2357892059530752e-01    4.2215284003788156e-04
    48.00     0.407    3.2349860033845967e-01    2.4578209335018864e-04
    52.00     0.442    3.2346684284982191e-01    1.9745164334432005e-04
    57.00     0.486    3.2345905144341974e-01    3.2528388680108655e-04
    61.00     0.520    3.2344639523307883e-01    4.3314693031531060e-04
    65.00     0.552    3.2342766913188714e-01    1.5431996699177830e-04
    69.00     0.589    3.2342186610795887e-01    5.1644181009313783e-04
    73.00     0.611    3.2341814164474464e-01    1.7449649930856683e-04
    77.00     0.663    3.2340862775985307e-01    2.1452192946114224e-04
    81.00     0.671    3.2340477209438334e-01    1.3824342758428365e-04
    85.00     0.701    3.2339773962532570e-01    2.4807775185597958e-04
    89.00     0.735    3.2339252041102656e-01    6.9151669064071442e-05
    93.00     0.769    3.2338810556024278e-01    4.6354421079697339e-05
    97.00     0.811    3.2338634419841350e-01    1.3575183564146220e-04
   101.00     0.838    3.2338600984166682e-01    4.5907429546243606e-05
   105.00     0.881    3.2338467966693446e-01    6.6552042138012801e-05
   109.00     0.907    3.2338389903779668e-01    3.8305682059870856e-05
   113.00     0.941    3.2338340545092864e-01    2.3850300360894749e-05
   117.00     0.974    3.2338269160869854e-01    2.6014020905809621e-05
