    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994518e-01    2.6904886213568374e-01
     0.12     0.010    6.9314251536459737e-01    2.6904502556443893e-01
     0.20     0.017    4.9820511934810829e-01    6.7948197532840329e-02
     0.32     0.029    4.6032323507826406e-01    5.9751107549569533e-02
     0.40     0.037    3.7971439014212760e-01    5.4194357654127064e-02
     0.52     0.049    3.6205182352418253e-01    2.5905302638026595e-02
     0.60     0.057    3.4574516547497891e-01    8.4807581761026790e-03
     0.72     0.069    3.3858955854155109e-01    4.9503236801878656e-03
     0.80     0.079    3.3287160608447325e-01    7.4518164589000620e-03
     0.92     0.092    3.2914692047725630e-01    4.9557170415312360e-03
     1.00     0.101    3.2866372276465633e-01    3.8244958169596048e-03
     1.12     0.112    3.2768343136187245e-01    2.6820470369570588e-03
     1.20     0.119    3.2746921521980610e-01    2.8310526445071461e-03
     1.32     0.130    3.2731417074696395e-01    2.6442206025295346e-03
     1.40     0.137    3.2716625092566959e-01    2.6977786328260572e-03
     1.52     0.149    3.2715599041142007e-01    3.2636584801620564e-03
     1.60     0.156    3.2712687674575064e-01    5.2187619321698072e-03
     1.72     0.169    3.2692233320731001e-01    3.4587349541941306e-03
     1.80     0.176    3.2684845315788424e-01    2.6250461349613331e-03
     1.92     0.187    3.2676030719139010e-01    1.6174006365974657e-03
     2.00     0.196    3.2671578575079341e-01    2.1380399384776740e-03
     2.12     0.207    3.2667866302098114e-01    1.7706136062240350e-03
     2.20     0.215    3.2666146524119022e-01    1.6847910187918467e-03
     2.32     0.227    3.2660033325660925e-01    1.6014897640209678e-03
     2.40     0.237    3.2659498882881843e-01    1.5151138110530021e-03
     2.52     0.249    3.2655118178576964e-01    1.4264207746891874e-03
     2.60     0.257    3.2650973727518046e-01    1.4050887396658124e-03
     2.72     0.268    3.2649268461219233e-01    1.4855456533696279e-03
     2.80     0.277    3.2643153967638339e-01    1.3485428489219244e-03
     2.92     0.288    3.2639737201238123e-01    1.3505622672996952e-03
     3.00     0.296    3.2639026019210748e-01    1.3085010452858110e-03
     3.12     0.342    3.2630982265056152e-01    1.1754061352490482e-03
     3.20     0.356    3.2623833341404290e-01    1.1560732665984810e-03
     3.32     0.374    3.2618174165029956e-01    1.1456650075943231e-03
     3.40     0.385    3.2610020473014972e-01    1.1290998093579222e-03
     3.52     0.401    3.2576569033683028e-01    1.0249236217551817e-03
     3.60     0.411    3.2554559055336274e-01    9.3492813006748252e-04
     3.72     0.426    3.2537535637635195e-01    8.5486943784573793e-04
     3.80     0.435    3.2530972427906119e-01    8.2169297571385016e-04
     3.92     0.451    3.2522149735194422e-01    7.5907577734163031e-04
     4.00     0.465    3.2510040671975743e-01    1.1436995259834445e-03
     4.12     0.478    3.2491923350314711e-01    1.0738560681531365e-03
     4.20     0.494    3.2478991673652619e-01    1.2291309770688583e-03
     4.32     0.507    3.2466886942896128e-01    1.2989038093877024e-03
     4.40     0.516    3.2463935003789052e-01    9.3620887623621890e-04
     4.52     0.530    3.2456245247865800e-01    6.4311302632098278e-04
     4.60     0.538    3.2451215059727256e-01    4.9831653348689350e-04
     4.72     0.552    3.2444551495552226e-01    4.6713228034696064e-04
     4.80     0.561    3.2441002714767508e-01    5.2664444374191197e-04
     4.92     0.575    3.2434405988651310e-01    6.2460148908332518e-04
     5.00     0.584    3.2430385291203634e-01    7.1727406385223985e-04
     5.12     0.596    3.2425272287501916e-01    7.2239102017819729e-04
     5.20     0.613    3.2420876919707747e-01    6.7003992514626297e-04
     5.32     0.626    3.2415480915527300e-01    6.6819547413816038e-04
     5.40     0.637    3.2412032395844681e-01    5.1962151665079686e-04
     5.52     0.668    3.2406505640577432e-01    4.3042472467646494e-04
     5.60     0.683    3.2402775547478657e-01    4.2554677505844224e-04
     5.72     0.706    3.2397626618211861e-01    3.1789173282959767e-04
     5.80     0.720    3.2394063238036247e-01    2.7573453433544316e-04
     5.92     0.738    3.2389707567702825e-01    2.8554857078065521e-04
     6.00     0.750    3.2386721998840190e-01    4.7461994444292688e-04
     6.12     0.766    3.2381760663185599e-01    4.1491749628886401e-04
     6.20     0.776    3.2378802729052319e-01    5.0774714619445868e-04
     6.32     0.799    3.2376291955972242e-01    6.0733229226932455e-04
     6.40     0.809    3.2373593167459835e-01    5.1278729621617519e-04
     6.52     0.823    3.2369790894804212e-01    4.4514949891952439e-04
     6.60     0.833    3.2368125915377627e-01    5.4244577583201789e-04
     6.72     0.846    3.2364711567134269e-01    7.7276128176170518e-04
     6.80     0.855    3.2362532199590743e-01    9.5812740223827407e-04
     6.92     0.870    3.2359759184148768e-01    8.6199948713105534e-04
     7.00     0.881    3.2357320032492110e-01    5.0290145551004075e-04
     7.12     0.895    3.2355039610443376e-01    2.7352674818910703e-04
     7.20     0.905    3.2354440577507215e-01    4.3143615900624165e-04
     7.32     0.928    3.2353382271636222e-01    9.0962545418913460e-04
     7.40     0.939    3.2351517243586614e-01    1.0085096766352445e-03
     7.52     0.954    3.2350069317083130e-01    9.5787188605727302e-04
     7.60     0.964    3.2349142386271240e-01    6.1704516028804975e-04
     7.72     0.979    3.2348073229263413e-01    3.2620070237800565e-04
     7.80     0.990    3.2346513982705227e-01    3.6404083762663308e-04
     7.92     1.004    3.2346306037981865e-01    4.2599765482789846e-04
     8.00     1.015    3.2346064569768512e-01    6.0660854685524698e-04
     8.12     1.029    3.2344454805600270e-01    4.5073421060263852e-04
     8.20     1.039    3.2343830199220636e-01    3.0104129705631682e-04
     8.32     1.061    3.2343483168228626e-01    3.1286105727959513e-04
     8.40     1.071    3.2344143064299119e-01    4.8982166117598363e-04
     8.52     1.086    3.2343078334482922e-01    8.1359188462082506e-04
     8.60     1.096    3.2342409285188817e-01    3.4531474925523538e-04
     8.72     1.110    3.2341659158728930e-01    5.2316349293058285e-04
     8.80     1.119    3.2341665439858536e-01    7.4691067126833881e-04
     8.92     1.133    3.2341138945039566e-01    4.8788137378619770e-04
     9.00     1.143    3.2340739694913279e-01    3.4803037425097406e-04
     9.12     1.159    3.2339990803162633e-01    2.0357887302916252e-04
     9.20     1.170    3.2339628995268227e-01    2.2494721759821356e-04
     9.32     1.185    3.2339833966601800e-01    3.0605598723658909e-04
     9.40     1.204    3.2339888185868393e-01    3.1348610113347434e-04
     9.52     1.219    3.2339552898037177e-01    2.5363126009549602e-04
     9.60     1.230    3.2339621846958649e-01    5.6326186542604247e-04
     9.72     1.246    3.2339338784124438e-01    2.2769776829043318e-04
     9.80     1.257    3.2339096925190164e-01    2.0727801012364935e-04
     9.92     1.273    3.2339211056712514e-01    2.9449705151186726e-04
    10.00     1.283    3.2339309752955248e-01    2.4731061166947981e-04
    10.12     1.297    3.2339094964787635e-01    2.0635880003233437e-04
    10.20     1.308    3.2338751544952882e-01    2.2010433809102023e-04
    10.32     1.320    3.2338736995991102e-01    2.0210256438666860e-04
    10.40     1.339    3.2338785382825447e-01    1.2923132797834988e-04
    10.52     1.355    3.2339161822323748e-01    2.7768448661092429e-04
    10.60     1.365    3.2338897728897070e-01    2.4394983392347273e-04
    10.72     1.381    3.2338386467047397e-01    8.7569068194680156e-05
    10.80     1.392    3.2338390399271694e-01    1.5578605344280058e-04
    10.92     1.408    3.2338313490696829e-01    8.9018742916329441e-05
    11.00     1.418    3.2338306192225386e-01    1.2124735196482149e-04
    11.12     1.434    3.2338320390714681e-01    1.1361745303764778e-04
    11.20     1.445    3.2338266739197419e-01    1.5962251174557050e-04
    11.32     1.457    3.2338197881216668e-01    1.0969233540688577e-04
    11.40     1.467    3.2338175832927318e-01    8.4597032687570698e-05
    11.52     1.482    3.2338160612021682e-01    6.9941453946231069e-05
    11.60     1.493    3.2338144836240595e-01    6.3458835158990156e-05
    11.72     1.510    3.2338254886028561e-01    1.1753274289240928e-04
    11.80     1.520    3.2338342694938244e-01    1.5210694346633335e-04
    11.92     1.535    3.2338232021308627e-01    1.1817856564087524e-04
    12.00     1.542    3.2338232021308627e-01    1.1817856564087524e-04
    12.12     1.558    3.2338108823717365e-01    9.9960622868934231e-05
    12.20     1.568    3.2338056272683535e-01    4.8909738444510640e-05
    12.32     1.585    3.2338046057956710e-01    6.5262625076261692e-05
    12.40     1.591    3.2338046057956710e-01    6.5262625076261692e-05
    12.52     1.609    3.2338028991932788e-01    3.4617612054055350e-05
    12.60     1.620    3.2338033999424931e-01    4.5060989685627083e-05
    12.72     1.635    3.2338038988823531e-01    5.4726841562580322e-05
    12.80     1.646    3.2338022020090196e-01    6.2293525601866604e-05
    12.92     1.662    3.2338002021990703e-01    5.0447652091091472e-05
    13.00     1.673    3.2337998734713974e-01    5.8263831196924461e-05
    13.12     1.688    3.2338020238313581e-01    7.8356743409781522e-05
    13.20     1.699    3.2337997157368648e-01    4.5210346765545636e-05
    13.32     1.714    3.2337991306294545e-01    4.7578238838457621e-05
    13.40     1.725    3.2337979797950489e-01    3.5384056501948010e-05
    13.52     1.748    3.2337979391434818e-01    2.9107649541235832e-05
    13.60     1.758    3.2337986556516490e-01    5.4130640191399369e-05
    13.72     1.775    3.2337980479935630e-01    2.2679859068512359e-05
    13.80     1.785    3.2337982197414378e-01    3.6859601465108927e-05
    13.92     1.801    3.2337983338909559e-01    6.4504128054615988e-05
    14.00     1.813    3.2337976974430066e-01    3.6523749503421684e-05
    14.12     1.828    3.2337976005856178e-01    2.5333994631862945e-05
    14.20     1.838    3.2337970579051017e-01    1.3494936608362707e-05
    14.32     1.854    3.2337971671658783e-01    2.0675759429970808e-05
    14.40     1.864    3.2337974712874257e-01    2.2420625509496063e-05
    14.52     1.880    3.2337965576244099e-01    3.5773382064289126e-05
    14.60     1.897    3.2337964459998636e-01    1.4626968470049482e-05
    14.72     1.914    3.2337965617360631e-01    1.9277215836776412e-05
    14.80     1.925    3.2337968580501619e-01    1.5798361311512583e-05
    14.92     1.941    3.2337966196378409e-01    2.1593205475011966e-05
    15.00     1.951    3.2337962878982429e-01    1.9320322337913798e-05
    15.12     1.968    3.2337962070807952e-01    1.0642923017160504e-05
    15.20     1.979    3.2337963262119213e-01    3.2154633012815055e-05
    15.32     1.994    3.2337962889579591e-01    1.6131593959403591e-05
    15.40     2.005    3.2337961047949398e-01    1.1354616212302323e-05
    15.52     2.022    3.2337961508213298e-01    1.3712271145911244e-05
    15.60     2.040    3.2337961751574956e-01    1.2947087269845904e-05
    15.72     2.055    3.2337961193501985e-01    1.7930616959586212e-05
    15.80     2.067    3.2337960522414855e-01    1.4206975520796059e-05
    15.92     2.083    3.2337959743491579e-01    9.4534005640613387e-06
