    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     5.00     2.574    6.1494364316017947e-01    8.0176793419310388e-03
     9.00     4.274    5.4799273870192677e-01    3.8011120624378281e-03
    13.00     5.970    5.0819648094167458e-01    2.5081175169089365e-03
    19.00     8.539    4.9573195732900649e-01    3.5046242368567126e-03
    23.00    10.232    4.8664086968445763e-01    3.1415897096296330e-03
    27.00    11.914    4.7760483423656663e-01    1.6690494188646987e-03
    31.00    15.224    4.7349540543298441e-01    1.8405893901365794e-03
    35.00    15.667    4.7266725497928891e-01    1.5398762827047996e-03
    39.00    17.425    4.6874893769229448e-01    1.3598571442606788e-03
    43.00    19.139    4.6619076841223239e-01    9.4554947541192202e-04
    48.00    21.531    4.6431978416571462e-01    8.3747741103490370e-04
    52.00    24.100    4.6359440116035189e-01    1.3880189399801957e-03
    56.00    24.937    4.6279345545770356e-01    5.3217184388304473e-04
    60.00    27.489    4.6145420314999036e-01    1.3259271158947428e-03
    64.00    28.312    4.6121634432738390e-01    5.3182090019920913e-04
    69.00    30.406    4.6094843256046580e-01    5.0138839198976548e-04
    73.00    32.079    4.6031263699513003e-01    7.5675996217056118e-04
    77.00    34.605    4.5991279180589389e-01    6.7202937764454518e-04
    81.00    35.447    4.5979975887492391e-01    4.0689824802919716e-04
    85.00    37.114    4.5946588042695685e-01    3.7401083182825312e-04
    89.00    38.796    4.5920631798565648e-01    4.6297016848972916e-04
    93.00    40.396    4.5908731168528694e-01    2.3550741074629400e-04
    97.00    42.755    4.5895037050793608e-01    3.0715000538905635e-04
   101.00    43.534    4.5885156669692267e-01    2.5105170100081509e-04
   107.00    45.886    4.5875071525200906e-01    1.9814588184385862e-04
   112.00    47.844    4.5870168851473198e-01    1.9330773949095131e-04
   116.00    49.404    4.5862936475043120e-01    1.1290329350832629e-04
   121.00    51.362    4.5859116453466781e-01    1.6991705556124170e-04
   125.00    53.714    4.5855610702588678e-01    1.7891150231280628e-04
   129.00    54.510    4.5853639849038097e-01    7.6163933101683345e-05
   133.00    56.088    4.5849252054316053e-01    1.6019470949790726e-04
   137.00    57.663    4.5847966867196110e-01    1.0720773470640488e-04
   142.00    59.652    4.5846779703959578e-01    7.5076353701797327e-05
   146.00    61.294    4.5845420935997377e-01    8.1005317627447226e-05
   150.00    62.960    4.5845061511097229e-01    6.5038160367625331e-05
   155.00    64.945    4.5844224681819551e-01    9.7799203696791182e-05
   159.00    66.514    4.5843664950274932e-01    3.6472856677072230e-05
   165.00    68.872    4.5843052214524194e-01    7.1820075251194382e-05
   169.00    70.451    4.5841708756972005e-01    1.2924498699301568e-04
   174.00    72.447    4.5840984524486456e-01    5.7678848749853628e-05
   178.00    74.435    4.5840570301678829e-01    7.4946125181662993e-05
   182.00    75.628    4.5840266322161366e-01    6.4854429102867428e-05
   186.00    77.612    4.5839606068715721e-01    9.7809187607073023e-05
   190.00    78.809    4.5839399028788519e-01    3.5485566966197979e-05
   196.00    81.179    4.5839038597453707e-01    3.3145685756741372e-05
   200.00    84.096    4.5838793502402636e-01    5.2084388566520090e-05
   204.00    84.509    4.5838720061396865e-01    3.5803839994130726e-05
   208.00    86.494    4.5838545354286786e-01    3.5762952637963252e-05
   212.00    87.741    4.5838441349518055e-01    2.3105689463509549e-05
   216.00    90.255    4.5838243405006168e-01    3.9725354126218804e-05
   220.00    91.054    4.5838183567006852e-01    1.9519659653965959e-05
   226.00    93.465    4.5838032237702708e-01    1.8299291977830201e-05
   230.00    95.065    4.5837981186952415e-01    2.1664803493748330e-05
   235.00    97.119    4.5837909301937718e-01    1.8262007670355462e-05
   239.00    99.221    4.5837839765845928e-01    3.2588869465006998e-05
   243.00   100.431    4.5837794256875503e-01    1.3096312657445708e-05
   247.00   102.039    4.5837768283950836e-01    1.2866628438523708e-05
   251.00   103.732    4.5837743772762918e-01    1.0355555948526884e-05
   255.00   105.405    4.5837710033358331e-01    1.1071658856720568e-05
   260.00   107.429    4.5837691567846073e-01    9.2023223645654184e-06
   265.00   109.476    4.5837668926293995e-01    1.2020844244453599e-05
   269.00   111.129    4.5837656292794854e-01    1.8672851379547550e-05
   273.00   112.722    4.5837638309910883e-01    1.2088656528019825e-05
   278.00   114.720    4.5837626467654624e-01    8.7785085459701762e-06
   282.00   116.366    4.5837613215811829e-01    7.4297322725236370e-06
   286.00   117.967    4.5837602017788187e-01    1.5924969942182621e-05
   290.00   119.565    4.5837596003381548e-01    4.4783738439302390e-06
   294.00   121.194    4.5837590382101429e-01    5.0959083018886631e-06
   298.00   122.847    4.5837586532382740e-01    4.1446366062514173e-06
   304.00   125.271    4.5837582254983156e-01    4.7020231999095330e-06
