    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     1.00     1.517    5.4292251764476263e-01    2.6325892663979777e-03
     2.00     3.004    4.9620048519930360e-01    1.5036691194419971e-03
     3.00     4.515    4.7919874034766086e-01    8.5580303008570002e-04
     4.00     6.014    4.7052751962503175e-01    7.6181186107221466e-04
     5.00     7.526    4.6594431333907010e-01    1.1197960934734574e-03
     6.00     9.042    4.6339882393558501e-01    6.8438277948379422e-04
     7.00    10.557    4.6191764674338093e-01    3.2289213848013532e-04
     8.00    12.073    4.6096510108218752e-01    3.1391618169962499e-04
     9.00    13.687    4.6032030385156847e-01    3.3468012935555791e-04
    10.00    15.215    4.5986590225156193e-01    2.0010476326159932e-04
    11.00    16.740    4.5953503048211031e-01    1.7397020162857046e-04
    12.00    18.267    4.5928948249210566e-01    1.8448033000595387e-04
    13.00    19.808    4.5910367540858166e-01    1.7690714643237015e-04
    14.00    21.338    4.5896044827205085e-01    1.4671333325999569e-04
    15.00    22.863    4.5884946028639217e-01    1.0289514221728524e-04
    16.00    24.395    4.5876253409166273e-01    9.7796242442882431e-05
    17.00    25.960    4.5869379028527757e-01    1.2083866736212201e-04
    18.00    27.460    4.5863901484517422e-01    9.3625858563761710e-05
    19.00    28.960    4.5859483116598132e-01    8.9822583735355011e-05
    20.00    30.471    4.5855914031486017e-01    5.2069053571024426e-05
    21.00    32.005    4.5853008214835556e-01    4.5255575373381873e-05
    22.00    33.499    4.5850624878436957e-01    5.6944130479408273e-05
    23.00    35.018    4.5848657162902540e-01    3.6981309405881291e-05
    24.00    36.528    4.5847026137081626e-01    5.1475675357792738e-05
    25.00    38.010    4.5845662574916640e-01    3.7293055597187319e-05
    26.00    39.505    4.5844517250645522e-01    3.3947961415314865e-05
    27.00    41.019    4.5843551987878384e-01    3.2567063465993584e-05
    28.00    42.530    4.5842734990633188e-01    2.7581343966742722e-05
    29.00    44.041    4.5842040060765654e-01    2.8875156506291688e-05
    30.00    45.550    4.5841446659008517e-01    2.2088930122565742e-05
    31.00    47.061    4.5840938937640496e-01    2.5008151150363034e-05
    32.00    48.570    4.5840502727468635e-01    2.1020736944210583e-05
    33.00    50.084    4.5840126824433530e-01    1.8076480024165065e-05
    34.00    51.601    4.5839802301426391e-01    1.6392855223035241e-05
    35.00    53.128    4.5839521476615491e-01    1.5378918330366531e-05
    36.00    54.657    4.5839277768232517e-01    1.4200441073253245e-05
    37.00    56.191    4.5839065967836956e-01    1.4418290298134906e-05
    38.00    57.722    4.5838881571850804e-01    1.5293538590643863e-05
    39.00    59.236    4.5838720757655743e-01    1.3499870670674596e-05
    40.00    60.812    4.5838580294724857e-01    1.3281404850573608e-05
    41.00    62.411    4.5838457555500250e-01    1.0131417548464583e-05
    42.00    64.019    4.5838350177163606e-01    9.8511305204329602e-06
    43.00    65.706    4.5838256054654164e-01    9.9780222102552329e-06
    44.00    67.406    4.5838173557376566e-01    9.1845264755807676e-06
    45.00    69.027    4.5838101147506310e-01    9.1675360129883643e-06
