    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     4.00     0.029    5.5777992928779052e-01    4.2143869625246966e-02
     8.00     0.054    5.2101872820655037e-01    3.7993643584446346e-03
    12.00     0.080    5.1796076362549781e-01    1.9403158715212143e-03
    16.00     0.105    5.1675192944731962e-01    8.7876383402596403e-04
    20.00     0.130    5.1670462428912178e-01    1.7220673443207879e-04
    24.00     0.156    5.1669147482513311e-01    1.2902157807981318e-04
    28.00     0.181    5.1669091152036706e-01    8.8484855860215816e-06
    32.00     0.214    5.1669089770696375e-01    3.2771566258471552e-06
    36.00     0.233    5.1669089714262639e-01    7.1653181388242615e-07
    40.00     0.258    5.1669089712928862e-01    4.1105367998284237e-08
    44.00     0.283    5.1669089712886773e-01    7.7163138101354889e-09
    48.00     0.308    5.1669089712885408e-01    2.5252309132639539e-09
    52.00     0.333    5.1669089712885485e-01    1.3949963406645338e-10
    56.00     0.359    5.1669089712885830e-01    5.4578563890572696e-12
