    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     0.10     0.001    6.1284379448298798e-01    9.6421255864115096e-02
     0.20     0.002    6.5187224387406295e-01    9.9762800434461951e-02
     0.30     0.003    6.6859939747223751e-01    9.6801865235588647e-02
     0.40     0.004    5.7591302584636228e-01    5.7612645642558746e-02
     0.50     0.004    6.7123702379901684e-01    1.2219703031797680e-01
     0.60     0.005    7.8670806275338279e-01    1.4257777453333387e-01
     0.71     0.006    8.3298735537951296e-01    1.4610309268655208e-01
     0.81     0.007    8.5833263647517022e-01    1.4733417198377063e-01
     0.91     0.007    5.8129474768750822e-01    7.0354276344613886e-02
     1.01     0.008    8.0615243090564082e-01    1.8943722927531970e-01
     1.11     0.009    7.2097124045517436e-01    1.5569876826719153e-01
     1.21     0.009    6.8230065937570805e-01    1.3318058317609305e-01
     1.31     0.010    6.6487405066157390e-01    1.2154001912525292e-01
     1.41     0.011    6.6262811776334085e-01    1.2606709499007374e-01
     1.51     0.011    6.5824482643982507e-01    1.2236334098619950e-01
     1.61     0.012    5.5048281515270259e-01    5.5642031569943073e-02
     1.71     0.013    5.2454273176094246e-01    2.5936397136891554e-02
     1.81     0.013    5.1875416669805308e-01    9.4902538979462214e-03
     1.92     0.014    5.1858227767489318e-01    4.7471308975945981e-03
     2.02     0.015    5.1806384065849909e-01    6.0334065508813595e-03
     2.12     0.016    5.1735947683739103e-01    4.6667194271083901e-03
     2.22     0.016    5.1711593741852191e-01    3.5729690998937969e-03
     2.32     0.017    5.1702705601314114e-01    2.9797476574362491e-03
     2.42     0.018    5.1700593224634939e-01    2.8939881683882618e-03
     2.52     0.018    5.1699347443362742e-01    2.9430395662242148e-03
     2.62     0.019    5.1673680300524438e-01    1.2681666725722351e-03
     2.72     0.020    5.1669799449102760e-01    4.5998783451128844e-04
     2.82     0.021    5.1669235908802758e-01    1.5759096408451967e-04
     2.92     0.021    5.1669166790675591e-01    1.2208778581346280e-04
     3.03     0.022    5.1669128436275114e-01    8.4461634772381444e-05
     3.13     0.023    5.1669098734922259e-01    4.6167945533248655e-05
     3.23     0.023    5.1669093283274492e-01    2.7925830488051417e-05
     3.33     0.024    5.1669091684549961e-01    1.8811406497398764e-05
     3.43     0.025    5.1669091031101999e-01    1.8449415175147976e-05
     3.53     0.026    5.1669090384012994e-01    1.3987535120385530e-05
     3.63     0.026    5.1669089733662033e-01    2.1485905392637505e-06
     3.73     0.027    5.1669089714183403e-01    4.4570194557280729e-07
     3.83     0.028    5.1669089712965255e-01    8.1984599553663884e-08
     3.93     0.029    5.1669089712900784e-01    3.7014747711339169e-08
     4.03     0.029    5.1669089712887950e-01    1.3165224022060329e-08
     4.13     0.030    5.1669089712885563e-01    3.2742608624403147e-09
     4.24     0.031    5.1669089712885286e-01    9.8377306301244971e-10
     4.34     0.032    5.1669089712885397e-01    4.2511349995777437e-10
     4.44     0.032    5.1669089712886107e-01    3.3144176292410066e-10
     4.54     0.033    5.1669089712884864e-01    1.8281021141319798e-10
     4.64     0.034    5.1669089712886340e-01    6.2103655551482007e-12
