    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     1.00     0.007    5.5262785891362542e-01    3.9182442511922266e-02
     2.00     0.013    5.7056292606983139e-01    5.8390204907345478e-02
     3.00     0.020    5.1943704386165701e-01    7.8110575011471894e-03
     4.00     0.025    5.3129285879134014e-01    2.9392034619768914e-02
     5.00     0.031    5.2843100415800737e-01    2.3534291256178896e-02
     6.00     0.037    5.2087802686438434e-01    2.3735678386060721e-02
     7.00     0.043    5.1888276603180283e-01    1.3279978479908472e-02
     8.00     0.050    5.1711839637677515e-01    5.5013077123435838e-03
     9.00     0.055    5.1699628083022409e-01    4.3129352767572460e-03
    10.00     0.065    5.1673754781795522e-01    1.6697990814538155e-03
    11.00     0.075    5.1669935645160114e-01    8.5565368666662422e-04
    12.00     0.086    5.1670352704779365e-01    1.1012830464360857e-03
    13.00     0.095    5.1670613635767393e-01    1.4335637994897787e-03
    14.00     0.101    5.1669959443023228e-01    9.3584122293588479e-04
    15.00     0.107    5.1669220543294148e-01    4.1149443711074873e-04
    16.00     0.115    5.1669096769344602e-01    5.8213710485643944e-05
    17.00     0.120    5.1669101775853177e-01    8.5254587775418500e-05
    18.00     0.127    5.1669094145893291e-01    5.3482976743346455e-05
    19.00     0.132    5.1669092353919321e-01    3.4468449985780580e-05
    20.00     0.140    5.1669091207159801e-01    3.9069980609873767e-05
    21.00     0.146    5.1669090250883976e-01    2.7464299045654172e-05
    22.00     0.151    5.1669089876328478e-01    8.8641311797310607e-06
    23.00     0.158    5.1669089744844254e-01    3.3155823719877020e-06
    24.00     0.163    5.1669090034298548e-01    1.4092548726862830e-05
    25.00     0.170    5.1669089822463576e-01    8.3367627050634496e-06
    26.00     0.176    5.1669089753921871e-01    4.7120805504174967e-06
    27.00     0.182    5.1669089728289397e-01    2.5932550666851739e-06
    28.00     0.188    5.1669089714620919e-01    6.6711842605648997e-07
    29.00     0.194    5.1669089714852157e-01    1.0285448295288546e-06
    30.00     0.199    5.1669089716759098e-01    1.4999050312880513e-06
    31.00     0.206    5.1669089714200078e-01    9.0930308571657292e-07
    32.00     0.212    5.1669089713017879e-01    2.5886740862013369e-07
    33.00     0.219    5.1669089713005956e-01    2.5487386690059566e-07
    34.00     0.225    5.1669089712912386e-01    7.3941566425261840e-08
    35.00     0.231    5.1669089712937621e-01    1.6465342045357545e-07
    36.00     0.237    5.1669089712900018e-01    8.6823611411546153e-08
    37.00     0.244    5.1669089712887906e-01    3.5711546608752087e-08
    38.00     0.250    5.1669089712887561e-01    2.6414362030990901e-08
    39.00     0.256    5.1669089712886496e-01    2.8563020393335137e-08
    40.00     0.262    5.1669089712885830e-01    1.6629134624857045e-08
    41.00     0.269    5.1669089712885496e-01    7.2818022722742626e-09
    42.00     0.274    5.1669089712885252e-01    2.4463295833498933e-09
    43.00     0.281    5.1669089712885752e-01    2.4847528479199354e-09
    44.00     0.291    5.1669089712884775e-01    1.9059867018000887e-09
    45.00     0.298    5.1669089712884830e-01    2.7133300051218612e-09
    46.00     0.304    5.1669089712885652e-01    1.8293591086404604e-09
    47.00     0.309    5.1669089712885630e-01    7.9226980531643676e-10
    48.00     0.316    5.1669089712885397e-01    2.9206437268669561e-10
    49.00     0.321    5.1669089712884941e-01    4.0860625993843769e-10
    50.00     0.328    5.1669089712885197e-01    8.4123263910385049e-11
