    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994529e-01    1.3426735645219087e-01
     0.12     0.005    6.9314684193824594e-01    1.3426714304678100e-01
     0.20     0.009    5.9961797440756948e-01    3.5568683277066568e-02
     0.32     0.016    5.8387934981229639e-01    2.8333990603783915e-02
     0.40     0.021    5.2798806245623853e-01    8.7199306621384611e-03
     0.52     0.028    5.2404960810960199e-01    3.9019151550553580e-03
     0.60     0.034    5.2254104648468103e-01    2.8772038818418609e-03
     0.72     0.040    5.2060197275411457e-01    5.3230728097996543e-03
     0.80     0.045    5.1901415890166647e-01    3.5942470845592269e-03
     0.92     0.053    5.1745609663458791e-01    3.5124386655155998e-03
     1.00     0.057    5.1727411447703597e-01    2.9853345523945213e-03
     1.12     0.064    5.1708873588268423e-01    4.7114049317887093e-03
     1.20     0.067    5.1685067729376843e-01    1.5884352425562683e-03
     1.32     0.073    5.1685696690079908e-01    1.3384595855508018e-03
     1.40     0.077    5.1686964742094077e-01    1.2396312778550937e-03
     1.52     0.082    5.1687473639406234e-01    2.0718575030601299e-03
     1.60     0.086    5.1682972632037516e-01    1.7473934945723905e-03
     1.72     0.092    5.1686649789262906e-01    2.7707557892171293e-03
     1.80     0.096    5.1684352442565240e-01    2.1513422423981134e-03
     1.92     0.101    5.1681474797860671e-01    1.2287274602873965e-03
     2.00     0.105    5.1681782242801455e-01    1.5355009834125968e-03
     2.12     0.111    5.1680795105169131e-01    1.0000833238044129e-03
     2.20     0.115    5.1680838982118782e-01    1.1501464622239016e-03
     2.32     0.120    5.1679786112090897e-01    8.1403934054575372e-04
     2.40     0.123    5.1679137031917632e-01    8.3187287564873017e-04
     2.52     0.129    5.1679073896920236e-01    9.0508816137548043e-04
     2.60     0.134    5.1679287785642225e-01    1.0623033645531541e-03
     2.72     0.141    5.1678964936741278e-01    9.2819877818324753e-04
     2.80     0.144    5.1678964936741278e-01    9.2819877818324753e-04
     2.92     0.151    5.1678679837292851e-01    7.5846195470070303e-04
     3.00     0.157    5.1678451593337305e-01    6.9573696657502908e-04
     3.12     0.164    5.1678283823046944e-01    6.3455699235698162e-04
     3.20     0.168    5.1677983178385944e-01    5.9796543124122437e-04
     3.32     0.177    5.1677317218158525e-01    6.4374612397794678e-04
     3.40     0.182    5.1676597096574317e-01    6.2893315334675601e-04
     3.52     0.190    5.1675355490223263e-01    5.9159028036263211e-04
     3.60     0.195    5.1674247096555481e-01    5.4143326547150797e-04
     3.72     0.204    5.1672592862348743e-01    4.1386626167599553e-04
     3.80     0.210    5.1672201713436161e-01    3.9924295840751905e-04
     3.92     0.218    5.1671865380029292e-01    3.0394798213926515e-04
     4.00     0.224    5.1671691895064276e-01    2.2708577015727365e-04
     4.12     0.233    5.1671251232784254e-01    1.2866715964196930e-04
     4.20     0.239    5.1671144145808401e-01    1.5096057010689158e-04
     4.32     0.247    5.1670979743891499e-01    1.5220021977991466e-04
     4.40     0.253    5.1670801973072045e-01    1.5032285934422196e-04
     4.52     0.261    5.1670627685604886e-01    1.6418159785787888e-04
     4.60     0.266    5.1670500373870587e-01    1.8565793932265326e-04
     4.72     0.274    5.1670165607908713e-01    1.0579261177376554e-04
     4.80     0.279    5.1670084513963688e-01    1.0633486377567568e-04
     4.92     0.288    5.1669998664123917e-01    1.0794814681192972e-04
     5.00     0.294    5.1669869748232011e-01    1.1721132678477756e-04
     5.12     0.302    5.1669724527862493e-01    1.2534492699208720e-04
     5.20     0.308    5.1669650391899646e-01    1.1749187424237347e-04
     5.32     0.318    5.1669468475657354e-01    1.2330567781661104e-04
     5.40     0.323    5.1669410599419263e-01    9.7406986265704301e-05
     5.52     0.332    5.1669254917667096e-01    8.2602617671112641e-05
     5.60     0.337    5.1669190895515116e-01    6.9161758849476675e-05
     5.72     0.346    5.1669145548672324e-01    7.5954924379712814e-05
     5.80     0.352    5.1669121444064792e-01    9.2707808937188873e-05
     5.92     0.361    5.1669116144278215e-01    1.0941948245653081e-04
     6.00     0.366    5.1669102850727355e-01    6.1779447774351132e-05
     6.12     0.375    5.1669110852248146e-01    3.5700974578833881e-05
     6.20     0.381    5.1669116261688153e-01    6.1556755102510553e-05
     6.32     0.390    5.1669117156062416e-01    9.6083582375720207e-05
     6.40     0.397    5.1669111946629398e-01    9.1716862583428419e-05
     6.52     0.403    5.1669105713663277e-01    5.9283760538178721e-05
     6.60     0.409    5.1669100213903985e-01    4.1107852831929139e-05
     6.72     0.417    5.1669096864686170e-01    3.5403760186023931e-05
     6.80     0.424    5.1669095905792206e-01    2.9195012590436561e-05
     6.92     0.430    5.1669095375584639e-01    3.2001260740114599e-05
     7.00     0.435    5.1669094513059433e-01    2.4620249006723506e-05
     7.12     0.443    5.1669091387042487e-01    2.4890671151816083e-05
     7.20     0.449    5.1669090863973022e-01    1.9612432169147177e-05
     7.32     0.458    5.1669090044810451e-01    7.8313793923138722e-06
     7.40     0.465    5.1669089928163892e-01    5.3614380082606378e-06
     7.52     0.474    5.1669089864195883e-01    8.4923566465140769e-06
     7.60     0.479    5.1669090023128961e-01    1.2683478282460652e-05
     7.72     0.488    5.1669090176819099e-01    1.3935489263120465e-05
     7.80     0.494    5.1669090281362562e-01    1.5511339467836973e-05
     7.92     0.503    5.1669089994080897e-01    1.1285384224589348e-05
     8.00     0.510    5.1669089817927583e-01    8.0067305864723764e-06
     8.12     0.520    5.1669089725869566e-01    2.4011744288827345e-06
     8.20     0.525    5.1669089754442532e-01    4.9796243188288370e-06
     8.32     0.535    5.1669089747156749e-01    4.5743400896214228e-06
     8.40     0.543    5.1669089738363327e-01    3.9282937304418353e-06
     8.52     0.552    5.1669089718035399e-01    7.2135450200808653e-07
     8.60     0.558    5.1669089716516403e-01    7.4170124973637128e-07
     8.72     0.567    5.1669089719215311e-01    1.3739334928465040e-06
     8.80     0.573    5.1669089715549910e-01    9.6418071712957767e-07
     8.92     0.583    5.1669089717274586e-01    1.2941280296707255e-06
     9.00     0.589    5.1669089714836969e-01    7.2176980142985445e-07
     9.12     0.598    5.1669089713148175e-01    3.2838802248783260e-07
     9.20     0.604    5.1669089713073224e-01    1.6141270769538471e-07
     9.32     0.614    5.1669089714553562e-01    8.1241756353238087e-07
     9.40     0.620    5.1669089714454119e-01    7.9207367347166279e-07
     9.52     0.630    5.1669089713599259e-01    5.4839852361392223e-07
     9.60     0.637    5.1669089713355987e-01    4.5695700557446772e-07
     9.72     0.647    5.1669089713226646e-01    4.0228204800341570e-07
     9.80     0.653    5.1669089712993510e-01    2.0481680285163985e-07
     9.92     0.662    5.1669089712945349e-01    1.6057572544726106e-07
    10.00     0.669    5.1669089712948479e-01    1.3131640651672941e-07
    10.12     0.678    5.1669089712976146e-01    1.6851161119779917e-07
    10.20     0.685    5.1669089712904448e-01    8.4944607638576817e-08
    10.32     0.695    5.1669089712901350e-01    6.8179050686603703e-08
    10.40     0.702    5.1669089712891458e-01    4.5969474918740300e-08
    10.52     0.711    5.1669089712889849e-01    4.7723240994072792e-08
    10.60     0.718    5.1669089712890748e-01    6.1172135731817594e-08
    10.72     0.729    5.1669089712889071e-01    5.7437416997780950e-08
    10.80     0.736    5.1669089712890715e-01    6.4305809598020258e-08
    10.92     0.745    5.1669089712892335e-01    5.7289845564239747e-08
