    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     4.00     0.507    6.1869967528042313e-01    1.7686281432097384e-02
     8.00     0.942    5.5597485307963324e-01    1.2096542597783588e-02
    12.00     1.370    5.3351565099437204e-01    4.4903463209825523e-03
    16.00     1.787    5.2350132117299775e-01    2.2643143360854823e-03
    20.00     2.314    5.2212259678020390e-01    4.7521410020210375e-03
    24.00     2.634    5.2054032699870301e-01    1.8427038158423947e-03
    28.00     3.206    5.1850664139282032e-01    6.7919151626498753e-03
    32.00     3.542    5.1767801926352663e-01    1.6704055571916676e-03
    36.00     3.959    5.1636297168512668e-01    6.0135128930416393e-04
    40.00     4.724    5.1574215592458617e-01    1.1977973127773045e-03
    44.00     4.838    5.1558140937257613e-01    7.2028686522801477e-04
    48.00     5.255    5.1510949005573325e-01    1.9282231233024392e-03
    52.00     5.680    5.1484164954549183e-01    7.6566177374469413e-04
    58.00     6.312    5.1463465065816660e-01    6.7105360184527285e-04
    62.00     6.744    5.1452880735792983e-01    5.3771274091207744e-04
    66.00     7.161    5.1434438899503176e-01    4.0433724217969758e-04
    73.00     7.916    5.1417569235934113e-01    4.8334976749830894e-04
    77.00     8.334    5.1412062010490944e-01    6.5245327717006196e-04
    81.00     8.752    5.1403005891394460e-01    7.0481046294723626e-04
    85.00     9.157    5.1399692293216259e-01    3.5365915193530384e-04
    90.00     9.692    5.1398198341432033e-01    2.0936790027281660e-04
    94.00    10.110    5.1396992262986585e-01    3.2457907999561275e-04
    98.00    10.531    5.1395377043221635e-01    5.1650224063448658e-04
   102.00    10.945    5.1393729923060583e-01    1.9858192241306583e-04
   107.00    11.517    5.1393343053704854e-01    1.2420393501022531e-04
   111.00    11.922    5.1392597274601037e-01    1.0389882457584321e-04
   115.00    12.375    5.1391297363879085e-01    2.6381901910887962e-04
   119.00    12.791    5.1390097904155918e-01    2.1873333835831232e-04
   123.00    13.225    5.1389804043710241e-01    8.0384539320133008e-05
   127.00    13.642    5.1388607568879097e-01    1.4455160157478275e-04
   131.00    14.272    5.1388242593887934e-01    2.3753034979367982e-04
   135.00    14.477    5.1388097433324931e-01    8.0345623818589562e-05
   139.00    14.906    5.1387587617345842e-01    1.6846333742748243e-04
   143.00    15.325    5.1387015845337258e-01    3.7656040534961299e-05
   149.00    15.964    5.1386747463848981e-01    1.3047992949177800e-04
   153.00    16.483    5.1386574374120753e-01    1.3033416573204892e-04
   157.00    16.791    5.1386454456759922e-01    4.6629948099452534e-05
   161.00    17.224    5.1386176465625455e-01    9.4902166700383539e-05
   165.00    17.662    5.1386108995673396e-01    9.2417092368624054e-05
   169.00    18.203    5.1385968670439008e-01    1.3907741364416193e-04
   173.00    18.530    5.1385862615567390e-01    9.1571831430270478e-05
   178.00    19.071    5.1385604557494946e-01    1.4489722329436017e-04
   182.00    19.488    5.1385527476357629e-01    6.1832893835322977e-05
   187.00    20.033    5.1385422931695390e-01    4.4418762369602405e-05
   191.00    20.685    5.1385286902172012e-01    8.1479246883398027e-05
   195.00    20.898    5.1385256956175451e-01    2.2872752224678550e-05
   199.00    21.312    5.1385187433031176e-01    6.6154166381338086e-05
   203.00    21.729    5.1385152175554472e-01    2.8854643727593832e-05
   207.00    22.468    5.1385063758570548e-01    1.2606143943927339e-04
   211.00    22.575    5.1385042711651974e-01    2.5568660824371037e-05
   215.00    23.002    5.1385007561274887e-01    1.8173985554481575e-05
   219.00    23.415    5.1384944748003492e-01    6.9771961348441547e-05
   223.00    23.835    5.1384913633208062e-01    1.1402467758703239e-04
   227.00    24.258    5.1384884261335739e-01    3.8897581889019150e-05
   231.00    24.698    5.1384853285595466e-01    1.2899652266140649e-05
   235.00    25.148    5.1384826393177707e-01    1.3768345647591218e-05
   239.00    25.589    5.1384803914238575e-01    1.0217078314944672e-05
   243.00    26.044    5.1384796080321049e-01    1.5556010792505681e-05
   247.00    26.466    5.1384784148870666e-01    2.0209457742892400e-05
   251.00    26.897    5.1384777344732857e-01    2.6499906495502934e-05
   255.00    27.309    5.1384769883474113e-01    1.0737693281304139e-05
   260.00    27.842    5.1384758080774529e-01    1.2484114320088224e-05
   264.00    28.267    5.1384747834638966e-01    1.1985962672600436e-05
   268.00    28.700    5.1384742532023531e-01    1.9998969518653098e-05
   272.00    29.326    5.1384739038061644e-01    3.0283254108809388e-05
   276.00    29.536    5.1384734741674043e-01    1.2067201494714297e-05
   280.00    29.963    5.1384727985119127e-01    4.3463808160559836e-05
   284.00    30.420    5.1384723088942552e-01    1.2140209068700614e-05
   288.00    30.847    5.1384720480284418e-01    5.9958745093346977e-06
   292.00    31.274    5.1384714291648725e-01    3.5200064760765315e-05
   296.00    31.690    5.1384706948857783e-01    2.9573765430335186e-05
   300.00    32.106    5.1384699963770131e-01    1.5919250579310429e-05
   304.00    32.531    5.1384696296015786e-01    1.5719902563618438e-05
   308.00    33.069    5.1384690469676420e-01    1.6472301203829254e-05
   312.00    33.376    5.1384687000789375e-01    1.6024342662346314e-05
   316.00    33.790    5.1384678662129590e-01    9.6173309165337173e-06
   320.00    34.440    5.1384674225854599e-01    1.7250904696952674e-05
   324.00    34.648    5.1384670159884427e-01    9.2408418181921803e-06
   328.00    35.059    5.1384665341070235e-01    6.4684942440162985e-06
   332.00    35.481    5.1384664399727498e-01    6.7315912863907812e-06
   336.00    35.901    5.1384662714172424e-01    7.0850514388709485e-06
   340.00    36.309    5.1384655858497008e-01    1.1078862130919909e-05
   344.00    36.748    5.1384653692375559e-01    2.8338338672107000e-05
   348.00    37.153    5.1384651769949186e-01    9.8349098403005542e-06
