    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     1.00     0.179    7.0289719716476917e-01    1.4486218071149448e-01
     2.00     0.355    5.4559482435634055e-01    5.4861923750916475e-02
     3.00     0.532    5.6716775292354582e-01    7.9876164930099636e-02
     4.00     0.709    5.3434734953526009e-01    4.9741846804940093e-02
     5.00     0.884    5.2117786426440604e-01    3.3928232878598585e-02
     6.00     1.061    5.2760448210429522e-01    4.1060664057801066e-02
     7.00     1.236    5.2017737553522503e-01    3.8239226380340163e-02
     8.00     1.412    5.1655936558579940e-01    1.7535971984234289e-02
     9.00     1.588    5.1476406210585735e-01    1.0046497994158798e-02
    10.00     1.764    5.1464749122698028e-01    9.5853617622891907e-03
    11.00     1.939    5.1439514575988610e-01    7.1160849540955473e-03
    12.00     2.115    5.1406735513189117e-01    6.1416982718425217e-03
    13.00     2.290    5.1424518481838699e-01    7.6528343192379111e-03
    14.00     2.466    5.1394178254150003e-01    2.8924839200781260e-03
    15.00     2.642    5.1386530590956581e-01    6.6024751778281932e-04
    16.00     2.819    5.1386109377141453e-01    9.0337194959222433e-04
    17.00     3.006    5.1386036781592903e-01    1.0608166780770034e-03
    18.00     3.193    5.1384920544841317e-01    4.7480627569296274e-04
    19.00     3.379    5.1386739979090590e-01    1.9327218404159296e-03
    20.00     3.567    5.1385379312210366e-01    9.6270070042070444e-04
    21.00     3.754    5.1384868238408421e-01    7.0328026491228712e-04
    22.00     3.941    5.1384729054002720e-01    3.0734087928807607e-04
    23.00     4.130    5.1384702675855232e-01    3.5476502112186115e-04
    24.00     4.320    5.1384648572241964e-01    2.6862503204050370e-04
    25.00     4.507    5.1384622280266767e-01    1.3004942287442312e-04
    26.00     4.694    5.1384614367671566e-01    1.2004181777047762e-04
    27.00     4.881    5.1384610378196849e-01    6.4598720170949697e-05
    28.00     5.069    5.1384608148731126e-01    6.5569196601167334e-05
    29.00     5.256    5.1384606397741384e-01    5.0924706176402879e-05
    30.00     5.444    5.1384605327374333e-01    2.0292436805569025e-05
    31.00     5.631    5.1384606177342418e-01    5.4063268750681459e-05
    32.00     5.817    5.1384604944531087e-01    1.2067311867092201e-05
    33.00     5.992    5.1384605545712747e-01    4.3848823421122063e-05
    34.00     6.163    5.1384604779727883e-01    3.8025599042867952e-06
    35.00     6.335    5.1384605686648821e-01    4.7030776525680551e-05
