    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055802804e-01    2.7192209455226397e-02
     2.00     1.842    5.1822941269863387e-01    1.7820638003127982e-03
     3.00     2.486    5.1424003130244889e-01    4.1156236746964225e-04
     4.00     3.129    5.1392684430443503e-01    1.1845081767081211e-04
     5.00     3.804    5.1385933227808789e-01    3.0738032696042694e-05
     6.00     4.474    5.1384719787975253e-01    4.9481514583504804e-06
     7.00     5.139    5.1384612934157781e-01    1.4379300506739412e-05
     8.00     5.810    5.1384606990752524e-01    1.5033673949199633e-06
     9.00     6.465    5.1384605587293453e-01    6.3903806168941202e-07
    10.00     7.101    5.1384604635802000e-01    7.4713952891158897e-07
    11.00     7.738    5.1384604563574399e-01    8.6639868390747665e-08
    12.00     8.373    5.1384604572615333e-01    2.6211042181145672e-07
    13.00     9.000    5.1384604512544241e-01    1.2910659430431792e-08
    14.00     9.625    5.1384604510570009e-01    9.9489948640618664e-09
    15.00    10.264    5.1384604510426857e-01    5.3814268152763134e-08
    16.00    10.884    5.1384604509250009e-01    1.3216555738715385e-08
    17.00    11.504    5.1384604509210119e-01    2.6271690600765396e-08
    18.00    12.138    5.1384604509195675e-01    5.4663512605301889e-09
    19.00    12.766    5.1384604509154452e-01    1.7464652363186062e-09
    20.00    13.394    5.1384604509149490e-01    1.5904669803390448e-09
    21.00    14.041    5.1384604509148779e-01    2.6348612319759823e-09
    22.00    14.668    5.1384604509150256e-01    4.1895908964306727e-09
    23.00    15.296    5.1384604509149401e-01    3.9864245238163676e-10
    24.00    15.923    5.1384604509148790e-01    5.8665683422276516e-11
