    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059996938e-01    4.9709588888888889e-01
    20.00   465.932    2.5539621927948963e-02    2.8612546238740866e-03
    32.00   748.862    1.5652209016031513e-02    7.6984851488544630e-04
    36.00   843.219    1.2753258945343963e-02    1.8698921200081462e-03
    40.00   937.422    1.1938314243821307e-02    1.4601532908339513e-04
    44.00  1031.752    1.1732973523396736e-02    4.1245706535711287e-05
    52.00  1220.307    1.1719213769904417e-02    5.6120950070722518e-05
    56.00  1314.228    1.1714653796751651e-02    1.9326814011109421e-05
    60.00  1408.061    1.1712710399255035e-02    5.4034651880427408e-06
    68.00  1596.097    1.1712420580427310e-02    1.0407359185946475e-06
    72.00  1690.012    1.1712410387585789e-02    5.9864948880307292e-07
    76.00  1783.933    1.1712407912477657e-02    5.3888735174646399e-07
    80.00  1878.134    1.1712407243135235e-02    9.4525745927379565e-08
    84.00  1972.259    1.1712407156188254e-02    2.0534407524820659e-08
    88.00  2066.503    1.1712407144284879e-02    1.4462682272639008e-08
    92.00  2160.810    1.1712407144059182e-02    3.6759968043860474e-09
    96.00  2254.815    1.1712407143901604e-02    2.6876420053986330e-09
   100.00  2348.819    1.1712407143819633e-02    7.4920858581751784e-10
