    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     4.00     0.031    2.8141655623924305e-01    1.1662126323301436e-02
     8.00     0.056    1.9235401076319089e-01    2.3348561932645673e-03
    12.00     0.087    1.8823389550070885e-01    4.8244189143598071e-04
    16.00     0.108    1.8812519214434356e-01    4.9674017677414639e-05
    20.00     0.134    1.8812024008653666e-01    8.2790683465505666e-06
    24.00     0.160    1.8812010838793969e-01    2.5621163626254884e-06
    28.00     0.185    1.8812010478896954e-01    3.6195189678789319e-07
    32.00     0.211    1.8812010464721438e-01    5.4563636053828191e-08
    36.00     0.235    1.8812010464106382e-01    1.0240832626351448e-08
    40.00     0.261    1.8812010464086745e-01    3.8927945311684198e-09
    44.00     0.286    1.8812010464085949e-01    4.2484521456387370e-10
    48.00     0.310    1.8812010464086110e-01    2.0721019344804859e-10
    52.00     0.335    1.8812010464086212e-01    8.6079476879774575e-12
