    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     0.10     0.002    3.4459163690229855e-01    3.7189361199690296e-02
     0.20     0.003    3.5293420848274182e-01    3.3342676794303028e-02
     0.30     0.004    2.8866970743426829e-01    2.8901476396058445e-02
     0.40     0.005    2.4573851217252762e-01    2.4263110106920394e-02
     0.50     0.007    2.3016019931257906e-01    1.8079970524798483e-02
     0.60     0.008    2.0679738010319168e-01    1.1735556994450391e-02
     0.70     0.010    1.9897920948901932e-01    5.2557472804899419e-03
     0.80     0.011    1.9612164181009026e-01    2.4818719022769997e-03
     0.90     0.012    1.9156453618716854e-01    2.4299005864487633e-03
     1.00     0.013    1.9037492699204209e-01    2.8545091385643317e-03
     1.10     0.015    1.8954432422698791e-01    2.3515183974049947e-03
     1.20     0.016    1.8900831027938028e-01    1.5743161215628909e-03
     1.30     0.017    1.8859133538205741e-01    9.8169807874670667e-04
     1.40     0.019    1.8840347318808590e-01    7.7480700640242262e-04
     1.50     0.020    1.8831006543478440e-01    5.1733815790155901e-04
     1.60     0.021    1.8822793935250343e-01    3.6920908165960498e-04
     1.70     0.022    1.8817746763330265e-01    2.7426868376423386e-04
     1.80     0.024    1.8814368248946881e-01    2.2644879675937091e-04
     1.90     0.025    1.8813270346791394e-01    1.9618374271690442e-04
     2.00     0.026    1.8812688382187270e-01    1.5960673530335256e-04
     2.10     0.028    1.8812219457046758e-01    8.9181224369294654e-05
     2.20     0.029    1.8812066848961012e-01    3.9820872580698108e-05
     2.30     0.030    1.8812027614816487e-01    1.8158764389042403e-05
     2.40     0.032    1.8812016647121482e-01    9.4476276384369839e-06
     2.50     0.033    1.8812013110205142e-01    5.9108777099581289e-06
     2.60     0.034    1.8812011349175073e-01    3.3142401001384769e-06
     2.70     0.036    1.8812010694920750e-01    1.6290416828823595e-06
     2.80     0.037    1.8812010501329035e-01    8.9165191186069137e-07
     2.90     0.038    1.8812010474045221e-01    5.3964206436774020e-07
     3.01     0.040    1.8812010466310222e-01    2.7185329631862487e-07
     3.11     0.041    1.8812010464251405e-01    8.2990560645868072e-08
     3.21     0.042    1.8812010464095652e-01    1.6415417913862029e-08
     3.31     0.044    1.8812010464086742e-01    3.7398750762918098e-09
     3.41     0.045    1.8812010464086157e-01    1.1254739362698274e-09
     3.51     0.046    1.8812010464086198e-01    5.5976201451812813e-10
     3.61     0.047    1.8812010464086054e-01    1.9231005676800805e-10
     3.71     0.049    1.8812010464086168e-01    4.9825921166757325e-11
