    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914626e-01    1.2815675733146495e-01
     1.00     0.009    2.0586020139182681e-01    9.4369002890247744e-03
     2.00     0.017    2.1933158901064631e-01    4.4055039353194658e-03
     3.00     0.026    2.0580620621103593e-01    9.1162451817132784e-03
     4.00     0.034    1.9796279405409090e-01    7.1397356445943028e-03
     5.00     0.049    1.8918354022074188e-01    2.1326800201879603e-03
     6.00     0.063    1.8887761141797510e-01    2.5160057029891547e-03
     7.00     0.072    1.8831443331268718e-01    5.1507692464591859e-04
     8.00     0.081    1.8817205474097787e-01    3.6068210179462934e-04
     9.00     0.089    1.8813583133017106e-01    2.1346087292739568e-04
    10.00     0.098    1.8812613951181814e-01    8.2090460702899382e-05
    11.00     0.106    1.8812246391357679e-01    7.6382006299335892e-05
    12.00     0.114    1.8812084777479504e-01    5.2127432526027917e-05
    13.00     0.123    1.8812048242025109e-01    3.3713498073129067e-05
    14.00     0.131    1.8812032023123887e-01    3.7378203545435085e-05
    15.00     0.139    1.8812015759535436e-01    1.4282752732852622e-05
    16.00     0.147    1.8812013119378276e-01    8.4364551264926035e-06
    17.00     0.156    1.8812011129664144e-01    4.3060362457381096e-06
    18.00     0.163    1.8812010892308836e-01    3.9853345570328713e-06
    19.00     0.172    1.8812010561330861e-01    2.5705656904184693e-06
    20.00     0.179    1.8812010500974041e-01    1.4089446499498948e-06
    21.00     0.188    1.8812010477726210e-01    7.3643589892924410e-07
    22.00     0.195    1.8812010468473947e-01    4.4612122418463684e-07
    23.00     0.204    1.8812010464684092e-01    1.5750181914242489e-07
    24.00     0.211    1.8812010464616227e-01    1.9306943943586674e-07
    25.00     0.220    1.8812010464303922e-01    1.0792153481986588e-07
    26.00     0.227    1.8812010464164264e-01    6.8268571240537312e-08
    27.00     0.236    1.8812010464111592e-01    4.7449063844684503e-08
    28.00     0.244    1.8812010464097692e-01    2.4562082256984752e-08
    29.00     0.252    1.8812010464088641e-01    1.1191272797361762e-08
    30.00     0.260    1.8812010464086984e-01    6.2137708312093309e-09
    31.00     0.267    1.8812010464086237e-01    2.7570375982222117e-09
    32.00     0.275    1.8812010464086146e-01    2.4541737531080798e-09
    33.00     0.283    1.8812010464086040e-01    9.9436858747026236e-10
    34.00     0.291    1.8812010464086007e-01    6.2813754198032257e-10
    35.00     0.298    1.8812010464086054e-01    5.1696957825697609e-10
    36.00     0.307    1.8812010464086093e-01    3.2663483029438112e-10
    37.00     0.315    1.8812010464086157e-01    1.7290646692202927e-10
    38.00     0.325    1.8812010464086237e-01    9.6653351988607028e-11
