    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055994529e-01    1.2815675733146356e-01
     0.12     0.008    6.9314683886488682e-01    1.2815668263595797e-01
     0.20     0.012    3.4366525361016959e-01    2.1098075119071025e-02
     0.32     0.019    3.1726243792634884e-01    1.2547329757724586e-02
     0.40     0.025    2.7778041748513899e-01    1.0649078682826378e-02
     0.52     0.033    2.4006517001263555e-01    6.4618363097506638e-03
     0.60     0.038    2.1082959795465425e-01    1.2591140384764964e-02
     0.72     0.046    2.0203078965885937e-01    7.0970030354924971e-03
     0.80     0.052    1.9751753467858213e-01    2.4737504928731913e-03
     0.92     0.060    1.9608536922421385e-01    1.9229735933736357e-03
     1.00     0.065    1.9567805934025753e-01    1.7145727199369876e-03
     1.12     0.073    1.9214321878109847e-01    1.3728769433981399e-03
     1.20     0.079    1.9078905396605472e-01    2.4996323936747524e-03
     1.32     0.086    1.8937640531339991e-01    9.8876262007110017e-04
     1.40     0.091    1.8931058170836648e-01    1.2466745249433431e-03
     1.52     0.097    1.8940829294806164e-01    1.7097821640586815e-03
     1.60     0.101    1.8922514374067750e-01    1.1537984128120367e-03
     1.72     0.107    1.8919558944257570e-01    1.3861712320045658e-03
     1.80     0.112    1.8905398710813970e-01    9.2733368131462366e-04
     1.92     0.118    1.8899042979029532e-01    7.6964288345182132e-04
     2.00     0.122    1.8892753067150914e-01    7.6576046293104873e-04
     2.12     0.129    1.8885507784924896e-01    6.0691992008055301e-04
     2.20     0.133    1.8881906695087516e-01    5.5868348208843984e-04
     2.32     0.139    1.8880984490901301e-01    7.0183387678377906e-04
     2.40     0.143    1.8877456487688346e-01    5.9856199968992020e-04
     2.52     0.150    1.8874537363342381e-01    6.0981850538385199e-04
     2.60     0.155    1.8869698610508090e-01    4.5584753735122444e-04
     2.72     0.162    1.8867820341176528e-01    4.6968825649081682e-04
     2.80     0.169    1.8865463859910556e-01    4.4432598188965782e-04
     2.92     0.178    1.8861966620352053e-01    4.2957942644926026e-04
     3.00     0.184    1.8859868417091333e-01    4.0340583993252546e-04
     3.12     0.192    1.8857322162473567e-01    3.6363103768609329e-04
