    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     4.00     0.008    1.3947055953580989e-01    2.7268956804974209e-02
     8.00     0.017    2.3276482005380805e-02    1.6453734738339776e-03
    12.00     0.022    1.5423852400386566e-02    7.9229249404338953e-04
    16.00     0.028    1.4804405642726269e-02    2.5995406412981925e-04
    20.00     0.035    1.4568563799022705e-02    1.8933134981535815e-04
    24.00     0.043    1.4492603856336456e-02    3.0948449528889199e-05
    28.00     0.048    1.4488267782390946e-02    1.9014727594246494e-05
    32.00     0.058    1.4486837733860364e-02    1.3972058839600843e-05
    36.00     0.061    1.4486261719477089e-02    1.5368119275920716e-05
    40.00     0.070    1.4485942679136226e-02    1.0066576077161216e-05
    44.00     0.074    1.4485894129597256e-02    3.4333210615737630e-06
    48.00     0.081    1.4485873179011781e-02    5.6980114548910166e-07
    52.00     0.088    1.4485867248239519e-02    2.8777359384335455e-07
    56.00     0.094    1.4485866524017649e-02    1.6621162389485189e-07
    60.00     0.100    1.4485866245762358e-02    2.6730743186726552e-07
    64.00     0.107    1.4485866144944022e-02    1.2894274781238835e-07
    68.00     0.114    1.4485866133728872e-02    2.0408797152260405e-08
    72.00     0.120    1.4485866129863970e-02    3.0932900768609883e-08
    76.00     0.126    1.4485866128570529e-02    1.5081028426067178e-08
    80.00     0.134    1.4485866128374079e-02    1.9047874111333130e-09
    84.00     0.141    1.4485866128347789e-02    8.4066376082603256e-10
    88.00     0.147    1.4485866128335821e-02    5.9863713985919276e-10
    92.00     0.153    1.4485866128334675e-02    2.0276526031121067e-10
    96.00     0.164    1.4485866128334357e-02    1.1031625613000529e-10
   100.00     0.171    1.4485866128334270e-02    1.9093615577503442e-10
   104.00     0.177    1.4485866128334269e-02    3.1631836039380801e-11
