    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     1.00     0.004    8.0371519376989164e-02    9.5382758621556096e-03
     2.00     0.007    5.4868575556992170e-02    1.5322508341774260e-02
     3.00     0.010    3.2815060485982782e-02    2.4687784477879227e-03
     4.00     0.013    2.6459536327833065e-02    2.7895378379747537e-03
     5.00     0.016    2.2458782972234054e-02    1.6219797680703252e-03
     6.00     0.018    2.0278011904842547e-02    1.2048796326402655e-03
     7.00     0.022    1.9090652350044438e-02    7.9738043458466024e-04
     8.00     0.026    1.8323774454194596e-02    1.1140431453489086e-03
     9.01     0.029    1.7770395324667405e-02    7.4792749307950324e-04
    10.01     0.032    1.7361153407209302e-02    6.9915099391781865e-04
    11.01     0.034    1.7024304670397630e-02    4.1741206622258886e-04
    12.01     0.037    1.6759521095712118e-02    4.3752765543914052e-04
    13.01     0.041    1.6530205697267358e-02    4.2160064462049007e-04
    14.01     0.045    1.6330403703796400e-02    3.8452680276890305e-04
    15.01     0.048    1.6155252314397305e-02    3.9232526228261122e-04
    16.01     0.051    1.6001278012919846e-02    3.2912210064495184e-04
    17.01     0.054    1.5863902733125400e-02    3.4337636655124015e-04
    18.01     0.057    1.5740887898711434e-02    3.1139848006045412e-04
    19.01     0.060    1.5630498398621448e-02    3.2752655180701140e-04
    20.01     0.065    1.5531060556349244e-02    2.9822012677804821e-04
    21.01     0.069    1.5441431758868637e-02    2.8181412032335373e-04
    22.01     0.071    1.5360748076162022e-02    2.7285797703058279e-04
    23.01     0.074    1.5287769737595660e-02    2.6678380307920690e-04
    24.01     0.077    1.5221391650012416e-02    2.4595917882930252e-04
    25.01     0.080    1.5161227645422628e-02    2.3380280726748026e-04
    26.01     0.084    1.5106574526355956e-02    2.2947041437326732e-04
    27.01     0.088    1.5057026616574008e-02    2.1353128728485160e-04
    28.01     0.090    1.5011981508591017e-02    1.9933440354158449e-04
    29.01     0.093    1.4971063260543338e-02    1.9506088499188223e-04
    30.01     0.096    1.4933880232653081e-02    1.7938835902864270e-04
    31.01     0.100    1.4899940382833670e-02    1.7326673452533470e-04
    32.01     0.104    1.4869105165906324e-02    1.7099015113153371e-04
    33.01     0.107    1.4840927435805076e-02    1.4921182590654780e-04
    34.01     0.109    1.4815175926510087e-02    1.5039920607495816e-04
    35.02     0.112    1.4791651036738096e-02    1.3635476307616301e-04
    36.02     0.115    1.4770124724460817e-02    1.3544077087690454e-04
    37.02     0.118    1.4750340628703059e-02    1.2085522512705893e-04
    38.02     0.122    1.4732139929782950e-02    1.1914203937468670e-04
    39.02     0.126    1.4715450971273084e-02    1.0792602857367939e-04
    40.02     0.129    1.4700048636046410e-02    1.0247885091274611e-04
    41.02     0.132    1.4685840154859346e-02    9.9217825344943833e-05
    42.02     0.134    1.4672735677534694e-02    9.1285935805984764e-05
    43.02     0.138    1.4660632722380162e-02    8.6696520982698644e-05
    44.02     0.142    1.4649442197129079e-02    8.3857333994075134e-05
    45.02     0.145    1.4639064846632058e-02    7.6536505971169788e-05
    46.02     0.148    1.4629454257180999e-02    7.5441900272643636e-05
    47.02     0.150    1.4620540523512488e-02    6.7745968074461871e-05
    48.02     0.153    1.4612240119866466e-02    6.5688080526093984e-05
    49.02     0.156    1.4604542730810858e-02    6.5209726160198045e-05
    50.02     0.160    1.4597372019804006e-02    5.8831213276100414e-05
    51.02     0.163    1.4590686247495569e-02    5.8828096339169633e-05
    52.02     0.166    1.4584444007550764e-02    5.3561035040061711e-05
    53.02     0.169    1.4578622753821270e-02    5.1638192699599017e-05
    54.02     0.172    1.4573174385395907e-02    4.8929546403009283e-05
    55.02     0.175    1.4568080257402612e-02    4.4970732694160631e-05
    56.02     0.178    1.4563325061481829e-02    4.3509491211679574e-05
    57.02     0.182    1.4558869040549328e-02    4.2310733439521186e-05
    58.02     0.185    1.4554700237157991e-02    4.0635627621909975e-05
    59.03     0.187    1.4550789743374214e-02    3.9337492299118537e-05
    60.03     0.190    1.4547120948382959e-02    3.8007373542203737e-05
    61.03     0.192    1.4543679031811030e-02    3.7085249823931576e-05
    62.03     0.196    1.4540448041937999e-02    3.5474763849574487e-05
    63.03     0.199    1.4537415856157143e-02    3.4697007349926423e-05
    64.03     0.203    1.4534563058611737e-02    3.3544639936877729e-05
    65.03     0.205    1.4531879570492750e-02    3.2415926226825320e-05
    66.03     0.208    1.4529359537788337e-02    3.1490757726793106e-05
    67.03     0.211    1.4526986503261910e-02    3.0292579478174986e-05
    68.03     0.215    1.4524752516440883e-02    2.9709769745700498e-05
    69.03     0.219    1.4522650362702692e-02    2.8619398001694663e-05
    70.03     0.222    1.4520670253321603e-02    2.7922379449041301e-05
    71.03     0.225    1.4518799499350567e-02    2.6950318316565358e-05
    72.03     0.227    1.4517040466623592e-02    2.6307278409465340e-05
    73.03     0.230    1.4515381671653147e-02    2.5424976316745784e-05
    74.03     0.234    1.4513816793259601e-02    2.4651582964274610e-05
    75.03     0.237    1.4512340473380812e-02    2.3939364595548795e-05
    76.03     0.241    1.4510944529471173e-02    2.3142136274856284e-05
    77.03     0.244    1.4509629214327316e-02    2.2528996701520754e-05
    78.03     0.246    1.4508386241752972e-02    2.1859770406695844e-05
    79.04     0.249    1.4507212690038762e-02    2.1221393457171445e-05
    80.04     0.253    1.4506104398420139e-02    2.0500820510083173e-05
    81.04     0.256    1.4505056815873323e-02    1.9890076924600208e-05
    82.04     0.260    1.4504066506916168e-02    1.9341227012414919e-05
    83.04     0.263    1.4503128551521909e-02    1.8717944077817350e-05
    84.04     0.265    1.4502242407658501e-02    1.8239739715042447e-05
    85.04     0.268    1.4501404283193901e-02    1.8013198953892307e-05
    86.04     0.271    1.4500609448575376e-02    1.7127520016924080e-05
    87.04     0.274    1.4499859200943127e-02    1.7174416703680251e-05
    88.04     0.278    1.4499147366347370e-02    1.6102262697881287e-05
    89.04     0.281    1.4498474995504509e-02    1.5776601171579863e-05
    90.04     0.283    1.4497838353675404e-02    1.5298425892734668e-05
