    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056004021e-01    2.0236336779911376e-01
     2.00     0.071    1.1754442091164850e-01    2.2576063023916904e-02
     3.00     0.096    4.0381289483445146e-02    9.1944588091621426e-03
     4.00     0.120    2.1069869490916340e-02    3.4409843713230082e-03
     5.00     0.145    1.5986984695579950e-02    1.1784187777597044e-03
     6.00     0.169    1.4742979901703857e-02    2.9505261175577502e-04
     7.00     0.202    1.4505119381512929e-02    6.9072947324944067e-05
     8.00     0.227    1.4485957594200660e-02    5.4841953440742941e-06
     9.00     0.251    1.4485866131394767e-02    3.0898736902429391e-08
    10.00     0.275    1.4485866128334215e-02    2.6758040228003210e-12
