    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055858948e-01    4.8299081998376076e-01
    15.00     0.736    4.2497757164672793e-02    4.5273925480812105e-03
    27.00     0.831    3.2644778127534503e-02    1.8608547698807931e-02
    32.00     0.922    2.3668671048318081e-02    2.0378858194206595e-03
    36.00     1.047    1.5099496173760165e-02    5.9358159572631131e-04
    40.00     1.163    1.3676450540866039e-02    4.2674250318464058e-04
    44.00     1.278    1.3550100209184851e-02    1.0072430762447793e-04
    50.00     1.457    1.3377633283673829e-02    8.9411220028076666e-05
    54.00     1.597    1.3237303511612716e-02    3.7177314033343123e-04
    58.00     1.682    1.3157906297443836e-02    4.3850455347660411e-05
    65.00     1.894    1.3150814149562250e-02    1.5191344594089884e-04
    69.00     2.011    1.3100635954031457e-02    5.6488974711443873e-05
    78.00     2.296    1.3096243463998370e-02    4.9009465223084914e-05
    83.00     2.453    1.3092849080419565e-02    3.5610326417433169e-05
    87.00     2.572    1.3063843980995813e-02    5.0920634520723596e-05
    92.00     2.725    1.3056235123915632e-02    6.1752834755846031e-05
    96.00     2.842    1.3045577528183392e-02    5.9851466016974664e-05
   100.00     2.962    1.3030939496398636e-02    3.9891255300128492e-05
   104.00     3.202    1.3026122561425643e-02    4.2958897520761763e-05
   109.00     3.233    1.3025410494574252e-02    3.5315630564136669e-05
   113.00     3.352    1.3021996132546020e-02    5.8528851407224636e-05
   117.00     3.472    1.3019462949887419e-02    2.2620209964241411e-05
   121.00     3.592    1.3017210326061412e-02    1.5304485655676103e-05
   125.00     3.711    1.3013810199430896e-02    3.0996110145675715e-05
   129.00     3.828    1.3012813198312396e-02    1.5220589999531686e-05
   135.00     4.006    1.3011576465846686e-02    6.9862826631266872e-06
   139.00     4.123    1.3011189911486988e-02    1.4063750412685039e-05
   146.00     4.336    1.3010509964292002e-02    7.5414474980384227e-06
   150.00     4.456    1.3010042449275455e-02    7.1090247827920727e-06
   154.00     4.632    1.3009611853928602e-02    7.9590986952204901e-06
   158.00     4.689    1.3009568501986970e-02    2.8418143811492769e-06
   162.00     4.829    1.3009429404995091e-02    3.5949272976232294e-06
   166.00     4.919    1.3009229106785132e-02    2.4835164622594164e-06
   173.00     5.135    1.3009056352940227e-02    3.8839405824830919e-06
   177.00     5.254    1.3009024449113789e-02    1.0663102991692597e-06
   184.00     5.497    1.3008943053962305e-02    1.9726420239767756e-06
   188.00     5.588    1.3008925282805932e-02    3.6801917451256827e-06
   192.00     5.707    1.3008912683153353e-02    1.8766487768218099e-06
   196.00     5.825    1.3008909246649760e-02    7.3727241819976364e-07
   200.00     6.002    1.3008904777161930e-02    3.6281483695166372e-07
   204.00     6.064    1.3008914539224497e-02    1.8055132047223310e-06
   208.00     6.181    1.3008902354748608e-02    6.9055176154554643e-07
   212.00     6.298    1.3008899725131888e-02    4.4603659557496123e-07
   216.00     6.414    1.3008899335067931e-02    2.8612742436484595e-07
   220.00     6.531    1.3008898666750930e-02    7.3883661189100280e-07
   224.00     6.648    1.3008898357591409e-02    3.1821217305605387e-07
   228.00     6.763    1.3008898095098205e-02    3.0554551227850169e-07
   232.00     6.877    1.3008897555395922e-02    2.4787785957158803e-07
   236.00     6.990    1.3008897168696522e-02    1.6906716010858802e-07
   240.00     7.101    1.3008896787150078e-02    8.3702285755271610e-08
   244.00     7.218    1.3008896681313652e-02    8.9010477211104444e-08
   248.00     7.335    1.3008896641078587e-02    1.3264318354799798e-07
   252.00     7.452    1.3008896558269803e-02    4.5227911193990167e-08
   256.00     7.569    1.3008896536432731e-02    5.5396775611171734e-08
   260.00     7.684    1.3008896520520766e-02    1.2280315675461395e-07
   264.00     7.803    1.3008896545588096e-02    2.2931774557033435e-07
   268.00     7.923    1.3008896496335553e-02    2.6215671362905812e-08
   272.00     8.040    1.3008896480854400e-02    5.4601627219597049e-08
   276.00     8.156    1.3008896478492134e-02    2.9877445850701179e-08
   280.00     8.273    1.3008896473371145e-02    2.4739509859109110e-08
   284.00     8.391    1.3008896471004280e-02    5.3539903843713432e-08
   288.00     8.508    1.3008896464394834e-02    1.1673760010738610e-08
   292.00     8.624    1.3008896463283896e-02    7.6551900374255410e-09
   296.00     8.741    1.3008896461810122e-02    1.7275812051742445e-08
   300.00     8.859    1.3008896461346075e-02    7.9448101431012219e-09
   304.00     8.975    1.3008896460880000e-02    4.7319032997483745e-09
   308.00     9.091    1.3008896459897694e-02    1.1585599146712866e-08
   312.00     9.198    1.3008896459690429e-02    4.4931196541142526e-09
   316.00     9.312    1.3008896459543135e-02    3.9972904986029789e-09
   320.00     9.426    1.3008896459354774e-02    3.2154168216891321e-09
   324.00     9.544    1.3008896696594599e-02    6.0213446784196378e-07
   328.00     9.660    1.3008896459155754e-02    3.1674791678426573e-09
   332.00     9.775    1.3008896459121563e-02    3.4630229794885281e-09
   336.00     9.893    1.3008896459038988e-02    1.1790368681374730e-09
   340.00    10.013    1.3008896459022283e-02    8.8500717865258594e-10
   344.00    10.130    1.3008896459011661e-02    1.1066729754816151e-09
   348.00    10.252    1.3008896458995171e-02    1.7973915689140085e-09
   352.00    10.372    1.3008896458984304e-02    2.9627624797967655e-09
   356.00    10.491    1.3008896458968723e-02    1.7569492527513830e-09
   360.00    10.612    1.3008896458955123e-02    2.1351840295835700e-09
   364.00    10.731    1.3008896458939604e-02    1.3080722581493287e-09
   368.00    10.851    1.3008896458934736e-02    9.8682839677621814e-10
   372.00    10.970    1.3008896458933231e-02    5.4969895302292571e-10
   376.00    11.089    1.3008896458931446e-02    4.5673130208423451e-10
   380.00    11.209    1.3008896458930334e-02    4.6272718989825989e-10
   384.00    11.328    1.3008896458929074e-02    1.8215007280275586e-10
   388.00    11.447    1.3008896458929622e-02    1.3179128899309944e-09
   392.00    11.569    1.3008896458927896e-02    2.6879543209290535e-10
   396.00    11.703    1.3008896458927742e-02    5.1422155422642390e-10
   400.00    11.845    1.3008896458927541e-02    2.0468230929604481e-10
   404.00    11.965    1.3008896458927402e-02    3.1786773213582364e-10
   408.00    12.086    1.3008896458926989e-02    1.2102633999144796e-10
   412.00    12.193    1.3008896458976080e-02    9.3881038498722091e-09
   416.00    12.309    1.3008896458926261e-02    1.2770817736651452e-10
   420.00    12.430    1.3008896458926408e-02    3.0866864619838452e-11
