    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     6.00     0.068    6.1223055999180498e-01    5.3887859641941066e-02
    10.00     0.108    5.6846322376959679e-01    3.3340534515336029e-02
    14.00     0.148    5.5018940177552200e-01    1.1371513080201553e-02
    18.00     0.188    5.4673518239935526e-01    4.5465116620446722e-03
    22.00     0.228    5.4471163049408977e-01    5.0730897132428461e-03
    26.00     0.268    5.4395579599132693e-01    2.5845752117947783e-03
    30.00     0.308    5.4374385392219982e-01    1.7456037309989403e-03
    34.00     0.348    5.4354060008435012e-01    3.0314187421622563e-03
    39.00     0.398    5.4346581352742185e-01    9.6352999671181147e-04
    43.00     0.450    5.4341584103311336e-01    1.3722809571135863e-03
    47.00     0.481    5.4339737110300601e-01    4.5896573941639485e-04
    51.00     0.523    5.4336674577305921e-01    3.8300374374777846e-04
    55.00     0.563    5.4333461899714686e-01    8.3898077389801817e-04
    60.00     0.612    5.4331860725663816e-01    4.3366467110594886e-04
    64.00     0.652    5.4330610392320799e-01    2.4072003344687357e-04
    68.00     0.692    5.4329553662958630e-01    3.8898513324751166e-04
    72.00     0.732    5.4329301849245493e-01    1.8678975490697518e-04
    76.00     0.771    5.4328876114580094e-01    3.5228446797874041e-04
    80.00     0.811    5.4328433847511459e-01    2.9485582654767417e-04
    84.00     0.861    5.4327454407387732e-01    7.4477416490190823e-04
    88.00     0.893    5.4326885419854620e-01    3.7615785819252595e-04
    93.00     0.942    5.4325064682945323e-01    4.0300818196752075e-04
    97.00     0.983    5.4324335171361882e-01    8.1298443790389641e-04
   101.00     1.024    5.4323365320732109e-01    3.0322412311969103e-04
   105.00     1.063    5.4322554990817473e-01    2.8999510680360495e-04
   109.00     1.112    5.4322356619531265e-01    3.4594611364902050e-04
   113.00     1.142    5.4322259954868957e-01    2.1962785005341656e-04
   120.00     1.211    5.4321868816812824e-01    2.5467301738127390e-04
   124.00     1.251    5.4321307155454679e-01    4.4984614744431051e-04
   128.00     1.290    5.4321192280313113e-01    1.0808935296797995e-04
   132.00     1.338    5.4320866072467699e-01    1.6688534506970054e-04
   136.00     1.368    5.4320716595543395e-01    1.9993138713186170e-04
   143.00     1.438    5.4320452678770659e-01    2.7562514852337572e-04
   147.00     1.479    5.4320232924097223e-01    3.2327748810356827e-04
   151.00     1.519    5.4319698566583063e-01    2.6866771361530595e-04
   155.00     1.558    5.4319361201510186e-01    4.5576618017821070e-04
   159.00     1.597    5.4319199237769977e-01    2.1978690423835739e-04
   163.00     1.635    5.4319033090040725e-01    1.3525824299753277e-04
   167.00     1.674    5.4318880929310775e-01    1.5776239216762356e-04
   171.00     1.711    5.4318799041046328e-01    1.5414252040379418e-04
   175.00     1.747    5.4318703741915420e-01    1.2787205825218889e-04
   179.00     1.792    5.4318665955474243e-01    1.3177111940305963e-04
   183.00     1.819    5.4318648057105234e-01    6.6216412468678154e-05
   187.00     1.855    5.4318611805936734e-01    4.6411360167697424e-05
   191.00     1.891    5.4318575647207912e-01    8.4904868583292326e-05
   195.00     1.929    5.4318563878008563e-01    5.1315100912913136e-05
   199.00     1.965    5.4318546330183537e-01    3.1303454553533588e-05
   203.00     2.002    5.4318539111537212e-01    6.0912454324088539e-05
   207.00     2.039    5.4318533123715029e-01    3.2986794291242627e-05
   211.00     2.077    5.4318527857483645e-01    5.0390164162191636e-05
