    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     0.10     0.006    5.6627674542214468e-01    1.1263961339979478e-02
     0.20     0.012    5.5820317350807913e-01    8.4010214073987413e-03
     0.30     0.017    5.5179526840849802e-01    6.1856279101036721e-03
     0.40     0.023    5.4920621537300451e-01    4.2889175457297979e-03
     0.50     0.029    5.4774990092177700e-01    4.3027167766462870e-03
     0.60     0.035    5.4704252929743413e-01    4.0819178930233679e-03
     0.70     0.040    5.4648047641254049e-01    3.5841686108424309e-03
     0.80     0.045    5.4589838598628981e-01    3.0462628527261337e-03
     0.90     0.051    5.4541044898952640e-01    2.6981717233087732e-03
     1.00     0.057    5.4371158394692465e-01    2.1645299820776120e-03
     1.10     0.062    5.4349647313639315e-01    1.4569821477392331e-03
     1.20     0.068    5.4339594528322022e-01    1.1086314718869450e-03
     1.30     0.073    5.4329293641071386e-01    8.2264924015018615e-04
     1.40     0.079    5.4326078595284122e-01    6.4500902322461862e-04
     1.50     0.085    5.4323458890428700e-01    5.2361679418022611e-04
     1.60     0.091    5.4320956426349010e-01    3.8557097355851333e-04
     1.70     0.096    5.4320102156446826e-01    2.8268989412091883e-04
     1.80     0.102    5.4319513658221119e-01    1.8830884532361480e-04
     1.90     0.107    5.4318707316748704e-01    1.1675197495408796e-04
     2.00     0.113    5.4318533013835246e-01    4.7985645083570283e-05
     2.10     0.118    5.4318453682855128e-01    3.2874884903888457e-05
     2.20     0.124    5.4318439078275771e-01    2.0988591389103917e-05
     2.30     0.130    5.4318426486002502e-01    1.1127154107476445e-05
     2.40     0.135    5.4318421488957058e-01    7.8392169760022057e-06
     2.50     0.141    5.4318420750510310e-01    4.3087954975096210e-06
     2.60     0.146    5.4318420497586684e-01    2.2653507126824124e-06
     2.70     0.152    5.4318420069223605e-01    9.8539518025853035e-07
     2.80     0.157    5.4318419990128031e-01    3.1294725799657641e-07
     2.90     0.163    5.4318419967317444e-01    8.3566524491929250e-08
     3.00     0.169    5.4318419966379883e-01    2.9524439865147301e-08
     3.10     0.174    5.4318419966117826e-01    1.0408611431523412e-08
     3.20     0.181    5.4318419966037912e-01    4.1596299599211406e-09
     3.30     0.186    5.4318419966034193e-01    1.8506459698031108e-09
     3.40     0.192    5.4318419966031461e-01    6.3655439253018642e-10
     3.50     0.198    5.4318419966031528e-01    4.5743364651684715e-10
     3.60     0.204    5.4318419966031450e-01    2.2880616151743638e-10
     3.70     0.210    5.4318419966031406e-01    4.9056758655297017e-11
