    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055914615e-01    1.2837419783665921e-01
     2.00     0.191    5.4807876997704730e-01    6.5482909738265871e-03
     3.00     0.254    5.4356978287049740e-01    1.3851994145118729e-03
     4.00     0.319    5.4318798103902521e-01    9.5360109158476591e-05
     5.00     0.382    5.4318424743921101e-01    7.7373427194160627e-06
     6.00     0.447    5.4318420201711337e-01    6.7159939807354130e-07
     7.00     0.511    5.4318419969242404e-01    1.1951229983431233e-07
     8.00     0.576    5.4318419966110010e-01    6.0359771403284412e-08
     9.00     0.640    5.4318419966034170e-01    1.7270536618874122e-08
    10.00     0.705    5.4318419966031417e-01    5.2021316768180448e-10
    11.00     0.769    5.4318419966030873e-01    8.6331053417154635e-11
