    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     4.00     0.157    1.7955505621878873e-01    1.9280617997984861e-03
     8.00     0.256    1.3480569097272876e-01    6.5978172414275088e-04
    12.00     0.372    1.3022844290429494e-01    3.4706328572098322e-04
    16.00     0.461    1.2741834741739966e-01    1.8862990529189272e-04
    20.00     0.553    1.2646493639736955e-01    1.0855667819653636e-04
    24.00     0.647    1.2627507716650080e-01    7.6008860098175646e-05
    28.00     0.753    1.2622185959919049e-01    1.6596372500754519e-04
    32.00     0.859    1.2619354353649834e-01    1.4732613568213537e-05
    36.00     0.951    1.2618397701923961e-01    2.9752256317516768e-05
    40.00     1.042    1.2618182271741585e-01    1.2115117307920364e-05
    44.00     1.142    1.2618146149843631e-01    5.5710339044168222e-06
    48.00     1.234    1.2618091465334544e-01    1.3806385460113368e-05
    52.00     1.341    1.2618076213375698e-01    9.0992280110668844e-07
    56.00     1.450    1.2618071037594208e-01    5.9233506222167165e-07
    60.00     1.557    1.2618069928755821e-01    4.6503639856698697e-06
    64.00     1.661    1.2618068967863436e-01    4.1189738275715371e-07
    68.00     1.766    1.2618068714877992e-01    2.2242135804852181e-07
    72.00     1.860    1.2618068673786179e-01    1.0938133160331986e-07
    76.00     1.955    1.2618068660575815e-01    4.1230625469346194e-08
    80.00     2.051    1.2618068654996636e-01    2.7453032888646867e-08
    84.00     2.146    1.2618068651955475e-01    1.9891249536385658e-08
    88.00     2.242    1.2618068651498543e-01    2.7886436271273851e-08
    92.00     2.344    1.2618068651345149e-01    3.8628315879307706e-08
    96.00     2.460    1.2618068651151682e-01    4.3657804038588210e-09
   100.00     2.576    1.2618068651088449e-01    1.1732957716503734e-08
   104.00     2.684    1.2618068651066652e-01    1.4086488642206518e-09
   108.00     2.782    1.2618068651057679e-01    6.7194694253203124e-10
   112.00     2.879    1.2618068651054568e-01    7.0308547872599547e-10
   116.00     2.975    1.2618068651053216e-01    5.2840110065233148e-10
   120.00     3.072    1.2618068651052733e-01    1.9999779610202495e-10
   124.00     3.170    1.2618068651052805e-01    5.9416593867211986e-10
   128.00     3.267    1.2618068651052228e-01    3.0389113447881755e-10
   132.00     3.363    1.2618068651052433e-01    9.0815577280523030e-11
