    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055915026e-01    1.6792297332609699e-01
     2.00     3.677    2.8020639741673170e-01    2.5459079923881411e-02
     3.00     5.254    2.0647022777070506e-01    1.2091711838531527e-02
     4.00     7.517    1.7027662384858705e-01    4.1227480365050306e-03
     5.00     9.285    1.3831316065369889e-01    2.3668007353161435e-03
     6.00    10.792    1.2875407631146385e-01    6.6928638950947139e-04
     7.00    12.280    1.2649723779973343e-01    1.2364828565747388e-04
     8.00    13.559    1.2619879955676339e-01    1.5281016693569072e-05
     9.00    14.791    1.2618082976914616e-01    1.7048652061202318e-06
    10.00    15.997    1.2618068652493675e-01    2.2838186009010997e-08
    11.00    17.109    1.2618068651052491e-01    4.3347547773464612e-12
