    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     4.00     2.262    3.9273668528945538e-01    1.5675117383440948e-02
     8.00     4.487    3.7703805135146828e-01    9.9689550444337360e-04
    12.00     6.698    3.7605681807241209e-01    6.4532724938728430e-05
    16.00     8.924    3.7599395132885538e-01    4.3203895547472145e-06
    20.00    11.133    3.7599057291092802e-01    3.6099733011289130e-07
    24.00    13.403    3.7599054949284400e-01    2.2737612917834737e-07
    28.00    15.676    3.7599054945987165e-01    2.2655502147292190e-07
    32.00    17.960    3.7599054793753051e-01    2.1978145297658343e-07
    36.00    20.244    3.7599049450701005e-01    2.3192269667339052e-07
    40.00    22.482    3.7599034281645299e-01    6.4113257753518041e-08
    44.00    24.689    3.7599034202899401e-01    6.3943668171646032e-08
    48.00    26.895    3.7599034202471709e-01    6.4814394045724546e-08
    52.00    29.131    3.7599034182354457e-01    7.0087327430498678e-08
    56.00    31.380    3.7599033465030585e-01    7.4425826084873242e-08
    60.00    33.590    3.7599032047992109e-01    1.0502769913717340e-08
    64.00    35.802    3.7599032046736025e-01    1.0248705733756707e-08
    68.00    38.029    3.7599032046733172e-01    1.0263764834763512e-08
    72.00    40.264    3.7599032046445691e-01    1.0300668312311008e-08
    76.00    42.481    3.7599032035429053e-01    9.7896554750715074e-09
    80.00    44.767    3.7599032004406036e-01    1.8401238510968374e-09
    84.00    46.975    3.7599032004350696e-01    1.6298633127602203e-09
    88.00    49.198    3.7599032004348265e-01    1.6048089939402622e-09
    92.00    51.421    3.7599032004333915e-01    1.5851994026609487e-09
    96.00    53.626    3.7599032003787869e-01    1.8188503865044787e-09
   100.00    55.827    3.7599032002154620e-01    3.8262982405553117e-10
