    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     2.00     1.651    4.3506136746512997e-01    5.2886065993448139e-02
     3.00     2.846    3.9600053982141353e-01    1.8666456599682531e-02
     4.00     3.838    3.8262945883721522e-01    6.2802604823327390e-03
     5.00     5.029    3.7843378567070313e-01    2.3212112985272521e-03
     6.00     6.019    3.7689293248667399e-01    8.5914810163590294e-04
     7.00     6.999    3.7632547720196169e-01    3.1990678916201401e-04
     8.00     8.377    3.7611367110419403e-01    1.1845294868367946e-04
     9.00     9.356    3.7603544893989838e-01    4.4094980782991540e-05
    10.00    10.917    3.7600611204892803e-01    1.6178514124659271e-05
    11.00    12.421    3.7599552428165406e-01    5.8357960359495555e-06
    12.00    14.156    3.7599183280322579e-01    2.0567099919502262e-06
    13.00    15.890    3.7599064750831740e-01    6.7735256481253769e-07
    14.00    17.797    3.7599035646680429e-01    1.7942015133731829e-07
    15.00    19.698    3.7599032091485235e-01    2.5410225175117321e-08
    16.00    21.747    3.7599032002131799e-01    7.3194063548988685e-10
