    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     0.10     0.397    3.7621503053152311e-01    2.1418658060446118e-04
     0.20     0.717    3.7614883073397615e-01    1.5136581640548251e-04
     0.30     1.034    3.7611943593383490e-01    1.2343325421514779e-04
     0.40     1.362    3.7610200744288902e-01    1.0689212589064411e-04
     0.50     1.686    3.7609011561612177e-01    9.5592514105870385e-05
     0.60     2.004    3.7608130968037889e-01    8.7221767389331452e-05
     0.70     2.322    3.7607450031328060e-01    8.0749973037155592e-05
     0.80     2.640    3.7606899783950526e-01    7.5517015729044547e-05
     0.90     2.961    3.7606443429460856e-01    7.1172829748809201e-05
     1.00     3.276    3.7606055759337759e-01    6.7480360487266663e-05
     1.10     3.588    3.7602956204482352e-01    3.8071248455391150e-05
     1.20     3.897    3.7602356261260750e-01    3.2353810219091905e-05
     1.30     4.207    3.7601949778726018e-01    2.8476901849051848e-05
     1.40     4.517    3.7601622855945599e-01    2.5365700176461768e-05
     1.50     4.827    3.7601334512283269e-01    2.2621972766439529e-05
     1.60     5.137    3.7601064795233186e-01    2.0056339522653352e-05
     1.70     5.456    3.7600802919825815e-01    1.7566988038950434e-05
     1.80     5.775    3.7600538431344804e-01    1.5050733759678361e-05
     1.90     6.097    3.7600262283371982e-01    1.2425021786402456e-05
     2.00     6.424    3.7599965931009011e-01    9.6042673135697322e-06
     2.10     6.744    3.7599815550675442e-01    8.1658443792193586e-06
     2.20     7.072    3.7599708387155434e-01    7.1385681714031152e-06
     2.30     7.394    3.7599615761246702e-01    6.2458426002891651e-06
     2.40     7.715    3.7599532108881578e-01    5.4385373113372242e-06
     2.50     8.038    3.7599455186095804e-01    4.6919306776692095e-06
     2.60     8.360    3.7599384194893298e-01    3.9984581372768993e-06
     2.70     8.683    3.7599320003266118e-01    3.3663518307668825e-06
     2.80     9.005    3.7599263466107224e-01    2.8020173758499434e-06
     2.90     9.328    3.7599216213348968e-01    2.3231892892208076e-06
     3.00     9.649    3.7599180540600707e-01    1.9539185992327162e-06
     3.10     9.971    3.7599154509390442e-01    1.6793400622923592e-06
     3.20    10.291    3.7599132251805062e-01    1.4392824340009046e-06
     3.30    10.620    3.7599112835196247e-01    1.2234596966075887e-06
     3.40    10.951    3.7599096022439737e-01    1.0313354117185469e-06
     3.50    11.277    3.7599081729314149e-01    8.6117702519541018e-07
     3.60    11.609    3.7599069811466873e-01    7.1241542894036328e-07
     3.70    11.954    3.7599060281126051e-01    5.8652397476026835e-07
     3.80    12.408    3.7599052894957563e-01    4.8174426721915711e-07
     3.90    12.761    3.7599047328390711e-01    3.9636387670465736e-07
     4.00    13.390    3.7599043143560595e-01    3.2609662330834860e-07
     4.10    14.021    3.7599039936508249e-01    2.6653799832977422e-07
     4.20    14.364    3.7599037470223085e-01    2.1466930256856490e-07
     4.30    14.701    3.7599035624872579e-01    1.6991676113886886e-07
     4.40    15.042    3.7599034310405027e-01    1.3251885937311152e-07
     4.50    15.379    3.7599033416939803e-01    1.0164484140975165e-07
     4.60    15.717    3.7599032831016727e-01    7.6538012006688553e-08
     4.70    16.049    3.7599032470867250e-01    5.6934283428919743e-08
     4.80    16.380    3.7599032257245951e-01    4.1602476621888927e-08
     4.90    16.719    3.7599032135144211e-01    2.9852090994186053e-08
     5.00    17.060    3.7599032067202182e-01    2.0805602473799863e-08
     5.10    17.402    3.7599032031955332e-01    1.4073402643858462e-08
     5.20    17.746    3.7599032014749584e-01    9.1437595960627677e-09
     5.30    18.083    3.7599032006974487e-01    5.6791156444532664e-09
     5.40    18.419    3.7599032003826599e-01    3.4116735839060625e-09
     5.50    18.756    3.7599032002646376e-01    1.9716921806944223e-09
     5.60    19.090    3.7599032002233873e-01    1.0884852062249166e-09
     5.70    19.433    3.7599032002105487e-01    5.8230988525613692e-10
