    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     1.00     3.023    4.0016807925610470e-01    3.3506933618442946e-05
     2.00     5.773    4.0752231553599433e-01    3.8336030518850827e-05
     3.00     8.886    4.0075853342288742e-01    3.3977713822425692e-05
     4.00    11.882    3.9259744501522909e-01    2.7822506597764310e-05
     5.00    14.874    3.8645551222623437e-01    2.2089992558046880e-05
     6.00    18.041    3.8238399377189064e-01    1.7269268851072081e-05
     7.00    21.191    3.7987014426399857e-01    1.3455246873626396e-05
     8.00    24.217    3.7832084979868635e-01    1.0430252252316176e-05
     9.00    27.030    3.7738701235972494e-01    8.0786000956644966e-06
    10.00    29.929    3.7682446800774549e-01    6.2502482955724023e-06
    11.00    32.773    3.7648480543662355e-01    4.8297337639122175e-06
    12.00    35.509    3.7628259628362587e-01    3.7799970947364910e-06
    13.00    38.259    3.7616262013974888e-01    2.9690420202314986e-06
    14.00    41.027    3.7609138545933352e-01    2.2972443525306680e-06
    15.00    43.891    3.7604906001564214e-01    1.7762341941548226e-06
    16.00    46.595    3.7602391314527173e-01    1.3700388554728778e-06
    17.00    49.520    3.7600897601433947e-01    1.0554772598360758e-06
    18.00    52.426    3.7600010833121411e-01    8.1106824636056622e-07
    19.00    55.429    3.7599485336742783e-01    6.1985714541565163e-07
    20.00    58.508    3.7599177214148821e-01    4.6251312759153493e-07
    21.00    61.339    3.7599039590296823e-01    1.4099178247865909e-07
    22.00    64.124    3.7599043393371379e-01    3.5194270825981544e-07
    23.00    66.929    3.7599034555865662e-01    1.0660773079262468e-07
    24.00    69.972    3.7599032733654125e-01    5.7388127372376034e-08
    25.00    72.817    3.7599032318815323e-01    4.9155400028119629e-08
    26.00    75.882    3.7599032041419728e-01    1.0469828970194845e-08
    27.00    78.810    3.7599032035723623e-01    1.2393530844734484e-08
