    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     1.00     2.438    3.7599372676192966e-01    4.1012474196130367e-06
     2.00     4.730    3.7599229994713557e-01    2.6216097770523422e-06
     3.00     7.017    3.7599180265967369e-01    2.0827072107616436e-06
     4.00     9.350    3.7599154817662017e-01    1.7983499422267818e-06
     5.00    11.676    3.7599139199826631e-01    1.6192771442584386e-06
     6.00    14.026    3.7599128367888923e-01    1.4922923617811277e-06
     7.00    16.374    3.7599120487187587e-01    1.3981127032924081e-06
     8.00    18.730    3.7599114219163349e-01    1.3229009109508758e-06
     9.00    21.021    3.7599109280372695e-01    1.2624899271704291e-06
    10.00    23.323    3.7599105231808339e-01    1.2121082466932076e-06
    11.00    25.611    3.7599101931078210e-01    1.1703869373616003e-06
    12.00    27.895    3.7599098989544416e-01    1.1335895952191150e-06
    13.00    30.175    3.7599096487890632e-01    1.1016962543971313e-06
    14.00    32.458    3.7599094212615686e-01    1.0731937124156478e-06
    15.00    34.736    3.7599092226335340e-01    1.0477598155618164e-06
    16.00    37.016    3.7599090538281660e-01    1.0254504304562949e-06
    17.00    39.353    3.7599088996317309e-01    1.0051570976353851e-06
    18.00    41.697    3.7599087525217018e-01    9.8608431248279017e-07
    19.00    44.045    3.7599086264560716e-01    9.6911635063460320e-07
    20.00    46.399    3.7599085035508595e-01    9.5278312138909197e-07
    21.00    48.748    3.7599083967644947e-01    9.3835040464989965e-07
    22.00    51.097    3.7599082989418486e-01    9.2505018187137938e-07
    23.00    53.449    3.7599082100405545e-01    9.1274701007689643e-07
    24.00    55.790    3.7599081250206623e-01    9.0109204173372511e-07
    25.00    58.131    3.7599080484855008e-01    8.9038463170622031e-07
    26.00    60.473    3.7599079741306540e-01    8.7999225717286059e-07
    27.00    62.825    3.7599079032417543e-01    8.7008277330573815e-07
    28.00    65.168    3.7599078329701990e-01    8.6060240708130162e-07
    29.00    67.507    3.7599077722082402e-01    8.5196374950695404e-07
    30.00    69.850    3.7599077140161136e-01    8.4378655180259241e-07
    31.00    72.195    3.7599076579828827e-01    8.3590902610743145e-07
    32.00    74.538    3.7599076055890734e-01    8.2849512649885411e-07
    33.00    76.827    3.7599075555144040e-01    8.2138304092249276e-07
    34.00    79.114    3.7599075068299376e-01    8.1446458778564928e-07
