    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718059480840e-01    2.1882509462466956e-01
     2.00     3.182    4.3429509235595731e-01    5.2239203483773505e-02
     3.00     4.852    3.9558864944845118e-01    1.8276575810148219e-02
     4.00     6.487    3.8300441806972962e-01    6.6202278912105474e-03
     5.00     8.109    3.7855020623691643e-01    2.4231619839388120e-03
     6.00     9.715    3.7693154835237758e-01    8.9009356066899051e-04
     7.00    11.345    3.7633772478954536e-01    3.2736212663109394e-04
     8.00    12.983    3.7611885829664726e-01    1.2048788123830185e-04
     9.00    14.609    3.7603770501163786e-01    4.4440856311411327e-05
    10.00    16.240    3.7600732550154575e-01    1.6467838536195450e-05
    11.00    17.872    3.7599606754815329e-01    6.0943279565610945e-06
    12.00    19.513    3.7599205362896171e-01    2.1994753790021206e-06
    13.00    21.144    3.7599072315452398e-01    7.4183504408956918e-07
    14.00    22.780    3.7599037131075391e-01    2.0672908801628900e-07
    15.00    24.385    3.7599032166214436e-01    3.3300390589185423e-08
    16.00    26.036    3.7599032002301608e-01    1.2851359126606510e-09
    17.00    27.647    3.7599032002051952e-01    2.0660897057953570e-12
