    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     4.00     0.034    4.1493723966623108e-01    8.2502663196941883e-02
     8.00     0.069    3.5927352034675197e-01    1.3071527024526347e-02
    12.00     0.100    3.3868325154112489e-01    9.2084613952781811e-03
    16.00     0.135    3.3378332553659640e-01    6.0653438686031737e-03
    20.00     0.166    3.3056580279505976e-01    4.2944086693703616e-03
    24.00     0.201    3.2761075713483268e-01    2.4072090176416412e-03
    28.00     0.234    3.2691801047324698e-01    1.9276048343441806e-03
    32.00     0.268    3.2580453064465870e-01    2.0929001196392976e-03
    36.00     0.300    3.2536964516516875e-01    1.2490680850072218e-03
    40.00     0.334    3.2509434552116023e-01    1.0272581120244267e-03
    44.00     0.365    3.2477001628346147e-01    8.0048807506714491e-04
    48.00     0.401    3.2468542273861634e-01    8.2945166595219035e-04
    52.00     0.433    3.2451188668840769e-01    9.5660780348132840e-04
    56.00     0.467    3.2441816862014794e-01    8.6848576137159284e-04
    60.00     0.499    3.2434574301502422e-01    9.3516060977521696e-04
    64.00     0.533    3.2416778461439749e-01    5.2082926517221957e-04
    68.00     0.567    3.2413770595640129e-01    3.6533527165611448e-04
    72.00     0.601    3.2402329210391839e-01    4.7761060570582046e-04
    76.00     0.636    3.2399014708540502e-01    4.0274024215666815e-04
    80.00     0.668    3.2390618296780210e-01    4.9733590954159699e-04
    84.00     0.703    3.2386975598403489e-01    3.8521580901073617e-04
    88.00     0.736    3.2382236402779391e-01    4.1658168582221018e-04
    92.00     0.771    3.2376790790121596e-01    4.3791385127621831e-04
    96.00     0.803    3.2374362238749815e-01    2.6353460931099885e-04
   100.00     0.837    3.2369973653686152e-01    5.0016698024454864e-04
   104.00     0.871    3.2368608459393516e-01    3.6978156719681644e-04
   108.00     0.905    3.2364756847459686e-01    3.3689668458721856e-04
   112.00     0.939    3.2363024983803051e-01    3.3857452083944841e-04
   116.00     0.973    3.2359088044844742e-01    3.4659727137569359e-04
   120.00     1.006    3.2356553122792125e-01    3.3331520671132009e-04
   124.00     1.039    3.2354347641589759e-01    2.4750466083539455e-04
   128.00     1.076    3.2351535241362944e-01    3.6645572698914842e-04
   132.00     1.109    3.2350421247653599e-01    2.3361098455209597e-04
   136.00     1.144    3.2347672850107168e-01    3.3356298249667590e-04
   140.00     1.176    3.2347083643984742e-01    1.2478816786109926e-04
   144.00     1.212    3.2345709262108502e-01    2.1563069489045043e-04
   148.00     1.245    3.2345441141373388e-01    1.2350658059715670e-04
   152.00     1.279    3.2343933364909033e-01    1.2128376098625047e-04
   156.00     1.311    3.2343711500203204e-01    9.1126424773540257e-05
   160.00     1.346    3.2342788532689032e-01    1.5362177387896411e-04
   164.00     1.377    3.2342573635719701e-01    1.3744846324592513e-04
   168.00     1.412    3.2341964492499020e-01    9.7354883346040158e-05
   172.00     1.445    3.2341722974249115e-01    8.1479060623456176e-05
   176.00     1.480    3.2341071806786403e-01    1.1265391874334720e-04
