    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     2.00     0.031    5.2547755027437348e-01    8.4461422445665651e-02
     3.00     0.057    3.8823718324050793e-01    5.3387222825585279e-02
     4.00     0.086    3.5186218221304333e-01    1.4524636025892058e-02
     5.00     0.125    3.2918325972767981e-01    7.3203138660487693e-03
     6.00     0.179    3.2474398178292219e-01    1.4843300914900636e-03
     7.00     0.311    3.2342515635243435e-01    4.0989448829999967e-04
     8.00     0.526    3.2337987133413260e-01    1.7071439944771416e-05
     9.00     0.976    3.2337958249975080e-01    7.8262621263398016e-08
    10.00     1.563    3.2337958246485199e-01    1.6741008088969674e-09
    11.00     2.150    3.2337958246484488e-01    1.2688349091362545e-11
