    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     4.00     0.033    5.0481190700206513e-01    1.2101464680293347e-01
     8.00     0.070    3.6279140334452498e-01    1.1850362374902673e-02
    12.00     0.103    3.2804615331475429e-01    2.2175251921495685e-03
    16.00     0.138    3.2488888393694459e-01    5.8648785635904695e-04
    20.00     0.172    3.2456285094099757e-01    6.2253944326059064e-04
    24.00     0.207    3.2415687320018616e-01    4.2646403384462333e-04
    28.00     0.239    3.2391450314927367e-01    8.5042685969575755e-04
    32.00     0.275    3.2384726063550473e-01    4.8276962578848779e-04
    36.00     0.307    3.2374099722867905e-01    5.0623339978900618e-04
    40.00     0.343    3.2365090711217309e-01    7.7775269197097622e-04
    44.00     0.376    3.2359537296253199e-01    2.7511485923783070e-04
    48.00     0.411    3.2351399385858559e-01    4.3102114822942154e-04
    52.00     0.444    3.2347390303536006e-01    3.3061345136272042e-04
    60.00     0.516    3.2345440639892564e-01    2.1868623542424989e-04
    64.00     0.549    3.2343533173980421e-01    1.4914673988912323e-04
    68.00     0.583    3.2342551822816568e-01    3.2362155612753769e-04
    72.00     0.620    3.2341998076122752e-01    2.0204895560045196e-04
    76.00     0.656    3.2341413835288318e-01    2.1552068838238638e-04
    84.00     0.724    3.2340072592783986e-01    1.2654464105114698e-04
    88.00     0.760    3.2339569718877076e-01    1.7743998034830014e-04
    92.00     0.793    3.2338988241862188e-01    5.5984562724597616e-05
    96.00     0.828    3.2338699387705355e-01    4.5227124579279827e-05
   100.00     0.861    3.2338617019621080e-01    4.2714144276086952e-05
   104.00     0.896    3.2338528711125902e-01    6.9961499045620275e-05
   108.00     0.932    3.2338422022048668e-01    4.0736656461872001e-05
   116.00     1.003    3.2338325695181935e-01    3.9842474196765414e-05
   120.00     1.037    3.2338233966297170e-01    3.4104413973352482e-05
   124.00     1.073    3.2338168500848391e-01    5.6639384701197999e-05
   128.00     1.106    3.2338138757336254e-01    4.0495367208370906e-05
