    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     1.00     0.062    4.3070588625502004e-01    4.7025834200787847e-02
     2.00     0.114    3.6403237119768550e-01    1.1798795566144122e-02
     3.00     0.167    3.4045186427969193e-01    1.4256301002276359e-02
     4.00     0.219    3.3977751054979949e-01    3.1813178968212834e-02
     5.00     0.270    3.3348182959493305e-01    1.7474178628800862e-02
     6.00     0.322    3.4097859334215680e-01    4.6526838462689617e-02
     7.00     0.374    3.2847100079281277e-01    2.0602773368030340e-02
     8.00     0.426    3.2651863007086640e-01    1.7552559767870426e-02
     9.00     0.478    3.2562165009531546e-01    1.4481595104715589e-02
    10.00     0.528    3.2388307916905856e-01    1.7394419877691735e-03
    11.00     0.580    3.2382705786668570e-01    3.8658363661300300e-03
    12.00     0.633    3.2357221242746087e-01    3.0208157338524294e-03
    13.00     0.685    3.2359325465669936e-01    3.2737405009246822e-03
    14.00     0.737    3.2347085201888193e-01    2.3870763507554400e-03
    15.00     0.790    3.2343139708710827e-01    1.0927721624829968e-03
    16.00     0.842    3.2342082053204202e-01    1.8314097832887520e-03
    17.00     0.894    3.2344447259020559e-01    3.1056183909429916e-03
    18.00     0.946    3.2339165746780463e-01    7.7733762723937038e-04
    19.00     0.998    3.2338817807961440e-01    7.5709391431388851e-04
    20.00     1.051    3.2338736972064624e-01    7.8223352288707935e-04
    21.00     1.103    3.2338210542128437e-01    3.2661929424953202e-04
    22.00     1.156    3.2338087049618103e-01    3.2370978819690872e-04
    23.00     1.209    3.2338034596680904e-01    9.4310421643581280e-05
    24.00     1.261    3.2338025992619568e-01    2.1519198223334709e-04
    25.00     1.313    3.2337997191696405e-01    1.7720778933679688e-04
    26.00     1.364    3.2337978701931119e-01    9.5469578660018641e-05
    27.00     1.416    3.2337968446576015e-01    3.4540590199220725e-05
    28.00     1.468    3.2337961996548015e-01    2.0858728856153680e-05
    29.00     1.520    3.2337966307623672e-01    9.7972890014502096e-05
    30.00     1.574    3.2337960363201940e-01    1.1652941394976976e-05
    31.00     1.626    3.2337964055308216e-01    8.9090976393099743e-05
    32.00     1.679    3.2337964771304539e-01    9.3733731742480755e-05
    33.00     1.733    3.2337959595408611e-01    1.6550918959771793e-05
    34.00     1.787    3.2337958954111456e-01    1.7736741895470524e-05
    35.00     1.841    3.2337958696081576e-01    1.4258245764756944e-05
    36.00     1.895    3.2337958744110379e-01    1.6707559190811211e-05
    37.00     1.948    3.2337958448283793e-01    1.2094600470075003e-05
    38.00     2.001    3.2337958350310542e-01    6.9804807323192894e-06
    39.00     2.054    3.2337958355037588e-01    1.0540668138850689e-05
    40.00     2.106    3.2337958349437512e-01    9.0449121048279487e-06
    41.00     2.161    3.2337958265737798e-01    1.3472588400331855e-06
    42.00     2.214    3.2337958290990815e-01    6.7977626712795625e-06
    43.00     2.268    3.2337958269707057e-01    3.3678268170271401e-06
    44.00     2.323    3.2337958259133154e-01    1.4823622793407805e-06
    45.00     2.378    3.2337958261055261e-01    3.4333798052168645e-06
    46.00     2.430    3.2337958252335713e-01    1.1195806086910527e-06
    47.00     2.484    3.2337958253560245e-01    2.1609002710280374e-06
    48.00     2.537    3.2337958256477084e-01    3.6960096745313040e-06
    49.00     2.591    3.2337958248337401e-01    5.0706889548806982e-07
    50.00     2.644    3.2337958247721099e-01    7.8350186187756782e-07
    51.00     2.698    3.2337958247472520e-01    4.7571347005899447e-07
    52.00     2.753    3.2337958248147602e-01    9.9897950309463387e-07
    53.00     2.805    3.2337958247036491e-01    3.0680181462805310e-07
    54.00     2.863    3.2337958246910797e-01    4.1757046348387788e-07
    55.00     2.916    3.2337958246735699e-01    1.9203010828869294e-07
    56.00     2.969    3.2337958246734583e-01    2.1955324768470745e-07
    57.00     3.021    3.2337958246789766e-01    4.6435666052655948e-07
    58.00     3.074    3.2337958246585669e-01    1.1542424785670539e-07
    59.00     3.127    3.2337958246997395e-01    9.0691892286111442e-07
    60.00     3.178    3.2337958246665660e-01    5.3003816826506072e-07
    61.00     3.229    3.2337958246519755e-01    1.4248968667616689e-07
    62.00     3.281    3.2337958246516746e-01    1.7916362988690534e-07
    63.00     3.334    3.2337958246494081e-01    2.3465417631761306e-08
    64.00     3.387    3.2337958246516579e-01    2.0673132849762238e-07
    65.00     3.439    3.2337958246508663e-01    1.8244628012832496e-07
    66.00     3.493    3.2337958246492465e-01    6.1667993488471309e-08
    67.00     3.544    3.2337958246488357e-01    2.3786501290241176e-08
    68.00     3.595    3.2337958246486120e-01    2.3917556877025749e-08
