    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     1.00     0.049    3.2873970973109312e-01    7.5432582067395853e-03
     2.00     0.097    3.2687823623873730e-01    8.0647833153649571e-03
     3.00     0.145    3.2628515746485154e-01    3.9011235482655292e-03
     4.00     0.194    3.2589315494831039e-01    7.7023444533164641e-03
     5.00     0.244    3.2543828663781710e-01    7.0184508147025414e-03
     6.00     0.292    3.2512129660440298e-01    3.9277976815593986e-03
     7.00     0.341    3.2577117048694437e-01    1.1838878469913041e-02
     8.00     0.390    3.2568907605870628e-01    1.2159232798456600e-02
     9.00     0.439    3.2473207963796824e-01    1.0600488090225532e-03
    10.00     0.487    3.2491460821114337e-01    6.5453331033393852e-03
    11.00     0.535    3.2495882105914753e-01    7.4502699986170855e-03
    12.00     0.585    3.2504941202632259e-01    9.0999397698204969e-03
    13.00     0.633    3.2477370342162221e-01    6.0562282509164797e-03
    14.00     0.681    3.2457499923383204e-01    1.4992379612338653e-03
    15.00     0.729    3.2452863321962666e-01    1.1189395024880755e-03
    16.00     0.777    3.2452659520530880e-01    2.0777187761999373e-03
    17.00     0.827    3.2491179816456395e-01    8.9150916747066412e-03
    18.00     0.875    3.2499724231842642e-01    9.4176252546528932e-03
    19.00     0.924    3.2463429081818390e-01    3.5413103467999852e-03
    20.00     0.974    3.2457608930254761e-01    4.7715705340567217e-03
    21.00     1.023    3.2460640813332670e-01    5.5687319970584934e-03
    22.00     1.072    3.2443324250253291e-01    1.3698442734659667e-03
    23.00     1.121    3.2439445403845552e-01    1.5042481946372823e-03
    24.00     1.170    3.2444842732220897e-01    3.3953417742409947e-03
    25.00     1.219    3.2439821916847472e-01    2.1249167156902984e-03
    26.00     1.268    3.2443129677680649e-01    3.6977829263054084e-03
    27.00     1.316    3.2441197287595858e-01    3.1766089941431849e-03
    28.00     1.365    3.2445974801534072e-01    4.5154192205356007e-03
    29.00     1.414    3.2439316169571586e-01    2.9035310983046665e-03
    30.00     1.462    3.2434544552270345e-01    1.6254651466547016e-03
    31.00     1.510    3.2438890265096582e-01    3.0551711270931734e-03
    32.00     1.559    3.2436431817784467e-01    1.1979670387846108e-03
    33.00     1.608    3.2433547972999549e-01    1.7531407227158089e-03
    34.00     1.657    3.2436702387530308e-01    2.6683437581805193e-03
    35.00     1.706    3.2432142299280381e-01    1.2568272173400531e-03
    36.00     1.755    3.2433282812791964e-01    2.1313348419451737e-03
    37.00     1.805    3.2437769005173828e-01    4.1808448805716681e-03
    38.00     1.853    3.2438627633329481e-01    4.2707888162108049e-03
    39.00     1.901    3.2428961733735279e-01    8.5980646429759772e-04
    40.00     1.950    3.2444374334251258e-01    5.6851236404823939e-03
    41.00     1.999    3.2434044697215314e-01    3.2988091062554825e-03
    42.00     2.052    3.2435673263880449e-01    4.1056421046300568e-03
    43.00     2.102    3.2428679934255611e-01    2.2071649215134282e-03
    44.00     2.154    3.2425828174706467e-01    1.0806933117055732e-03
    45.00     2.212    3.2428555353088967e-01    2.7081344593193456e-03
    46.00     2.265    3.2449444217827972e-01    6.7493108733799505e-03
    47.00     2.330    3.2424325986144831e-01    5.6727140122207374e-04
    48.00     2.382    3.2428864818126307e-01    3.2808195442879050e-03
    49.00     2.433    3.2424117402800823e-01    5.2706205128578542e-04
    50.00     2.483    3.2424529511382438e-01    1.6424443673939107e-03
    51.00     2.532    3.2423966530426129e-01    1.7317433525239794e-03
    52.00     2.582    3.2423003028651798e-01    6.5000256478059426e-04
    53.00     2.633    3.2424036371290638e-01    1.5270463060151139e-03
    54.00     2.684    3.2422257259369197e-01    6.7741654452897326e-04
    55.00     2.733    3.2422443739893381e-01    1.3202414638734234e-03
    56.00     2.782    3.2428611308865574e-01    3.4892678948221555e-03
    57.00     2.831    3.2431251472267941e-01    4.2191605577896023e-03
    58.00     2.881    3.2426275245733760e-01    3.3520272456097218e-03
    59.00     2.931    3.2420500004867586e-01    6.0980851750360441e-04
    60.00     2.980    3.2426693790377337e-01    3.3407396771580403e-03
    61.00     3.029    3.2420363612464459e-01    1.3271977307077124e-03
    62.00     3.080    3.2420881523659500e-01    1.0941781254029796e-03
    63.00     3.130    3.2421407671802233e-01    9.5556201990728467e-04
    64.00     3.179    3.2422105508419430e-01    1.6319193977006993e-03
    65.00     3.228    3.2420622913804337e-01    9.8076696083153358e-04
    66.00     3.278    3.2425484484498757e-01    3.2131494602093504e-03
    67.00     3.328    3.2418984635058640e-01    9.5810117130982727e-04
    68.00     3.379    3.2417949625675851e-01    8.5801629637895704e-04
    69.00     3.429    3.2417729605018164e-01    1.2412925428162886e-03
    70.00     3.478    3.2417082638596245e-01    6.3855750619048351e-04
    71.00     3.526    3.2433835346475465e-01    5.6286427922996232e-03
    72.00     3.577    3.2421452443675042e-01    3.0823271599454897e-03
    73.00     3.627    3.2419689202422336e-01    2.3360262581132094e-03
