    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055959967e-01    2.6904886213568374e-01
     0.10     0.032    3.3243142630310091e-01    9.4994994165291929e-03
     0.20     0.063    3.2915074330143629e-01    6.6171663458362041e-03
     0.30     0.093    3.2721812268272416e-01    3.6097978612094185e-03
     0.40     0.123    3.2567133420751621e-01    3.3044890967682391e-03
     0.50     0.155    3.2489736097629884e-01    2.4176760965732209e-03
     0.60     0.187    3.2448691676657465e-01    1.5231663216606201e-03
     0.70     0.218    3.2421571120472387e-01    1.5909144655695073e-03
     0.80     0.249    3.2394211082364605e-01    1.9106395136844398e-03
     0.90     0.279    3.2371868547507843e-01    2.2713213120252834e-03
     1.00     0.309    3.2351677676800367e-01    1.6801999869284830e-03
     1.10     0.340    3.2340505240908540e-01    6.8574692782367888e-04
     1.20     0.371    3.2339083063447538e-01    4.5538090792227308e-04
     1.30     0.402    3.2338413423285078e-01    2.8983376689482599e-04
     1.40     0.432    3.2338198364789567e-01    1.9704331653427331e-04
     1.50     0.463    3.2338084943688616e-01    1.3731269556216784e-04
     1.60     0.493    3.2338024906545421e-01    9.6994504108206093e-05
     1.70     0.524    3.2337985005274833e-01    6.1772986236358209e-05
     1.80     0.555    3.2337968029509012e-01    3.5928800830384861e-05
     1.90     0.587    3.2337960898571338e-01    1.7207624021121939e-05
     2.00     0.618    3.2337958484141405e-01    4.8485595928046419e-06
     2.10     0.649    3.2337958284959473e-01    1.8918907931026447e-06
     2.20     0.680    3.2337958256772159e-01    9.0434221271873730e-07
     2.30     0.710    3.2337958248069193e-01    4.0234196503355439e-07
     2.40     0.742    3.2337958246914777e-01    2.0159758076278029e-07
     2.50     0.773    3.2337958246623272e-01    9.7682455307193780e-08
     2.60     0.804    3.2337958246517506e-01    4.5092966676837666e-08
     2.70     0.835    3.2337958246489362e-01    1.5464754260401586e-08
     2.80     0.867    3.2337958246485227e-01    4.7587246968041643e-09
     2.90     0.898    3.2337958246485110e-01    9.6880433758878351e-10
