    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     4.00     1.654    6.1342957860588609e-01    8.7591611849989169e-03
     8.00     3.317    5.7608834125362862e-01    7.4489120818426241e-03
    12.00     5.023    5.6092503226934787e-01    6.0907801916317006e-03
    16.00     6.686    5.4468214228508627e-01    5.6504716423703676e-03
    20.00     8.345    5.3260909023766467e-01    3.8531501176838462e-03
    24.00    10.067    5.2374822700851387e-01    4.0558051174939061e-03
    28.00    11.751    5.1506439831315487e-01    4.2547766399352524e-03
    32.00    13.438    5.0631112466005124e-01    2.9013443167889810e-03
    36.00    15.157    5.0106063616036878e-01    2.4288439608188988e-03
    40.00    16.856    4.9764849505092279e-01    2.9424159461266426e-03
    44.00    18.599    4.9152695073082403e-01    2.4451442431148601e-03
    48.00    20.239    4.8822483176804066e-01    2.5488052788780902e-03
    52.00    21.941    4.8588679042730687e-01    1.7349264834705680e-03
    56.00    23.630    4.8381572419090746e-01    2.5944740015476902e-03
    60.00    25.331    4.7956278706243599e-01    1.9250344254894151e-03
    64.00    26.976    4.7807684136688844e-01    1.3887560489715643e-03
    68.00    28.616    4.7640383041243556e-01    1.6225955733338629e-03
    72.00    30.259    4.7380777791031731e-01    1.6399804149117212e-03
    76.00    31.944    4.7271336203916070e-01    9.1964246612107113e-04
    80.00    33.601    4.7095652519431003e-01    1.2782683981780905e-03
    84.00    35.258    4.6950964952779395e-01    9.4321475864416057e-04
    88.00    37.030    4.6873077992221290e-01    8.8059060236071708e-04
    92.00    38.834    4.6763948000511546e-01    9.7700873693921573e-04
    96.00    40.724    4.6646986844172100e-01    1.0690497857721686e-03
   100.00    42.591    4.6575888718292091e-01    7.6928945283236691e-04
   104.00    44.451    4.6457509811585840e-01    1.0517563380505071e-03
   108.00    46.280    4.6420044070750099e-01    7.6675445432672384e-04
   112.00    48.099    4.6343876939946749e-01    5.8101448863398530e-04
   116.00    50.000    4.6298428067402481e-01    7.2044707650277854e-04
   120.00    51.886    4.6250443159315202e-01    8.3007089763946669e-04
   124.00    53.675    4.6192223196354620e-01    6.1040306670463750e-04
   128.00    55.355    4.6169705868561645e-01    4.8988009334282006e-04
   132.00    57.018    4.6130742049276313e-01    5.5693561809193565e-04
   136.00    58.758    4.6108413809450571e-01    6.0864120049139859e-04
   140.00    60.517    4.6073355323427195e-01    4.4510518014548040e-04
   144.00    62.340    4.6045271707168711e-01    5.7462061975517868e-04
   148.00    64.042    4.6027947388743828e-01    4.7751285102662594e-04
   152.00    65.796    4.5999967299489297e-01    3.7412740108315760e-04
   156.00    67.584    4.5992057167848577e-01    4.2543836847411395e-04
   160.00    69.377    4.5967682846099778e-01    3.6269446679765575e-04
   164.00    71.051    4.5956108050620731e-01    3.6920989225940374e-04
   168.00    72.718    4.5943795177071367e-01    2.7919074245898417e-04
   172.00    74.390    4.5929302927911408e-01    3.4548227680471086e-04
   176.00    76.082    4.5923597907821956e-01    3.0027557088352624e-04
   180.00    77.764    4.5911002517641553e-01    1.9431220418279782e-04
   184.00    79.479    4.5907563521963501e-01    2.1866265004772772e-04
   188.00    81.150    4.5899836698086771e-01    3.3380463058499122e-04
   192.00    82.845    4.5893825557585061e-01    2.3349448363614179e-04
   196.00    84.548    4.5888959082417846e-01    1.7624852661880002e-04
   200.00    86.181    4.5882274720101851e-01    2.0702254863634147e-04
   204.00    87.809    4.5879415183281175e-01    1.6847970631671269e-04
   208.00    89.436    4.5874885511592411e-01    1.5769261027553103e-04
   212.00    91.186    4.5872722453615605e-01    1.7420327508004842e-04
   216.00    92.889    4.5868232969472916e-01    1.8173618513195005e-04
   220.00    94.837    4.5865624543683592e-01    1.5439566181184471e-04
   224.00    96.532    4.5863324625417184e-01    1.0070877046040885e-04
   228.00    98.176    4.5860611302392257e-01    1.3439984467967977e-04
   232.00    99.833    4.5859552351735483e-01    1.2428609081849781e-04
   236.00   101.566    4.5856387170869406e-01    1.0296383651662295e-04
   240.00   103.268    4.5855709393288524e-01    1.1898465685025134e-04
   244.00   104.943    4.5853084782864073e-01    8.7610171802434092e-05
   248.00   106.618    4.5852540268646674e-01    7.8143818301305149e-05
   252.00   108.409    4.5850212354066600e-01    7.6307268030179363e-05
   256.00   110.273    4.5849707540276274e-01    6.4242766718761992e-05
   260.00   112.116    4.5848118577949482e-01    7.3751179217335612e-05
   264.00   113.917    4.5847582487225474e-01    6.5847502789769354e-05
   268.00   115.758    4.5846520066841584e-01    6.7154736190233803e-05
   272.00   117.583    4.5845956008790428e-01    5.1681602552672290e-05
   276.00   119.421    4.5845127105362926e-01    6.6322641268481167e-05
   280.00   121.194    4.5844631091388355e-01    4.8328157048516304e-05
   284.00   123.274    4.5843923647757090e-01    5.2373603475736866e-05
   288.00   125.199    4.5843495634613740e-01    4.8502631414040523e-05
   292.00   127.112    4.5842907495810087e-01    5.6226123912470671e-05
   296.00   129.083    4.5842518210422090e-01    4.5399935815344572e-05
   300.00   131.004    4.5841916948329836e-01    4.5991221098564147e-05
   304.00   132.938    4.5841541353843462e-01    4.3433013257379267e-05
   308.00   134.864    4.5841023259955593e-01    4.1128056483400622e-05
   312.00   136.742    4.5840741921271622e-01    3.1017312229888372e-05
   316.00   138.588    4.5840223483201847e-01    3.1323230691165997e-05
   320.00   140.441    4.5840054025082877e-01    2.6965210530050096e-05
   324.00   142.300    4.5839599898236499e-01    3.5227931227122046e-05
   328.00   144.151    4.5839484263033181e-01    2.9486282242691172e-05
   332.00   146.032    4.5839119452435695e-01    2.7567724421375306e-05
   336.00   147.884    4.5839052639411704e-01    2.1807681012448707e-05
   340.00   149.747    4.5838707668040429e-01    2.5951707385943441e-05
   344.00   151.594    4.5838662771718269e-01    2.0334366802820182e-05
   348.00   153.446    4.5838386641755585e-01    2.4153299878687712e-05
   352.00   155.284    4.5838356156753601e-01    1.7255789555546496e-05
   356.00   157.146    4.5838158622360764e-01    2.1767554452191550e-05
   360.00   159.013    4.5838132644145163e-01    2.1155013471525622e-05
   364.00   160.636    4.5837992842607295e-01    1.4975877037528327e-05
   368.00   162.302    4.5837976051456625e-01    1.2150064038295261e-05
   372.00   163.956    4.5837875566777186e-01    1.3522739411208275e-05
   376.00   165.574    4.5837860657335544e-01    1.2370988061172043e-05
   380.00   167.203    4.5837795066403325e-01    1.2497820660018002e-05
   384.00   168.934    4.5837784894629557e-01    9.3767546578949647e-06
   388.00   170.560    4.5837742900793454e-01    1.0226678497360120e-05
   392.00   172.183    4.5837734722128259e-01    8.9208430255628635e-06
