    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     8.00     3.284    5.7240811733470531e-01    3.5603648927254265e-03
    12.00     4.879    5.2610445625861335e-01    3.3985110074704053e-03
    16.00     6.462    4.9917300902659356e-01    2.7914966239689777e-03
    20.00     8.064    4.9573195732900649e-01    3.5046242368567261e-03
    24.00     9.647    4.8664086968445763e-01    3.1415897096296426e-03
    28.00    11.325    4.7760483423656663e-01    1.6690494188647315e-03
    36.00    14.681    4.7266725497928891e-01    1.5398762827048735e-03
    40.00    16.277    4.6874893769229448e-01    1.3598571442606600e-03
    44.00    17.871    4.6619076841223239e-01    9.4554947541195661e-04
    48.00    19.515    4.6508603256852943e-01    2.4586349027176640e-03
    52.00    21.107    4.6371468579456948e-01    6.3080138881622049e-04
    56.00    22.719    4.6304819280643383e-01    6.8717162621826223e-04
    60.00    24.318    4.6150055436654802e-01    8.3076997339407419e-04
    64.00    26.012    4.6125209946620532e-01    4.9308002792073963e-04
    72.00    29.330    4.6065569732628658e-01    5.9352916577871181e-04
    76.00    30.977    4.6001152380164212e-01    3.4151486499316462e-04
    80.00    32.606    4.5991279180589389e-01    6.7202937764447069e-04
    84.00    34.269    4.5968813164208872e-01    4.8256598588123029e-04
    88.00    35.978    4.5935657710289945e-01    2.5145301618764910e-04
    92.00    37.603    4.5913468489782217e-01    4.2740095059607585e-04
    96.00    39.270    4.5902411762766693e-01    2.6798932122392956e-04
   100.00    40.954    4.5895037050793608e-01    3.0715000538905445e-04
   104.00    42.684    4.5877755400709586e-01    1.7170411030301041e-04
   108.00    44.397    4.5875071525200906e-01    1.9814588184386179e-04
   112.00    46.037    4.5871981336647355e-01    3.1047185434283572e-04
   116.00    47.757    4.5864636702729367e-01    1.6933623595149456e-04
   124.00    51.055    4.5857897365642875e-01    1.5738677513258014e-04
   128.00    52.718    4.5855610702588678e-01    1.7891150231279067e-04
   132.00    54.360    4.5851522255226662e-01    9.6371714693804032e-05
   136.00    56.049    4.5848384750158389e-01    1.0927823764925229e-04
   144.00    59.431    4.5846572335456282e-01    6.2810175920373799e-05
   152.00    62.759    4.5844936641703915e-01    5.6684374642069803e-05
   156.00    64.423    4.5844224681819551e-01    9.7799203696712319e-05
   160.00    66.131    4.5843664950274932e-01    3.6472856677087727e-05
   168.00    69.559    4.5842363133549535e-01    6.6896291650236504e-05
   172.00    71.239    4.5841235798577856e-01    4.5475306988706714e-05
   176.00    72.957    4.5840884203987320e-01    4.7115162206724498e-05
   180.00    74.619    4.5840570301678829e-01    7.4946125181644941e-05
   184.00    76.341    4.5840065734674551e-01    6.2467389979595705e-05
   188.00    77.989    4.5839606068715721e-01    9.7809187607067547e-05
   192.00    79.631    4.5839234595534600e-01    3.5863919404086994e-05
   196.00    81.281    4.5839098897450220e-01    5.7731580312087148e-05
   200.00    82.908    4.5838817961703848e-01    2.8777956472651585e-05
   204.00    84.562    4.5838793502402636e-01    5.2084388566545718e-05
   208.00    86.162    4.5838577168295280e-01    3.4407156056533633e-05
   212.00    87.762    4.5838470705780660e-01    3.0426060868879144e-05
   216.00    89.451    4.5838258060459708e-01    2.7695248030553485e-05
   220.00    91.150    4.5838206101161999e-01    2.3131610685695208e-05
   228.00    94.477    4.5838018572612266e-01    1.5934251524366334e-05
   232.00    96.132    4.5837950657597498e-01    1.8445531724338588e-05
   236.00    97.812    4.5837909301937718e-01    1.8262007670339589e-05
   244.00   101.130    4.5837794256875503e-01    1.3096312657053013e-05
   248.00   102.774    4.5837768283950836e-01    1.2866628438513590e-05
   252.00   104.413    4.5837743772762918e-01    1.0355555948532200e-05
   256.00   106.037    4.5837710033358331e-01    1.1071658856687272e-05
   260.00   107.680    4.5837696106004183e-01    1.2845066538883127e-05
   268.00   111.001    4.5837663036395465e-01    7.2127857620024247e-06
   272.00   112.640    4.5837645573792407e-01    9.9491630472202318e-06
   276.00   114.275    4.5837630033746768e-01    6.7487071711626627e-06
   280.00   115.898    4.5837625006668453e-01    1.0134667616634479e-05
   284.00   117.519    4.5837607926529150e-01    4.5681469939832181e-06
   288.00   119.159    4.5837598916599592e-01    5.0562695474548778e-06
   292.00   120.854    4.5837595540122850e-01    4.1505807378252223e-06
   296.00   122.462    4.5837589401925333e-01    1.0620053110966342e-05
   300.00   124.057    4.5837585143706056e-01    4.2863310803866943e-06
   304.00   125.904    4.5837582916976127e-01    7.3398097764995448e-06
   308.00   127.758    4.5837580417396451e-01    4.1133597138113654e-06
   312.00   129.604    4.5837577835479870e-01    2.8395271827251379e-06
   320.00   133.352    4.5837574958770561e-01    2.4406525048550584e-06
   328.00   137.082    4.5837572585069453e-01    2.9633570700726362e-06
   332.00   139.023    4.5837571076077038e-01    2.2835709624360042e-06
   336.00   140.932    4.5837569663732575e-01    1.6717850253883703e-06
   340.00   142.822    4.5837567687596631e-01    2.2943432497782969e-06
   344.00   144.718    4.5837566679570302e-01    2.2259772486653338e-06
   348.00   146.565    4.5837565919993900e-01    2.2422720031309931e-06
   352.00   148.418    4.5837563797375874e-01    1.5295941863240788e-06
   356.00   150.272    4.5837563265332676e-01    3.3732769111879178e-06
   360.00   152.128    4.5837562808061272e-01    1.8041536159310055e-06
   364.00   153.982    4.5837561892085688e-01    2.9426856524648151e-06
   368.00   155.869    4.5837561153469286e-01    4.6306094502399690e-06
   372.00   157.726    4.5837560648915154e-01    1.8539767478045492e-06
   376.00   159.578    4.5837560040384590e-01    1.2205124715530818e-06
   380.00   161.424    4.5837559523139648e-01    3.0271948851037844e-06
   384.00   163.278    4.5837559060352606e-01    1.6751353091626961e-06
   388.00   165.126    4.5837558571539799e-01    1.6453587837003739e-06
   392.00   166.970    4.5837558203184225e-01    2.2694806866743819e-06
   396.00   168.850    4.5837558003998274e-01    1.8322918819638364e-06
   400.00   170.693    4.5837557763019882e-01    1.8045853387436803e-06
   404.00   172.532    4.5837557674525931e-01    3.0700684256679221e-06
   408.00   174.372    4.5837557529750872e-01    1.0207916921039695e-06
   412.00   176.218    4.5837557359035769e-01    5.6492993255376349e-07
   416.00   178.065    4.5837557241078503e-01    5.2498565600569906e-07
   420.00   179.953    4.5837557196200251e-01    5.4136901813518907e-07
   424.00   181.801    4.5837557090465669e-01    5.1797046916688442e-07
   428.00   183.654    4.5837556985020661e-01    8.2672901880160708e-07
   432.00   185.490    4.5837556941906105e-01    5.0508954479100174e-07
   436.00   187.325    4.5837556881472397e-01    4.2677522085944218e-07
   440.00   189.165    4.5837556802380697e-01    9.6496396188118966e-07
   444.00   191.048    4.5837556771916305e-01    4.3782826110600500e-07
   448.00   192.894    4.5837556725259770e-01    3.8616263487446282e-07
   452.00   194.736    4.5837556695631404e-01    2.7144409558912923e-07
   456.00   196.590    4.5837556681968544e-01    1.9291293795536307e-07
   460.00   198.449    4.5837556668409485e-01    4.4486035115110944e-07
   464.00   200.294    4.5837556647705802e-01    2.2953128169039512e-07
   468.00   202.137    4.5837556634253751e-01    2.3782511693473212e-07
   472.00   204.010    4.5837556612654667e-01    3.5287879037842973e-07
   476.00   205.850    4.5837556599108731e-01    1.8143822437714929e-07
   480.00   207.688    4.5837556592435208e-01    1.5911266642985724e-07
   484.00   209.528    4.5837556585069966e-01    4.0967551593874320e-07
   488.00   211.366    4.5837556580073907e-01    5.2444653941444386e-07
   492.00   213.208    4.5837556574949923e-01    1.6900359598099990e-07
   496.00   215.052    4.5837556570021698e-01    1.0542905109948223e-07
   500.00   216.887    4.5837556566193105e-01    1.6250089529536833e-07
   504.00   218.729    4.5837556564716175e-01    1.0973895222876209e-07
   508.00   220.562    4.5837556572526161e-01    6.1167678095583396e-07
   512.00   222.393    4.5837556562527815e-01    5.4764265831934879e-07
   516.00   224.251    4.5837556558769377e-01    1.4033954754960553e-07
   520.00   226.102    4.5837556558225073e-01    5.6956529801076126e-08
   524.00   227.934    4.5837556557361769e-01    7.5988414075273593e-08
   528.00   229.841    4.5837556556850512e-01    5.7250647396727870e-08
   532.00   231.717    4.5837556556477849e-01    4.1160349365666004e-08
   536.00   233.623    4.5837556556117709e-01    3.6734420375114289e-08
   540.00   235.502    4.5837556555765868e-01    4.4994362670748532e-08
   544.00   237.409    4.5837556555568187e-01    5.9125765749774259e-08
   548.00   239.274    4.5837556555313302e-01    3.7431261015126374e-08
   552.00   241.119    4.5837556555231496e-01    4.2297490474238397e-08
   556.00   242.951    4.5837556555153625e-01    2.1841146937542140e-08
   560.00   244.787    4.5837556555090264e-01    2.4948723410447915e-08
   564.00   246.640    4.5837556554990133e-01    1.7438110991203251e-08
   568.00   248.481    4.5837556554947551e-01    1.4013775785632257e-08
   572.00   250.323    4.5837556554919895e-01    1.0882735884778347e-08
   576.00   252.161    4.5837556554892644e-01    1.5691139498377940e-08
   580.00   254.041    4.5837556554862680e-01    1.0186268072618757e-08
   584.00   255.880    4.5837556554827735e-01    1.1342068152492114e-08
   588.00   257.739    4.5837556554808767e-01    3.3372411867326531e-08
   592.00   259.584    4.5837556554777287e-01    1.4368861528429591e-08
   596.00   261.434    4.5837556554751396e-01    9.0335010095258547e-09
   600.00   263.284    4.5837556554732833e-01    5.3989517317267642e-09
   604.00   265.128    4.5837556554723530e-01    8.3504814986610444e-09
   608.00   266.969    4.5837556554716835e-01    7.1843335161011290e-09
   612.00   268.810    4.5837556554697922e-01    6.5588704792263113e-09
   616.00   270.672    4.5837556554688669e-01    8.0307032518252863e-09
   620.00   272.522    4.5837556554685255e-01    5.5954238771126396e-09
   624.00   274.377    4.5837556554673881e-01    4.6869500473572132e-09
   628.00   276.293    4.5837556554669440e-01    4.6358416236041001e-09
   632.00   278.173    4.5837556554667608e-01    5.8746530023493285e-09
   636.00   280.184    4.5837556554661940e-01    3.3766215622247819e-09
   640.00   282.156    4.5837556554659670e-01    3.5262185867188359e-09
   644.00   284.024    4.5837556554656489e-01    3.1434567925281805e-09
   648.00   285.916    4.5837556554653414e-01    3.5251923214052309e-09
   652.00   287.823    4.5837556554649678e-01    3.2121215151487673e-09
   656.00   289.678    4.5837556554649583e-01    2.5115957479133664e-09
   660.00   291.530    4.5837556554646958e-01    1.9461595347668173e-09
   664.00   293.393    4.5837556554646436e-01    1.9320969574800063e-09
   668.00   295.244    4.5837556554646025e-01    2.2590242445959853e-09
   672.00   297.084    4.5837556554646086e-01    1.3067464807403303e-09
   676.00   298.920    4.5837556554644743e-01    1.9948387329552451e-09
   680.00   300.769    4.5837556554644904e-01    7.2873380293576718e-09
   684.00   302.630    4.5837556554643516e-01    1.5164003072701950e-09
   688.00   304.483    4.5837556554642395e-01    8.1475729186819394e-10
