    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     0.10     6.752    4.6391836335694075e-01    9.7729561497749686e-04
     0.20    13.608    4.6074209521604087e-01    6.6250385626685283e-04
     0.30    20.414    4.5980482239852138e-01    4.9614583626702397e-04
     0.40    27.222    4.5929835012982367e-01    3.8760782819728006e-04
     0.50    34.071    4.5898893457284889e-01    3.2128411330424773e-04
     0.60    40.936    4.5879388289694889e-01    2.9151867422686281e-04
     0.70    47.762    4.5863335263410232e-01    2.7720416886432793e-04
     0.80    54.580    4.5852351792537660e-01    1.9239534474578115e-04
     0.90    61.376    4.5845211647891260e-01    1.2553015676118552e-04
     1.00    68.166    4.5839142862495702e-01    2.9764531092590409e-05
     1.10    74.913    4.5837654836003167e-01    7.8242056230916737e-06
     1.20    81.717    4.5837589928960137e-01    4.8047409730676206e-06
     1.30    88.555    4.5837569901621183e-01    3.3400747562712004e-06
     1.40    95.399    4.5837561870794352e-01    2.0512057954279569e-06
     1.50   102.292    4.5837558714235127e-01    1.2425522301242842e-06
     1.60   109.165    4.5837557334777296e-01    7.3302621311493445e-07
     1.70   115.997    4.5837556780960509e-01    4.2404481719406809e-07
     1.80   122.834    4.5837556605170510e-01    2.0957102834550687e-07
     1.90   129.638    4.5837556560942666e-01    6.2563610106190580e-08
     2.00   136.431    4.5837556554738212e-01    8.5627898521424858e-09
     2.10   143.214    4.5837556554646630e-01    1.8182314256042917e-09
     2.20   149.996    4.5837556554642356e-01    7.1840955466514735e-10
