    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     1.00     5.653    5.1180141921597888e-01    6.8287887974647918e-03
     2.00    10.269    4.8303784283415785e-01    3.9519025377627304e-03
     3.00    14.925    4.7054826225356017e-01    5.0566152012409705e-03
     4.00    19.514    4.6291623944076443e-01    2.0569517043718928e-03
     5.00    24.137    4.5994975967438967e-01    1.0390275999024759e-03
     6.00    28.847    4.5919489745643205e-01    1.1518712171044961e-03
     7.00    33.414    4.5869706923627246e-01    5.3047084116114758e-04
     8.00    37.936    4.5848895809351720e-01    3.5230657475425031e-04
     9.00    43.006    4.5844052014187370e-01    3.7042447099928108e-04
    10.00    47.779    4.5841663215473921e-01    4.4111494495933348e-04
    11.00    52.613    4.5840062046736019e-01    4.3355745399059636e-04
    12.00    57.846    4.5838673214670256e-01    2.6153213298623702e-04
    13.00    62.436    4.5837980964546049e-01    1.5877545036633859e-04
    14.00    67.094    4.5837703042026040e-01    8.2883949642045040e-05
    15.00    71.998    4.5837603587062875e-01    2.8760497131613130e-05
    16.00    76.812    4.5837581801513666e-01    2.8698162336927519e-05
    17.00    81.780    4.5837565086596616e-01    1.6484597352809727e-05
    18.00    87.072    4.5837561448355685e-01    1.3894438596904780e-05
    19.00    92.369    4.5837558225861103e-01    6.7763727705357197e-06
    20.00    97.641    4.5837557229122255e-01    3.4896158224920385e-06
    21.00   102.516    4.5837557069642870e-01    5.0920638476205615e-06
    22.00   107.363    4.5837556989232320e-01    6.2581187684325261e-06
    23.00   112.683    4.5837556680208713e-01    3.0199198783264228e-06
    24.00   117.773    4.5837556624738873e-01    2.4068506535398474e-06
    25.00   122.823    4.5837556607550844e-01    2.2644588355694712e-06
    26.00   127.763    4.5837556587351208e-01    1.8164431120988888e-06
    27.00   132.639    4.5837556560841503e-01    6.3647821087748453e-07
    28.00   137.354    4.5837556556328984e-01    1.8965354913973843e-07
    29.00   142.231    4.5837556555699571e-01    1.9957271142223827e-07
    30.00   147.326    4.5837556555350495e-01    2.0580928820275981e-07
    31.00   152.856    4.5837556554831588e-01    7.9068351647421460e-08
    32.00   159.022    4.5837556554746756e-01    6.0230355107541389e-08
    33.00   164.060    4.5837556554712727e-01    7.4733837649937225e-08
    34.00   169.275    4.5837556554660736e-01    3.0197917730724425e-08
    35.00   175.701    4.5837556554653625e-01    2.5690346018214118e-08
    36.00   180.840    4.5837556554648073e-01    1.4460669508574652e-08
    37.00   185.738    4.5837556554643866e-01    8.0145438960936176e-09
    38.00   190.726    4.5837556554642694e-01    5.5581529377391890e-09
    39.00   195.295    4.5837556554642928e-01    3.0221194105662866e-09
    40.00   199.878    4.5837556554643327e-01    3.5142672752808672e-09
    41.00   204.581    4.5837556554642350e-01    2.7564866741371291e-09
    42.00   209.525    4.5837556554642972e-01    2.3168675589069089e-09
    43.00   214.492    4.5837556554643127e-01    2.4357000740472825e-09
    44.00   219.599    4.5837556554643116e-01    1.5107992341069942e-09
    45.00   224.983    4.5837556554642994e-01    7.7705113858383539e-10
