    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    7.7563972462139424e-03
     1.00     6.828    4.7409286641154408e-01    4.6819217846456292e-03
     2.00    13.390    4.6589935946134875e-01    1.6191951172805814e-03
     3.00    19.749    4.6329680668646855e-01    1.4150864527199907e-03
     4.00    25.789    4.6227988010985177e-01    1.4488855953321016e-03
     5.00    31.995    4.6157313889024038e-01    1.7391075998061589e-03
     6.00    38.079    4.6105469064616356e-01    1.3075675001224586e-03
     7.00    44.044    4.6112083788896502e-01    2.8661840402376356e-03
     8.00    50.040    4.6075046752817311e-01    2.7701396659369402e-03
     9.00    56.024    4.6198094568463222e-01    5.0360999277093933e-03
    10.00    62.065    4.6001179540347958e-01    1.2675613215105308e-03
    11.00    68.132    4.5982819099198896e-01    1.2434167751383257e-03
    12.00    74.522    4.5964724456854544e-01    7.4221444363293144e-04
    13.00    80.916    4.5962528492178395e-01    1.1665484417776003e-03
    14.00    87.244    4.5965637816693156e-01    1.4877351967756520e-03
    15.00    93.631    4.5940521394288147e-01    6.6005147610161076e-04
    16.00    99.860    4.5945749935172986e-01    1.2757735320337378e-03
    17.00   106.043    4.5930333910547982e-01    8.6798198090469339e-04
    18.00   112.177    4.5937121752948712e-01    1.5515138359154142e-03
    19.00   118.375    4.5925128664327625e-01    1.0056567793741325e-03
    20.00   124.828    4.5927370223326353e-01    1.5086081538101476e-03
    21.00   131.027    4.5916490243606273e-01    1.1812636297551819e-03
    22.00   137.048    4.5908285079014077e-01    8.0983982251068925e-04
    23.00   143.088    4.5907854833018086e-01    7.2354351978176613e-04
    24.00   149.209    4.5906798363611234e-01    1.0942534469496465e-03
    25.00   155.309    4.5932136433697418e-01    2.1047168683988172e-03
    26.00   161.307    4.5926030645181282e-01    2.0622587576990255e-03
    27.00   167.304    4.5913313133895112e-01    1.7155722037604780e-03
    28.00   173.491    4.5939107191553263e-01    2.4173905562361203e-03
    29.00   179.614    4.5899642930697404e-01    1.0193964378729197e-03
    30.00   185.754    4.5923226576426601e-01    2.1512512360761524e-03
    31.00   191.783    4.5911822671473707e-01    1.8255141147654171e-03
    32.00   197.816    4.5894479241951935e-01    9.7906202886498023e-04
    33.00   203.907    4.5916116064678564e-01    2.0845488239867251e-03
    34.00   209.917    4.5886128560728512e-01    6.9241336192894516e-04
    35.00   215.928    4.5882355315668794e-01    4.5712951142514536e-04
    36.00   222.005    4.5882436992160147e-01    5.1845787099036550e-04
