    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    5.2176663807185024e-04
     4.00     1.574    6.9304402329135006e-01    4.8815170456049484e-04
     8.00     3.164    6.9292635350032383e-01    5.5469628879374936e-04
    12.00     4.755    6.9281985562214410e-01    4.6946029808558876e-04
    16.00     6.364    6.9275853544594912e-01    4.0827473055275666e-04
    20.00     7.999    6.9271507863926041e-01    3.3202880525400323e-04
    24.00     9.594    6.9266703370318683e-01    2.8010824425948579e-04
    28.00    11.180    6.9263649610507960e-01    2.8236696106160989e-04
    32.00    12.799    6.9261527271041601e-01    2.3214344249313445e-04
    36.00    14.391    6.9259672097462688e-01    2.3215828697647494e-04
    40.00    15.990    6.9258319359314224e-01    1.6161027299451745e-04
    44.00    17.581    6.9257117683653935e-01    1.5402449552449690e-04
    48.00    19.254    6.9256018555671095e-01    1.4799350469936229e-04
    52.00    20.867    6.9255051644748122e-01    1.6390168991970303e-04
    56.00    22.469    6.9254139618842592e-01    1.5135476650890932e-04
    60.00    24.086    6.9253504822062217e-01    1.1894968806620311e-04
    64.00    25.676    6.9253025580151517e-01    9.3603209210112740e-05
    68.00    27.363    6.9252243580484785e-01    1.2696826809033949e-04
    72.00    29.019    6.9251810551739357e-01    1.0757624089448012e-04
    76.00    30.643    6.9251456353274576e-01    1.0646218478253188e-04
    80.00    32.356    6.9250967757904758e-01    8.7921349382779720e-05
    84.00    33.992    6.9250516532356987e-01    7.1600115757105214e-05
    88.00    35.682    6.9250327434178238e-01    6.7854026895835945e-05
    92.00    37.398    6.9250048425400823e-01    5.5233166102660595e-05
    96.00    39.061    6.9249770448889114e-01    5.7629422368227429e-05
   100.00    40.779    6.9249641387017558e-01    5.8202370308841604e-05
   104.00    42.406    6.9249445235649010e-01    5.2753615398868584e-05
   108.00    44.044    6.9249260590728945e-01    4.9237513659186037e-05
   112.00    45.709    6.9249176270771029e-01    4.4157036973639432e-05
   116.00    47.308    6.9249019794154332e-01    3.5236279721770831e-05
   120.00    48.933    6.9248907615409705e-01    4.0443968372596031e-05
   124.00    50.572    6.9248834536970327e-01    3.2417334852811594e-05
   128.00    52.228    6.9248731577686495e-01    3.2404613209094779e-05
   132.00    53.874    6.9248662333091604e-01    3.7652635872031297e-05
   136.00    55.548    6.9248605499745586e-01    2.7201620882401779e-05
   140.00    57.290    6.9248528215277272e-01    2.3920392136258684e-05
   144.00    59.057    6.9248489330826601e-01    2.5576332612128897e-05
   148.00    60.700    6.9248444513306318e-01    2.5261037558780665e-05
   152.00    62.337    6.9248396546750157e-01    1.7917980999326407e-05
   156.00    63.961    6.9248371622820648e-01    2.3462918231159484e-05
   160.00    65.627    6.9248330093889998e-01    1.7985525783781251e-05
   164.00    67.221    6.9248303294470548e-01    2.1654381105901075e-05
   168.00    68.900    6.9248287363086380e-01    1.6980963502481802e-05
   172.00    70.576    6.9248258780990446e-01    1.4180124741032436e-05
   176.00    72.211    6.9248241332147698e-01    1.6240695269009415e-05
   180.00    73.821    6.9248226897266796e-01    1.3822602436861746e-05
   184.00    75.459    6.9248202286093019e-01    1.4950427692832301e-05
   188.00    77.143    6.9248192513310280e-01    1.3103143178261844e-05
   192.00    78.872    6.9248170988217550e-01    1.4744339842452985e-05
   196.00    80.651    6.9248158777402358e-01    1.2158149938043045e-05
   200.00    82.345    6.9248151902169053e-01    1.1020791023072412e-05
   204.00    84.003    6.9248134332205191e-01    1.3550666710740371e-05
   208.00    85.632    6.9248129219225585e-01    9.2696372364033310e-06
   212.00    87.292    6.9248121162251042e-01    1.1325995666195485e-05
   216.00    88.929    6.9248111910386145e-01    9.8573077720835948e-06
   220.00    90.600    6.9248107507891588e-01    7.4344827332270392e-06
   224.00    92.218    6.9248100377336974e-01    7.5740920448530558e-06
   228.00    93.847    6.9248094790115866e-01    1.1488282583960496e-05
   232.00    95.463    6.9248089136012558e-01    5.4308117098388970e-06
   236.00    97.091    6.9248083062529375e-01    6.0718560631390233e-06
   240.00    98.705    6.9248080598490180e-01    6.1800433204451706e-06
   244.00   100.340    6.9248074597578424e-01    6.4099002307632119e-06
   248.00   101.962    6.9248072682917738e-01    5.3483857099347721e-06
   252.00   103.580    6.9248067030273741e-01    4.7332435304013335e-06
   256.00   105.349    6.9248064740543447e-01    4.0058792217385093e-06
   260.00   107.196    6.9248061702600583e-01    4.0935385212506914e-06
   264.00   108.829    6.9248059069434176e-01    4.4635786962025033e-06
   268.00   110.446    6.9248057637345573e-01    3.9691305074517037e-06
   272.00   112.277    6.9248054980379159e-01    4.5419599605957923e-06
   276.00   113.944    6.9248054217741983e-01    2.8693128630940617e-06
   280.00   115.636    6.9248052055018350e-01    4.1283976733402629e-06
   284.00   117.253    6.9248051614159545e-01    3.3821681324044028e-06
   288.00   118.864    6.9248049849307114e-01    3.2271658972625002e-06
   292.00   120.476    6.9248049409773937e-01    2.3311113328795976e-06
   296.00   122.141    6.9248048345553859e-01    3.2627954375200301e-06
   300.00   123.737    6.9248047753196074e-01    2.4765763240858136e-06
   304.00   125.339    6.9248047124825562e-01    1.5218091070194314e-06
   308.00   126.976    6.9248046645435446e-01    1.7659061701913649e-06
   312.00   128.610    6.9248046357061033e-01    1.6129886434458818e-06
   316.00   130.263    6.9248045914109368e-01    1.5961736539327456e-06
   320.00   131.995    6.9248045812577652e-01    1.1158055178720200e-06
   324.00   133.674    6.9248045408504788e-01    1.3634798661686885e-06
   328.00   135.345    6.9248045339382225e-01    8.7292570894776583e-07
   332.00   137.049    6.9248045096101318e-01    8.8720995962544465e-07
   336.00   138.686    6.9248045044341722e-01    8.7459020039080330e-07
   340.00   140.295    6.9248044897874517e-01    8.3108223821621100e-07
   344.00   141.900    6.9248044842757817e-01    7.4188454563698539e-07
   348.00   143.519    6.9248044726089764e-01    6.5647880621330912e-07
   352.00   145.187    6.9248044680197662e-01    5.2222635374978503e-07
   356.00   146.802    6.9248044610621151e-01    4.6187285036144607e-07
   360.00   148.399    6.9248044569132339e-01    5.2610662439604913e-07
   364.00   150.006    6.9248044524663666e-01    4.4621709900674126e-07
   368.00   151.618    6.9248044490962957e-01    4.2963902077899383e-07
   372.00   153.250    6.9248044464892822e-01    3.6943562237100086e-07
   376.00   154.870    6.9248044431106048e-01    5.8186454269699166e-07
   380.00   156.472    6.9248044416374543e-01    3.6542590272786067e-07
   384.00   158.078    6.9248044384885510e-01    5.7162010337355258e-07
   388.00   159.684    6.9248044376553231e-01    2.7179578976123699e-07
   392.00   161.308    6.9248044347822990e-01    4.2017687773826412e-07
   396.00   162.966    6.9248044342130566e-01    2.3266478867718137e-07
   400.00   164.636    6.9248044313726342e-01    3.3782405495245369e-07
   404.00   166.273    6.9248044308313850e-01    2.2410021272267107e-07
   408.00   167.886    6.9248044283972265e-01    2.2069938884191863e-07
   412.00   169.541    6.9248044279469689e-01    2.2606182261426559e-07
   416.00   171.143    6.9248044258005170e-01    2.3618340144749239e-07
   420.00   172.747    6.9248044254085839e-01    1.8820464522438784e-07
   424.00   174.404    6.9248044236515238e-01    2.3360053584783944e-07
   428.00   176.019    6.9248044232915562e-01    1.8686341214782632e-07
   432.00   177.635    6.9248044218107752e-01    1.8886638089146993e-07
   436.00   179.247    6.9248044215015059e-01    1.5890493244167964e-07
   440.00   180.849    6.9248044202553871e-01    2.2819135494002242e-07
   444.00   182.450    6.9248044199487002e-01    1.8266308539224927e-07
   448.00   184.076    6.9248044187515134e-01    2.5268788666155420e-07
   452.00   185.675    6.9248044184512880e-01    1.5480943235204140e-07
   456.00   187.269    6.9248044174654710e-01    1.7596423050382471e-07
   460.00   188.877    6.9248044171859824e-01    1.5035628567900242e-07
   464.00   190.481    6.9248044164029554e-01    1.6644924616343075e-07
   468.00   192.082    6.9248044160832245e-01    1.4808259537085800e-07
   472.00   193.709    6.9248044153887856e-01    2.3052079688163467e-07
   476.00   195.333    6.9248044150998422e-01    1.3896716783198747e-07
   480.00   197.004    6.9248044145189114e-01    1.3568280576486765e-07
   484.00   198.617    6.9248044142562437e-01    1.3374813700304514e-07
   488.00   200.243    6.9248044137516807e-01    1.4684386533140932e-07
   492.00   201.931    6.9248044134839559e-01    1.1439662919863393e-07
   496.00   203.576    6.9248044130170772e-01    1.3520286057062528e-07
   500.00   205.214    6.9248044127550656e-01    1.1934973192557617e-07
   504.00   206.842    6.9248044123810193e-01    1.0624623427851478e-07
   508.00   208.472    6.9248044121514973e-01    1.1607104101274802e-07
