    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    5.2176663807185024e-04
    16.00     7.560    6.9301589118777285e-01    4.9455000606024677e-04
    20.00     9.442    6.9272756595755902e-01    2.8625506351038740e-04
    24.00    11.371    6.9262390913091731e-01    4.1682185451054598e-04
    28.00    13.242    6.9259474784235142e-01    4.1720705535304176e-04
    32.00    15.134    6.9256207860419339e-01    1.3072753380032981e-04
    40.00    18.974    6.9253653835599238e-01    1.0042370542634180e-04
    44.00    20.817    6.9252798518203096e-01    1.2417337123793876e-04
    48.00    22.687    6.9251383476045547e-01    6.8124109659947830e-05
    52.00    24.537    6.9250672770678667e-01    6.9599308295200250e-05
    56.00    26.391    6.9250310880448174e-01    5.2426921637544869e-05
    60.00    28.306    6.9249902935689378e-01    5.4322573538327243e-05
    68.00    32.125    6.9249313344666785e-01    4.4296170302198664e-05
    72.00    34.053    6.9249144565944032e-01    4.2727486654554165e-05
    76.00    35.952    6.9248878731118058e-01    2.7318145656302718e-05
    80.00    37.880    6.9248699378893019e-01    3.0401322944975096e-05
    88.00    41.626    6.9248524589556137e-01    1.6886415349912911e-05
    96.00    45.442    6.9248411704515034e-01    2.2556813675639665e-05
   100.00    47.311    6.9248381052209718e-01    2.3931615223793342e-05
   104.00    49.181    6.9248310110381628e-01    3.9460997049388681e-05
   108.00    51.027    6.9248266779155510e-01    2.2746509523090670e-05
   112.00    52.651    6.9248237795750223e-01    1.4353411913773711e-05
   116.00    54.282    6.9248222688506211e-01    1.4956857911496462e-05
   124.00    57.577    6.9248181312987234e-01    1.6913771563936486e-05
   132.00    60.826    6.9248145856308851e-01    1.1591035803714604e-05
   136.00    62.442    6.9248128719514190e-01    1.5595915670430828e-05
   140.00    64.045    6.9248114842866526e-01    9.6195112087418577e-06
   144.00    65.650    6.9248110349517011e-01    8.2989428592484881e-06
   148.00    67.299    6.9248100779979860e-01    1.1529800939159691e-05
   152.00    68.914    6.9248097801958686e-01    9.6258111083000473e-06
   156.00    70.526    6.9248086874859105e-01    1.7768263139875636e-05
   160.00    72.145    6.9248081671097739e-01    7.6520635453464163e-06
   164.00    73.766    6.9248076668715697e-01    6.7327254330637716e-06
   168.00    75.386    6.9248071006216072e-01    7.5512319367545188e-06
   172.00    77.023    6.9248068823930986e-01    7.7949985894631760e-06
   176.00    78.682    6.9248064372365914e-01    8.5473166177276766e-06
   180.00    80.315    6.9248061112042425e-01    4.4323083237141747e-06
   188.00    83.622    6.9248056778452050e-01    6.7327812319929847e-06
   192.00    85.241    6.9248053956312006e-01    6.8601206532867283e-06
   196.00    86.865    6.9248051542226186e-01    3.7024140428055968e-06
   200.00    88.526    6.9248050600986932e-01    2.6954265092704415e-06
   204.00    90.138    6.9248049348424678e-01    1.0591384023093519e-05
   208.00    91.758    6.9248048041135868e-01    7.2164246528977974e-06
   212.00    93.376    6.9248047284777237e-01    1.9658830686687644e-06
   216.00    94.981    6.9248046617748760e-01    4.8399631837727196e-06
   220.00    96.596    6.9248046074546077e-01    1.6676024466972704e-06
   224.00    98.255    6.9248045767066302e-01    1.7461979060526218e-06
   228.00    99.885    6.9248045229302124e-01    1.1503966304608343e-06
   232.00   101.478    6.9248045093692367e-01    9.2393945595759122e-07
   236.00   103.086    6.9248044931489972e-01    2.2616825719097315e-06
   240.00   104.733    6.9248044847817869e-01    7.6117238892717371e-07
   244.00   106.425    6.9248044709308965e-01    8.3026181808854544e-07
   248.00   108.097    6.9248044625017946e-01    1.2070791382448679e-06
   252.00   109.729    6.9248044599934655e-01    4.8168434465642167e-07
   256.00   111.381    6.9248044574107803e-01    2.7343268151555582e-06
   260.00   113.007    6.9248044509310847e-01    5.6580740246999868e-07
   264.00   114.640    6.9248044474496184e-01    4.1956969107821813e-07
   268.00   116.264    6.9248044451236901e-01    1.9017332039321398e-06
   272.00   117.892    6.9248044447298951e-01    1.9534607370431959e-06
   276.00   119.556    6.9248044398920550e-01    4.5765872755209107e-07
   280.00   121.184    6.9248044373308826e-01    5.0207464423106377e-07
   284.00   122.813    6.9248044352119231e-01    3.4501819602894271e-07
   288.00   124.443    6.9248044328168123e-01    3.7211538678981742e-07
   292.00   126.082    6.9248044309536139e-01    3.7331907531176074e-07
   296.00   127.698    6.9248044291199728e-01    3.2243102815524651e-07
   300.00   129.355    6.9248044274493425e-01    3.1258518278478260e-07
   304.00   130.979    6.9248044257832886e-01    3.8739141967559897e-07
   308.00   132.615    6.9248044237433537e-01    3.0212195758999785e-07
   312.00   134.250    6.9248044223569571e-01    2.5568122129329459e-07
   316.00   135.931    6.9248044214622140e-01    2.2313302212935923e-07
   320.00   137.619    6.9248044202093662e-01    2.8825837735213421e-07
   324.00   139.292    6.9248044200792302e-01    1.2610702386580287e-06
   328.00   140.963    6.9248044185925028e-01    3.0878530139174697e-07
   332.00   142.666    6.9248044176681656e-01    5.9308966157255061e-07
   336.00   144.312    6.9248044169198886e-01    3.2526613301609691e-07
   340.00   146.047    6.9248044164283440e-01    2.8609179239643437e-07
   344.00   147.722    6.9248044156916133e-01    2.1188368689599115e-07
   348.00   149.396    6.9248044152766897e-01    3.0578494921826020e-07
   352.00   151.094    6.9248044149346355e-01    1.6936307315094689e-07
   356.00   152.738    6.9248044144054799e-01    1.6704108778386940e-07
   360.00   154.383    6.9248044176551338e-01    1.9302803350667025e-06
   364.00   155.990    6.9248044136545051e-01    2.2376319459837455e-07
   368.00   157.667    6.9248044133582531e-01    1.5010037418898582e-07
   372.00   159.377    6.9248044129177500e-01    1.8528668772262958e-07
   376.00   161.069    6.9248044126122099e-01    1.3473667533351839e-07
   380.00   162.735    6.9248044123403396e-01    1.5017634504758114e-07
   384.00   164.417    6.9248044119779772e-01    2.5117918829160181e-07
   388.00   166.069    6.9248044117176877e-01    1.6385867283307089e-07
   392.00   167.723    6.9248044114807905e-01    1.4354363945218318e-07
   396.00   169.385    6.9248044112047291e-01    1.2295668927848349e-07
   400.00   171.050    6.9248044110227125e-01    1.2443965664781537e-07
   404.00   172.704    6.9248044108954221e-01    9.7889171357363328e-08
   408.00   174.368    6.9248044109078732e-01    2.9720537257683737e-07
   412.00   176.059    6.9248044106576734e-01    1.4834489729111479e-07
   416.00   177.712    6.9248044106032269e-01    1.0534423839088007e-07
   420.00   179.382    6.9248044105162898e-01    4.6060675661321315e-08
   424.00   181.040    6.9248044104573137e-01    2.4639250985456632e-07
   428.00   182.665    6.9248044104018025e-01    5.8079210504136594e-08
   432.00   184.294    6.9248044103565498e-01    5.6096662635545729e-08
   436.00   185.921    6.9248044102947237e-01    6.6371035981192537e-08
   440.00   187.549    6.9248044102641582e-01    5.0465540431358830e-08
   444.00   189.171    6.9248044102319972e-01    5.1869715569810345e-08
   448.00   190.793    6.9248044102083750e-01    3.0821132696924195e-08
   452.00   192.444    6.9248044101912820e-01    3.3988722421710697e-08
