    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    5.2176663807185024e-04
     0.10    12.205    6.9647271101792485e-01    1.3529313075623327e-03
     0.20    21.469    6.9429331887201517e-01    7.8819534002579398e-04
     0.30    30.811    6.9357856192860012e-01    7.4855493245768899e-04
     0.40    40.208    6.9319506740128345e-01    5.4776865459626198e-04
     0.50    49.751    6.9294993068938926e-01    4.3581846311017568e-04
     0.60    59.365    6.9279042152751880e-01    3.2642194577744917e-04
     0.70    69.001    6.9268330692667024e-01    2.4087054049975695e-04
     0.80    78.392    6.9260627972827737e-01    2.0426106102389521e-04
     0.90    87.668    6.9253045243394096e-01    1.2727447873083075e-04
     1.00    97.980    6.9248116998500830e-01    2.3499419633716447e-05
     1.10   107.186    6.9248044893413818e-01    1.6794692096210431e-06
     1.20   116.390    6.9248044283974841e-01    8.9199834416164313e-07
     1.30   125.681    6.9248044150757782e-01    4.1703927527853095e-07
     1.40   135.081    6.9248044116893359e-01    1.9813792404296600e-07
     1.50   145.079    6.9248044105927520e-01    1.1922952035508399e-07
     1.60   154.706    6.9248044102482009e-01    6.3438902540780726e-08
     1.70   164.187    6.9248044101325756e-01    3.2444624523130628e-08
     1.80   173.541    6.9248044101020556e-01    1.4092737933435090e-08
     1.90   182.807    6.9248044100962403e-01    3.4570993464380546e-09
     2.00   191.987    6.9248044100965089e-01    1.0168063639648688e-11
