    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    5.2176663807185024e-04
     1.00     5.248    7.0244281857964874e-01    7.8366743395673830e-03
     2.00     9.109    7.0273317728370666e-01    1.1251823306712667e-02
     3.00    12.998    6.9524486240574079e-01    3.4185743044708944e-03
     4.00    16.891    6.9356828400732473e-01    1.5553875078220848e-03
     5.00    20.773    6.9308352504111204e-01    1.2273729004295434e-03
     6.00    24.642    6.9298154680896418e-01    2.1599893766838653e-03
     7.00    28.536    6.9266555516948825e-01    9.3810928325376139e-04
     8.00    32.425    6.9268487921811628e-01    1.6831659786396389e-03
     9.00    36.326    6.9256629167220407e-01    1.0548666445685964e-03
    10.00    40.295    6.9249923979388595e-01    3.2803491910400373e-04
    11.00    44.237    6.9249578863851680e-01    4.2640994229390083e-04
    12.00    48.181    6.9248752845647898e-01    2.9490330653428239e-04
    13.00    52.094    6.9248404541020114e-01    1.9304007061770321e-04
    14.00    56.384    6.9248124372495012e-01    4.9463009384503744e-05
    15.00    60.700    6.9248146971581959e-01    1.1869500352060422e-04
    16.00    65.194    6.9248096334415243e-01    8.5648345687676920e-05
    17.00    69.762    6.9248055976171174e-01    2.9008922605278458e-05
    18.00    74.078    6.9248056902261346e-01    4.1624793124461065e-05
    19.00    78.404    6.9248047241435307e-01    1.4065809279200530e-05
    20.00    82.545    6.9248046704586530e-01    1.8936532873630458e-05
    21.00    86.758    6.9248044729475944e-01    7.0522364725895808e-06
    22.00    91.046    6.9248044513638873e-01    6.8957947674491768e-06
    23.00    95.301    6.9248044554554244e-01    8.8466571277583202e-06
    24.00   100.439    6.9248044269741005e-01    5.1218724520664985e-06
    25.00   105.560    6.9248044165370215e-01    2.9239969661505195e-06
    26.00   111.066    6.9248044192523794e-01    4.0689541813029566e-06
    27.00   116.440    6.9248044116470897e-01    1.2615060320706317e-06
    28.00   121.885    6.9248044112891971e-01    1.3425280806018890e-06
    29.00   126.249    6.9248044116890339e-01    1.7069343930644906e-06
    30.00   130.428    6.9248044102440354e-01    1.8960602091245161e-07
    31.00   134.667    6.9248044107555096e-01    1.1439159705485126e-06
    32.00   138.565    6.9248044101496042e-01    1.5052442953379490e-07
    33.00   142.496    6.9248044102022865e-01    4.2454602069139534e-07
    34.00   146.429    6.9248044101257911e-01    1.8888867833536333e-07
    35.00   150.419    6.9248044101095585e-01    6.4423581063126067e-08
    36.00   154.837    6.9248044101027562e-01    5.2483809303588623e-08
    37.00   159.141    6.9248044100985429e-01    3.0309814073254028e-08
    38.00   163.106    6.9248044100983652e-01    5.8551578223078506e-08
    39.00   167.092    6.9248044100974460e-01    2.4614411027515223e-08
    40.00   170.955    6.9248044100965667e-01    1.3896209832626053e-08
    41.00   174.985    6.9248044100967832e-01    1.1413062572478293e-08
    42.00   179.210    6.9248044100962147e-01    1.4602225596346515e-08
    43.00   183.682    6.9248044100960171e-01    3.7706861071865141e-09
    44.00   188.052    6.9248044100965844e-01    7.5260131111387743e-09
    45.00   192.541    6.9248044100965245e-01    6.6809770165974531e-09
    46.00   196.653    6.9248044100964046e-01    1.9973082827207449e-09
    47.00   200.841    6.9248044100961970e-01    1.0862450316439624e-09
    48.00   204.801    6.9248044100964423e-01    8.7575317354319864e-10
