    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718056034186e-01    5.2176663807185024e-04
     1.00     6.317    6.9757447035093756e-01    5.1127152806968853e-03
     2.00    12.154    6.9963760224974370e-01    9.2438468896097400e-03
     3.00    17.965    6.9548911594414786e-01    5.2775487988558460e-03
     4.00    23.760    6.9422095251675775e-01    2.0339201976189237e-03
     5.00    29.553    6.9506436366380364e-01    4.2001371811732600e-03
     6.00    35.506    6.9436465738746977e-01    2.6978438037843478e-03
     7.00    41.353    6.9458440751135009e-01    4.1172661368233101e-03
     8.00    47.161    6.9393634500849433e-01    3.9904733399624805e-03
     9.00    52.985    6.9393491151672682e-01    2.8598334028133755e-03
    10.00    58.830    6.9323763865356780e-01    1.0991999050988107e-03
    11.00    64.712    6.9336158133931092e-01    2.6933785011066217e-03
    12.00    70.594    6.9344001693266155e-01    2.2951517161922345e-03
    13.00    76.451    6.9308764972811232e-01    1.2701454963391662e-03
    14.00    82.259    6.9333373181707214e-01    2.2715307955612635e-03
    15.00    88.183    6.9320891371149129e-01    1.8393681408751101e-03
    16.00    94.089    6.9312946972256184e-01    1.5572655993962990e-03
    17.00   100.084    6.9321834681398620e-01    2.2103965709031484e-03
    18.00   106.081    6.9403924768764758e-01    4.9293525041113426e-03
    19.00   111.891    6.9297813951258047e-01    1.3449578745988284e-03
    20.00   117.708    6.9292661475826489e-01    1.6399418872326470e-03
    21.00   123.531    6.9331807529059652e-01    3.0592128976242227e-03
    22.00   129.929    6.9282074686110806e-01    8.9971400637472976e-04
    23.00   135.970    6.9309605908851890e-01    2.2502522441018042e-03
    24.00   141.892    6.9293892838616555e-01    2.0183418095829665e-03
    25.00   147.701    6.9298590390028647e-01    2.1254887400586125e-03
    26.00   153.554    6.9285593345103558e-01    1.0622264191144949e-03
    27.00   159.367    6.9326529356222943e-01    3.0516336945689512e-03
    28.00   165.174    6.9302430906371359e-01    2.1517259172098252e-03
    29.00   171.082    6.9282080956903958e-01    1.5141253295562235e-03
    30.00   177.091    6.9317422247441729e-01    3.3943010042311850e-03
    31.00   183.074    6.9281890834402793e-01    9.7832899192655488e-04
    32.00   189.066    6.9329341923858445e-01    3.4646462719759171e-03
    33.00   195.066    6.9282252625068896e-01    1.2289753553974023e-03
    34.00   201.074    6.9284097672617995e-01    1.8307599464643311e-03
