    epoch   elapsed                       val                 norm_grad
     0.00     0.000    6.9314718055901037e-01    1.3426735645219107e-01
     4.00     0.025    6.0666659938013179e-01    3.3512212691660173e-02
     8.00     0.050    5.3253569564034753e-01    2.0747234845885670e-02
    12.00     0.077    5.2800592101157018e-01    7.9744733027283139e-03
    16.00     0.103    5.2407949846404311e-01    1.1534792345239724e-02
    20.00     0.130    5.2194452735337915e-01    3.8934891949019721e-03
    24.00     0.156    5.2098156812875951e-01    4.7192114158469550e-03
    28.00     0.182    5.1935385210300800e-01    2.3467348515708018e-03
    32.00     0.208    5.1907266487937276e-01    2.0747034115874271e-03
    36.00     0.235    5.1711774080361683e-01    1.4362628671259368e-03
    40.00     0.262    5.1701738909135930e-01    9.4297579971388027e-04
    44.00     0.289    5.1674585759450298e-01    4.4845720694740250e-04
    48.00     0.313    5.1672405026990109e-01    1.5638872257003523e-04
    52.00     0.340    5.1671319171393848e-01    1.5158943198788339e-04
    56.00     0.367    5.1669091209498907e-01    5.5543406490823891e-06
    60.00     0.395    5.1669089712885941e-01    6.7141154627399589e-10
